species,province,year,date_source,disc_year,pub_year,lag,longitude,latitude
Abroscopus albogularis,Hebei,2024,discovery_date,2024,2024,0,118.28,39.26
Abroscopus albogularis,Jiangsu,2017,discovery_date,2017,2019,2,118.55,32.06
Abroscopus albogularis,Ningxia,2021,discovery_date,2021,2024,3,106.18,35.67
Abroscopus albogularis,Shanghai,2013,discovery_date,2013,2018,5,121.97,30.88
Abroscopus albogularis,Tibet,2016,discovery_date,2016,2017,1,95.39,29.41
Accipiter gularis,Xinjiang,2010,discovery_date,2010,2013,3,88.36,36.47
Accipiter soloensis,Gansu,2012,discovery_date,2012,2015,3,106.2,33.7
Accipiter soloensis,Heilongjiang,2018,discovery_date,2018,2020,2,125.25,49.09
Accipiter soloensis,Inner Mongolia,2020,discovery_date,2020,2023,3,105.66,38.11
Accipiter trivirgatus,Anhui,2006,discovery_date,2006,2010,4,117.82,30.23
Accipiter trivirgatus,Beijing,2013,discovery_date,2013,2013,0,116.17,39.99
Accipiter trivirgatus,Gansu,2020,discovery_date,2020,2022,2,105.32,32.85
Accipiter trivirgatus,Henan,2008,discovery_date,2008,2008,0,114.25,31.95
Accipiter trivirgatus,Liaoning,2017,discovery_date,2017,2021,4,121.14,38.73
Accipiter virgatus,Anhui,2011,discovery_date,2011,2012,1,117.12,31.77
Acridotheres cristatellus,Jilin,2016,discovery_date,2016,2023,7,125.55,43.8
Acridotheres tristis,Chongqing,2010,discovery_date,2010,2010,0,106.53,29.45
Acridotheres tristis,Guizhou,2017,discovery_date,2017,2018,1,106.52,26.68
Acridotheres tristis,Jiangxi,2019,discovery_date,2019,2022,3,115.35,26.3
Acridotheres tristis,Shandong,2022,discovery_date,2022,2025,3,121.01,36.6
Acrocephalus agricola,Inner Mongolia,2020,discovery_date,2020,2023,3,101.12,42.06
Acrocephalus bistrigiceps,Guizhou,2015,discovery_date,2015,2017,2,108.81,26.39
Acrocephalus bistrigiceps,Tibet,2023,discovery_date,2023,2024,1,95.33,29.33
Acrocephalus concinens,Shanghai,2005,discovery_date,2005,2006,1,121.4,31.62
Acrocephalus orientalis,Tibet,2023,discovery_date,2023,2024,1,95.33,29.33
Acrocephalus tangorum,Hubei,2020,discovery_date,2020,2020,0,114.41,30.44
Acrocephalus tangorum,Zhejiang,2023,discovery_date,2023,2024,1,119.75,30.24
Aegithalos bonvaloti,Shaanxi,2006,discovery_date,2006,2007,1,107.75,34.16
Aegithalos caudatus,Shandong,2023,discovery_date,2023,2024,1,117.87,38.26
Aegithalos caudatus,Tianjin,2016,discovery_date,2016,2020,4,117.59,39.3
Aegithalos concinnus,Gansu,2017,discovery_date,2017,2020,3,107.67,35.73
Aegithalos concinnus,Hebei,2022,discovery_date,2022,2025,3,115.66,37.74
Aegithalos fuliginosus,Hunan,2009,publication_minus_median_lag,2011,2010,1,110.6,30.05
Aegithalos fuliginosus,Shanxi,2016,discovery_date,2016,2016,0,111.75,35.27
Aethopyga christinae,Anhui,2017,discovery_date,2017,2018,1,117.48,30
Aethopyga christinae,Hubei,2003,discovery_date,2003,2004,1,110.54,30.07
Aethopyga gouldiae,Henan,2016,discovery_date,2016,2017,1,111.32,33.96
Agropsar sturninus,Tibet,2020,discovery_date,2020,2023,3,94.81,29.96
Aix galericulata,Tibet,2021,discovery_date,2021,2021,0,91.18,29.65
Aix galericulata,Xinjiang,2015,discovery_date,2015,2015,0,82.94,37.26
Alauda gulgula,Inner Mongolia,2020,discovery_date,2020,2023,3,101.9,38.99
Alaudala cheleensis,Fujian,2019,discovery_date,2019,2024,5,117.2,23.66
Alcedo hercules,Fujian,2006,discovery_date,2006,2006,0,117.3,26.51
Alcippe morrisonia,Henan,2015,discovery_date,2015,2016,1,111.82,33.25
Amaurornis phoenicurus,Heilongjiang,2008,discovery_date,2008,2010,2,125.12,46.81
Amaurornis phoenicurus,Inner Mongolia,2018,discovery_date,2018,2023,5,105.81,38.66
Amaurornis phoenicurus,Qinghai,2013,discovery_date,2013,2015,2,101.07,32.68
Anastomus oscitans,Hebei,2021,discovery_date,2021,2023,2,114.16,38.24
Anastomus oscitans,Hunan,2024,publication_minus_median_lag,,2025,1,113.24,28.23
Anastomus oscitans,Qinghai,2023,discovery_date,2023,2024,1,96.57,32.58
Anastomus oscitans,Shaanxi,2020,discovery_date,2020,2021,1,107.53,33.23
Anastomus oscitans,Sichuan,2012,discovery_date,2012,2018,6,103.09,28.41
Anser anser,Hainan,2007,discovery_date,2007,2009,2,110.58,19.9
