species,year,val
Eumyias thalassinus,1970,5.5318808555603
Falco cherrug,1970,2.59674596786499
Falco severus,1970,6.413405418396
Ficedula albicilla,1970,1.31354463100433
Ficedula elisae,1970,3.74486446380615
Ficedula erithacus,1970,3.83017039299011
Ficedula hyperythra,1970,5.97663259506226
Ficedula mugimaki,1970,2.51401329040527
Ficedula strophiata,1970,5.2130765914917
Ficedula superciliaris,1970,3.31081914901733
Ficedula tricolor,1970,4.90993976593018
Fringilla coelebs,1970,0.920407235622406
Fringilla montifringilla,1970,1.14860594272614
Galerida cristata,1970,3.5262885093689
Gallicrex cinerea,1970,5.37738847732544
Garrulax maesi,1970,6.21455192565918
Garrulax monileger,1970,6.73453664779663
Gavia arctica,1970,2.42957210540772
Gelochelidon nilotica,1970,3.85916757583618
Geokichla citrina,1970,6.34447860717773
Glaucidium cuculoides,1970,6.11608982086182
Gorsachius melanolophus,1970,7.36945009231567
Gracupica nigricollis,1970,6.44033050537109
Grandala coelicolor,1970,2.00673723220825
Grus japonensis,1970,2.59443712234497
Grus monacha,1970,1.92100596427917
Grus nigricollis,1970,1.30435538291931
Gypaetus barbatus,1970,2.17843222618103
Gyps himalayensis,1970,2.25895953178406
Halcyon coromanda,1970,4.28846836090088
Halcyon pileata,1970,5.35012817382813
Halcyon smyrnensis,1970,7.36084032058716
Haliaeetus leucoryphus,1970,5.52442407608032
Harpactes wardi,1970,4.2311282157898
Helopsaltes certhiola,1970,3.0076756477356
Helopsaltes pryeri,1970,3.58374404907227
Hemiprocne coronata,1970,6.18306350708008
Hemitesia pallidipes,1970,6.20731115341187
Hemixos castanonotus,1970,6.73224687576294
Heterophasia desgodinsi,1970,5.84839773178101
Heteroxenicus stellatus,1970,4.61979818344116
Hieraaetus pennatus,1970,1.56709396839142
Hierococcyx nisicolor,1970,6.21704006195068
Hirundapus caudacutus,1970,2.86790037155151
Hirundo rustica,1970,3.56283664703369
Histrionicus histrionicus,1970,2.57155156135559
Hydrocoloeus minutus,1970,4.02816724777222
Hydrophasianus chirurgus,1970,6.20273733139038
Hydroprogne caspia,1970,5.30608177185059
Hypothymis azurea,1970,6.300612449646
Hypsipetes leucocephalus,1970,5.72889089584351
Ianthocincla lunulata,1970,4.55917167663574
Ibidorhyncha struthersii,1970,2.61480689048767
Ictinaetus malaiensis,1970,6.39971780776978
Iduna caligata,1970,2.34770965576172
