species,baseline,year,val,indicator
Abroscopus albogularis,17.1936836242676,1980,17.1880207061768,tavg_annual
Accipiter gularis,2.79101252555847,1980,1.79497230052948,tavg_annual
Accipiter soloensis,14.4203224182129,1980,14.0947570800781,tavg_annual
Accipiter trivirgatus,20.4984016418457,1980,20.6263217926025,tavg_annual
Accipiter virgatus,14.8701410293579,1980,14.8873224258423,tavg_annual
Acridotheres cristatellus,16.1387481689453,1980,16.0032196044922,tavg_annual
Acridotheres tristis,13.0185861587524,1980,13.164698600769,tavg_annual
Acrocephalus agricola,6.58927822113037,1980,6.68336915969849,tavg_annual
Acrocephalus bistrigiceps,6.70882892608643,1980,5.87998008728027,tavg_annual
Acrocephalus concinens,13.2061977386475,1980,12.6942539215088,tavg_annual
Acrocephalus orientalis,7.07758617401123,1980,6.30002689361572,tavg_annual
Acrocephalus tangorum,4.04547643661499,1980,3.04172039031982,tavg_annual
Aegithalos bonvaloti,7.25393295288086,1980,7.25814437866211,tavg_annual
Aegithalos caudatus,2.36409044265747,1980,1.46217560768127,tavg_annual
Aegithalos concinnus,15.7243757247925,1980,15.5836210250855,tavg_annual
Aegithalos fuliginosus,9.53039169311523,1980,9.40392780303955,tavg_annual
Aerodramus brevirostris,13.4041681289673,1980,13.3605403900146,tavg_annual
Aethopyga christinae,24.0772266387939,1980,24.2226181030273,tavg_annual
Aethopyga gouldiae,10.8702239990234,1980,10.8113384246826,tavg_annual
Agropsar sturninus,4.88569736480713,1980,4.09196901321411,tavg_annual
Aix galericulata,3.76259207725525,1980,2.80295181274414,tavg_annual
Alauda gulgula,9.30810642242432,1980,9.20472431182861,tavg_annual
Alaudala cheleensis,4.97609901428223,1980,4.68510389328003,tavg_annual
Alcedo hercules,19.55885887146,1980,19.6761341094971,tavg_annual
Alcippe morrisonia,16.1768684387207,1980,16.0821952819824,tavg_annual
Amaurornis phoenicurus,15.7730484008789,1980,15.642560005188,tavg_annual
Anastomus oscitans,15.9283313751221,1980,15.9945058822632,tavg_annual
Anser anser,2.66056942939758,1980,2.17082691192627,tavg_annual
Anser fabalis,0.00394246447831392,1980,-0.984042406082153,tavg_annual
Anser indicus,0.710689067840576,1980,0.825128436088562,tavg_annual
Anthus godlewskii,1.23596751689911,1980,0.414197146892548,tavg_annual
Anthus gustavi,2.76429533958435,1980,1.87463474273682,tavg_annual
Anthus richardi,8.31434440612793,1980,7.89303493499756,tavg_annual
Anthus roseatus,3.48777198791504,1980,3.40625596046448,tavg_annual
Anthus trivialis,1.68888700008392,1980,1.7401956319809,tavg_annual
Aquila fasciata,18.9898948669434,1980,18.986270904541,tavg_annual
Aquila heliaca,0.904124975204468,1980,0.567327082157135,tavg_annual
Ardea intermedia,16.753625869751,1980,16.6321315765381,tavg_annual
Ardea purpurea,13.5649824142456,1980,13.1335706710815,tavg_annual
Ardenna pacifica,21.4179821014404,1980,21.5003986358643,tavg_annual
Artamus fuscus,20.1533794403076,1980,20.2667217254639,tavg_annual
Asio flammeus,0.771846294403076,1980,0.216167286038399,tavg_annual
Athene noctua,3.7285327911377,1980,3.45042872428894,tavg_annual
Aviceda jerdoni,20.7589244842529,1980,20.8816242218018,tavg_annual
Aviceda leuphotes,15.7720975875855,1980,15.7594900131226,tavg_annual
Aythya fuligula,1.02206540107727,1980,0.124353401362896,tavg_annual
Aythya nyroca,3.44417858123779,1980,3.33801221847534,tavg_annual
Bombycilla japonica,-2.08062863349915,1980,-3.08332395553589,tavg_annual
Branta canadensis,7.7483081817627,1980,6.6841893196106,tavg_annual
Bubo nipalensis,11.0731401443481,1980,11.1190032958984,tavg_annual
Bucanetes mongolicus,5.09141445159912,1980,4.9639892578125,tavg_annual
Butastur indicus,4.18668794631958,1980,3.18173098564148,tavg_annual
Cacomantis merulinus,19.018856048584,1980,19.1128730773926,tavg_annual
Calandrella brachydactyla,5.38707447052002,1980,5.39705801010132,tavg_annual
Calliope obscura,8.11229228973389,1980,7.97453737258911,tavg_annual
Caprimulgus macrurus,20.8053359985352,1980,20.9246788024902,tavg_annual
Carpodacus roborowskii,-4.26942348480225,1980,-4.17465925216675,tavg_annual
Carpodacus vinaceus,13.1146516799927,1980,13.0364665985107,tavg_annual
Cecropis daurica,9.04672813415527,1980,8.64214992523193,tavg_annual
Centropus bengalensis,18.3159313201904,1980,18.2773590087891,tavg_annual
Cephalopyrus flammiceps,11.0387916564941,1980,10.9648036956787,tavg_annual
Certhia familiaris,4.13702869415283,1980,3.59865069389343,tavg_annual
Certhia himalayana,8.9989767074585,1980,8.94854545593262,tavg_annual
Certhia tianquanensis,7.54084634780884,1980,7.52424478530884,tavg_annual
Ceryle rudis,17.3865261077881,1980,17.3078556060791,tavg_annual
Cettia brunnifrons,8.67673778533936,1980,8.66878890991211,tavg_annual
Cettia castaneocoronata,11.6738481521606,1980,11.710410118103,tavg_annual
Chalcophaps indica,20.2055644989014,1980,20.3169784545898,tavg_annual
Charadrius atrifrons,-0.125460654497147,1980,-0.146284908056259,tavg_annual
Charadrius dealbatus,22.1516342163086,1980,22.2465038299561,tavg_annual
Charadrius placidus,6.80105400085449,1980,5.99595642089844,tavg_annual
Charadrius veredus,1.43038439750671,1980,0.607052505016327,tavg_annual
Chlidonias leucopterus,3.65000867843628,1980,2.87254047393799,tavg_annual
Chlidonias niger,2.84081983566284,1980,2.91071081161499,tavg_annual
Chloris ambigua,13.5605001449585,1980,13.6176691055298,tavg_annual
Chloris sinica,9.99620628356934,1980,9.52819633483887,tavg_annual
Chrysolophus pictus,12.113395690918,1980,12.0132818222046,tavg_annual
Ciconia boyciana,3.79554605484009,1980,2.81007838249207,tavg_annual
Ciconia nigra,5.71208238601685,1980,5.27107524871826,tavg_annual
Circaetus gallicus,6.0515718460083,1980,5.84113216400147,tavg_annual
Circus macrourus,1.97158765792847,1980,1.92815089225769,tavg_annual
Circus spilonotus,1.57410931587219,1980,0.607505261898041,tavg_annual
Cisticola exilis,17.9882202148438,1980,18.0365619659424,tavg_annual
Cisticola juncidis,15.7287015914917,1980,15.4765186309814,tavg_annual
Clamator coromandus,16.3674221038818,1980,16.1930561065674,tavg_annual
Clanga clanga,1.92145383358002,1980,0.991300463676453,tavg_annual
Columba oenas,1.79275989532471,1980,2.16370248794556,tavg_annual
Copsychus saularis,16.0701751708984,1980,15.9666137695313,tavg_annual
Coracias garrulus,1.63682651519775,1980,1.95814692974091,tavg_annual
Coturnicops exquisitus,0.349114924669266,1980,-0.638272941112518,tavg_annual
Crex crex,1.61853647232056,1980,1.82947480678558,tavg_annual
Crossoptilon mantchuricum,7.38657712936401,1980,6.83172655105591,tavg_annual
Curruca curruca,4.58125066757202,1980,4.64015293121338,tavg_annual
Cyanistes cyanus,0.880157828330994,1980,0.392835050821304,tavg_annual
Cyanoderma pyrrhops,7.62824296951294,1980,7.51009941101074,tavg_annual
Cygnus cygnus,2.17340898513794,1980,1.52931368350983,tavg_annual
Cygnus olor,2.90881419181824,1980,2.72167062759399,tavg_annual
Cyornis glaucicomans,15.0495548248291,1980,14.9732065200806,tavg_annual
Cyornis hainanus,21.0613994598389,1980,21.1838359832764,tavg_annual
Cyornis rubeculoides,16.8672618865967,1980,16.9456672668457,tavg_annual
Delichon dasypus,6.86843729019165,1980,6.76736307144165,tavg_annual
Dendrocitta formosae,16.8692932128906,1980,16.783275604248,tavg_annual
Dendrocopos hyperythrus,8.20840454101563,1980,8.08810234069824,tavg_annual
Dendrocygna javanica,17.7778663635254,1980,17.6975688934326,tavg_annual
Dicaeum cruentatum,18.507360458374,1980,18.5682754516602,tavg_annual
Dicaeum ignipectus,15.3237438201904,1980,15.2737054824829,tavg_annual
Dicaeum minullum,14.512523651123,1980,14.5322027206421,tavg_annual
Dicrurus annectens,19.5862979888916,1980,19.7048683166504,tavg_annual
Dicrurus hottentottus,14.6285820007324,1980,14.444242477417,tavg_annual
Dicrurus remifer,17.3616561889648,1980,17.4592018127441,tavg_annual
Egretta eulophotes,9.84804821014404,1980,8.79912948608398,tavg_annual
Egretta garzetta,12.523606300354,1980,12.3400440216064,tavg_annual
Elachura formosa,15.6985158920288,1980,15.7677803039551,tavg_annual
Elanus caeruleus,19.6017436981201,1980,19.7034854888916,tavg_annual
Emberiza buchanani,0.46307709813118,1980,0.515612185001373,tavg_annual
Emberiza citrinella,0.116651400923729,1980,-0.44717076420784,tavg_annual
Emberiza elegans,8.74721145629883,1980,8.2366189956665,tavg_annual
Emberiza godlewskii,4.47766065597534,1980,4.21496057510376,tavg_annual
Emberiza hortulana,2.9626350402832,1980,2.61344361305237,tavg_annual
Emberiza leucocephalos,0.165244445204735,1980,-0.27739205956459,tavg_annual
Emberiza pallasi,-2.56719827651978,1980,-3.52108287811279,tavg_annual
Emberiza pusilla,2.6440269947052,1980,1.63843989372253,tavg_annual
Emberiza rustica,-7.73786878585815,1980,-8.46197319030762,tavg_annual
Emberiza siemsseni,9.49647617340088,1980,9.33508110046387,tavg_annual
Emberiza yessoensis,2.86508011817932,1980,1.92820346355438,tavg_annual
Enicurus leschenaulti,14.7296361923218,1980,14.624828338623,tavg_annual
Enicurus maculatus,17.2479610443115,1980,17.3279495239258,tavg_annual
Enicurus schistaceus,16.9926528930664,1980,17.0342254638672,tavg_annual
Erpornis zantholeuca,17.6262550354004,1980,17.7003765106201,tavg_annual
Erythrogenys hypoleucos,19.6749439239502,1980,19.7065582275391,tavg_annual
Eudynamys scolopaceus,16.1134185791016,1980,15.9663715362549,tavg_annual
Eumyias thalassinus,14.0340166091919,1980,13.9890279769897,tavg_annual
Falco cherrug,2.71568083763123,1980,2.63781237602234,tavg_annual
Falco severus,17.5068168640137,1980,17.6028842926025,tavg_annual
Ficedula albicilla,-2.2579174041748,1980,-3.18929076194763,tavg_annual
Ficedula elisae,7.58177423477173,1980,6.83842372894287,tavg_annual
Ficedula erithacus,7.18910932540894,1980,7.21131420135498,tavg_annual
Ficedula hyperythra,15.7056694030762,1980,15.7634592056274,tavg_annual
Ficedula mugimaki,2.45652961730957,1980,1.45664513111115,tavg_annual
Ficedula strophiata,12.8506631851196,1980,12.7937288284302,tavg_annual
Ficedula superciliaris,4.93412160873413,1980,4.91556882858276,tavg_annual
Ficedula tricolor,11.5572280883789,1980,11.554594039917,tavg_annual
Fringilla coelebs,-7.378746509552,1980,-8.09735774993897,tavg_annual
Fringilla montifringilla,-5.57124328613281,1980,-6.20695400238037,tavg_annual
Galerida cristata,6.52118015289307,1980,6.11908006668091,tavg_annual
Gallicrex cinerea,13.6074705123901,1980,13.2547922134399,tavg_annual
Garrulax canorus,16.8064308166504,1980,16.6763820648193,tavg_annual
Garrulax maesi,16.7933082580566,1980,16.8126735687256,tavg_annual
