province,ssp,horizon,mech,ml,n_sp,mech0,ml0,mech_ratio,ml_ratio,scope
Anhui,ssp245,2030,0.621618400411078,0.315530430577668,201,0.00585885978441261,0.00254866707529697,1.06098869623895,1.23802137060566,within covariate support
Anhui,ssp585,2030,0.652129809050398,0.371921051120614,179,0.00585885978441261,0.00254866707529697,1.11306607948765,1.45927671262155,within covariate support
Chongqing,ssp245,2030,0.453023536814587,0.263605988410705,201,0.00418327765707023,0.00273656594128964,1.08293920210848,0.963272926968014,within covariate support
Chongqing,ssp585,2030,0.47185948424194,0.301171806693839,198,0.00418327765707023,0.00273656594128964,1.1279659705218,1.10054649935426,within covariate support
Gansu,ssp245,2030,0.680323794895855,0.221368724178,171,0.00657812723485967,0.00197185563395529,1.03422109455499,1.1226416395097,within covariate support
Gansu,ssp585,2030,0.722808475185974,0.226886137081877,148,0.00657812723485967,0.00197185563395529,1.09880585975226,1.15062245518843,within covariate support
Guangdong,ssp245,2030,0.258141049528224,0.296103489883128,161,0.00242489190531769,0.00258898490217382,1.06454662561301,1.14370496959834,within covariate support
Guangdong,ssp245,2050,0.351728021207196,0.313706483533336,138,0.00242489190531769,0.00258898490217382,1.45048948547303,1.21169684407945,within covariate support
Guangdong,ssp585,2030,0.28685695083366,0.493602098350899,159,0.00242489190531769,0.00258898490217382,1.18296799211789,1.90654683979211,within covariate support
Guangxi,ssp245,2030,0.725079027797097,0.495919107624073,174,0.0064613485302777,0.00318548696642413,1.12217909991915,1.55680783770642,within covariate support
Guizhou,ssp245,2030,0.695362256692685,0.177901426324187,174,0.0060478210072771,0.00347715634508603,1.1497732089888,0.511629068895911,within covariate support
Guizhou,ssp245,2050,0.908217352661628,0.282866270634148,165,0.0060478210072771,0.00347715634508603,1.50172657485863,0.813498855275517,within covariate support
Guizhou,ssp585,2030,0.757947944303206,0.247292282173558,176,0.0060478210072771,0.00347715634508603,1.25325789799532,0.711191150559093,within covariate support
Hainan,ssp245,2030,0.645054838900643,0.252473560731342,83,0.00554789743996681,0.00214469296071623,1.16270144839682,1.1772014239606,within covariate support
