unit_id,year,n_checklist,n_loc
653131,2019,3,3
653022,2021,4,4
653022,2011,8,6
653022,2013,13,5
653022,2023,21,11
653022,2017,2,1
653022,2007,1,1
653022,2012,4,3
653022,2004,2,2
653022,2018,1,1
653131,2023,17,16
653022,2019,1,1
653131,2011,3,2
653131,2010,3,2
653131,2021,1,1
653131,2013,2,1
653131,2022,1,1
653131,2012,2,2
653024,2020,1,1
653001,2019,1,1
653121,2023,7,3
653024,2021,1,1
653001,2007,3,1
653101,2013,3,2
653101,2023,20,10
653101,2004,1,1
653101,2021,1,1
653101,2012,2,2
653101,2007,2,2
653101,2022,5,2
653101,2018,1,1
653101,2010,1,1
653101,2019,1,1
653101,2011,6,3
653001,2013,2,1
653122,2011,1,1
653123,2011,4,2
653123,2023,3,1
653001,2023,1,1
653129,2005,3,1
653128,2019,1,1
653125,2023,7,3
653126,2023,7,3
653125,2021,1,1
653125,2007,1,1
653129,2023,2,2
653125,2011,4,1
653126,2011,1,1
653127,2004,1,1
653223,2023,2,2
653223,2017,2,2
653223,2012,1,1
653130,2023,2,2
653130,2013,2,1
659003,2021,1,1
653221,2019,4,4
652929,2021,1,1
542522,2023,1,1
542524,2021,3,3
542524,2018,1,1
542522,2017,3,3
542522,2018,2,1
542522,2020,1,1
542522,2004,2,1
542522,2019,1,1
542524,2020,1,1
653201,2023,8,4
542524,2019,1,1
653221,2023,4,2
542523,2023,2,2
542523,2021,1,1
653225,2022,1,1
652901,2020,11,11
652901,2014,2,1
652901,2021,1,1
652928,2023,3,3
652922,2021,1,1
654004,2015,1,1
653224,2023,5,5
652922,2010,1,1
654026,2023,19,18
659008,2018,1,1
542523,2017,1,1
654026,2019,4,3
654023,2023,18,6
652922,2023,6,6
654023,2018,17,5
659002,2014,4,2
654023,2021,5,3
659002,2019,5,4
652922,2014,6,2
654026,2014,1,1
654026,2021,12,10
654023,2019,8,4
654023,2022,1,1
542523,2019,1,1
653224,2019,2,2
652928,2019,2,2
652701,2021,8,4
652701,2018,4,3
654022,2021,9,6
654022,2018,4,4
654022,2019,11,7
654022,2023,4,2
654022,2022,2,2
652901,2019,1,1
654023,2015,1,1
654002,2023,4,4
652701,2023,10,9
654026,2018,2,2
652701,2019,6,5
652723,2018,2,2
652901,2013,1,1
542521,2021,2,2
654002,2021,5,5
654002,2019,7,6
654002,2018,7,6
652901,2023,1,1
659002,2023,3,3
654022,2010,2,1
654022,2012,2,2
654022,2016,1,1
654022,2017,1,1
542521,2007,4,4
542521,2005,4,4
652701,2015,1,1
652701,2012,2,1
652701,2010,1,1
652701,2022,1,1
652701,2017,1,1
652701,2006,1,1
542521,2017,4,3
654002,2007,2,1
542521,2010,3,3
542521,2023,1,1
542525,2021,1,1
542521,2012,2,2
542521,2009,2,2
542521,2004,10,4
542521,2016,3,2
542521,2022,1,1
542521,2014,1,1
654021,2021,2,2
542521,2019,3,3
542521,2006,1,1
542521,2018,1,1
542521,2020,1,1
654021,2019,1,1
654021,2014,1,1
654027,2023,24,24
652925,2023,1,1
654027,2014,1,1
652924,2019,1,1
654027,2021,3,2
654021,2023,2,2
654024,2023,8,8
654024,2019,1,1
652722,2023,9,9
652701,2020,1,1
542525,2023,3,3
654027,2015,1,1
652722,2019,8,4
542526,2002,2,2
654025,2023,22,13
652926,2011,2,1
653226,2015,1,1
652702,2019,1,1
540232,2019,1,1
654025,2022,5,3
654025,2021,14,14
652926,2023,1,1
652926,2012,1,1
542526,2013,1,1
653227,2002,1,1
654024,2021,1,1
654201,2019,13,8
652902,2023,8,6
652926,2021,1,1
654201,2023,7,5
652902,2012,2,2
652902,2022,2,1
652902,2021,3,3
540232,2017,1,1
654201,2021,6,5
653227,2023,1,1
654201,2018,4,4
654201,2013,1,1
654225,2023,7,1
654225,2022,1,1
654225,2017,4,1
654225,2019,2,1
652827,2020,1,1
652902,2019,1,1
654201,2022,4,3
540232,2005,1,1
540232,2023,3,3
654028,2021,7,7
654028,2023,10,7
654028,2022,3,1
654224,2022,1,1
654221,2023,47,27
654221,2019,21,16
654221,2021,11,11
652902,2013,2,1
654224,2018,3,2
652722,2018,1,1
654221,2018,6,3
654224,2019,8,6
654224,2017,1,1
652827,2023,6,5
652827,2021,15,14
652827,2019,5,5
652825,2019,1,1
652827,2016,2,2
654025,2018,3,2
654202,2022,7,3
540232,2004,1,1
654202,2010,3,3
654202,2021,9,6
654202,2023,10,7
654025,2012,3,3
654221,2022,9,5
654221,2017,6,3
652822,2014,6,5
540232,2007,1,1
652827,2012,3,3
652827,2022,2,1
652827,2018,4,2
652827,2010,1,1
652827,2015,1,1
652827,2014,1,1
652822,2023,6,4
654025,2020,2,1
652822,2018,26,18
652822,2005,1,1
652822,2019,3,2
652822,2021,1,1
652822,2008,2,1
652822,2016,6,6
654025,2015,1,1
652823,2016,1,1
652823,2018,22,9
652825,2020,6,2
654028,2020,1,1
654224,2023,5,4
654202,2020,1,1
654224,2021,4,4
654224,2015,1,1
654202,2007,1,1
654202,2017,2,1
654202,2019,4,4
650203,2021,17,12
650203,2011,4,2
659010,2018,16,7
650203,2022,9,4
650203,2023,30,14
650203,2018,5,3
659010,2021,8,7
659010,2023,16,5
650203,2019,63,13
650203,2020,40,7
650203,2007,1,1
650203,2017,6,3
650202,2020,2,2
659010,2019,2,1
659010,2022,3,1
659010,2015,1,1
654224,2020,1,1
654003,2023,21,11
654003,2013,1,1
650203,2006,2,2
654003,2017,2,1
659010,2014,1,1
654003,2018,7,4
654003,2021,6,5
654003,2019,8,7
654003,2022,2,2
654003,2016,1,1
650204,2023,1,1
650204,2021,3,3
652822,2017,4,1
650204,2007,1,1
650204,2016,1,1
540234,2019,16,12
540234,2020,12,11
540234,2018,15,5
540234,2023,22,8
540236,2005,2,2
540236,2021,1,1
654223,2023,17,7
540234,2021,55,24
650204,2019,2,2
540234,2022,1,1
650205,2021,29,8
650205,2023,31,10
652801,2017,1,1
652801,2018,8,4
654223,2019,17,8
654223,2022,6,3
659006,2018,2,1
540236,2017,1,1
650205,2018,30,9
650205,2017,21,6
650205,2016,8,3
650205,2014,2,2
650205,2022,10,2
650205,2019,11,7
650205,2015,1,1
650205,2020,1,1
652823,2013,1,1
654324,2019,2,2
650205,2008,4,2
652823,2012,2,2
654226,2019,4,4
654226,2023,13,8
540226,2007,1,1
652825,2021,1,1
652324,2011,8,2
652324,2018,45,15
652324,2021,15,7
652324,2019,28,10
652324,2023,32,9
652324,2012,3,2
654324,2007,2,1
654223,2018,32,6
540235,2023,5,3
652801,2007,1,1
654326,2023,30,16
652801,2019,8,5
652801,2005,2,2
652801,2011,4,2
654226,2017,10,4
654226,2021,4,2
654226,2018,32,13
540226,2021,1,1
