unit_id,unit_nm,province,prov_cn,area_km2,pa_km2,frac_pa,bio1,bio12,elev,warming_rate,cx,cy
110101,东城区,Beijing,北京市,41.9329265201364,0,0,1.23383331298828,579,48,0.363405801314937,957173.20485649,4344981.11401506
110102,西城区,Beijing,北京市,50.3558278344066,0,0,1.23383331298828,579,48,0.363405801314937,952926.978207984,4344349.26195766
110105,朝阳区,Beijing,北京市,465.189249895765,0,0,1.21265238939856,563.122884134372,55.3429201789946,0.359355503353659,964898.745261694,4350469.92021596
110106,丰台区,Beijing,北京市,305.981206213473,0,0,1.23383331298828,579,48,0.363405801314937,944241.34639803,4334682.04709606
110107,石景山区,Beijing,北京市,84.3029469312723,0,0,1.23383331298828,579,48,0.363405801314937,936838.551930262,4344960.40955291
110108,海淀区,Beijing,北京市,428.927576751439,0,0,1.19132028833289,547.059950559935,65.1984881600349,0.355680022902096,940397.208432658,4355976.03098522
110109,门头沟区,Beijing,北京市,1450.08396524875,226.998601680892,0.156541694909337,0.917091782449405,519.243128303671,711.543428426089,0.320231439181201,903960.838710591,4348220.21727569
110111,房山区,Beijing,北京市,1997.89873874669,10.6230426695525,0.00531710765091953,1.00275392245576,544.472507076795,548.091437014473,0.327491225965523,912527.845126879,4317891.51783517
110112,通州区,Beijing,北京市,904.40221998673,0,0,1.18387007796976,543.314729695508,23.2375908210927,0.347347262654088,985032.076833205,4335749.12794544
110113,顺义区,Beijing,北京市,1009.16767093865,0,0,1.13867483891264,521.201508051023,65.9782536975827,0.352722139517007,979673.804804919,4374614.28779051
110114,昌平区,Beijing,北京市,1343.64087542283,0,0,1.09892549883142,499.8573147275,198.622655034828,0.341036386158803,936137.966442022,4376921.89149524
110115,大兴区,Beijing,北京市,1033.97732662941,0,0,1.22659450994338,569.755288416973,39.1104043748563,0.360946357057371,960808.153384366,4315203.22334571
110116,怀柔区,Beijing,北京市,2119.86045162634,0,0,0.938294608745067,488.342418593334,428.677366075845,0.34880500055093,961906.170372479,4426860.92429264
110117,平谷区,Beijing,北京市,947.502728025713,0.471374023129783,0.000497490940328977,1.12013370958393,528.798256373386,78.6208439715803,0.36076591222285,1013890.29575473,4385347.43489997
110118,密云区,Beijing,北京市,2223.95658886712,0.488358375787298,0.000219589886885367,0.954573435700821,509.539952383701,344.61742645843,0.351789122882355,997044.718672305,4419401.71408079
110119,延庆区,Beijing,北京市,1997.32951084964,40.7650706140354,0.0204097873648772,0.902252849699001,470.282763276561,561.015842253866,0.342125247017108,928080.022900197,4412833.91735945
120101,和平区,Tianjin,天津市,10.0127573309467,0,0,1.25108337402344,559,5,0.380215200860189,1033200.55259147,4263742.55995854
120102,河东区,Tianjin,天津市,39.839196863649,0,0,1.25108337402344,559,5,0.380215200860189,1038160.40600896,4264527.52542672
120103,河西区,Tianjin,天津市,37.7781264839015,0,0,1.25118725972866,558.877965155362,4.99061270425864,0.379988403047819,1036506.80019665,4259693.01715824
120104,南开区,Tianjin,天津市,38.4297609704628,0,0,1.25108337402344,559,5,0.380215200860189,1029940.10047292,4262419.31032473
120105,河北区,Tianjin,天津市,29.3323923983182,0,0,1.25108337402344,559,5,0.380215200860189,1034042.22430537,4269321.64413001
120106,红桥区,Tianjin,天津市,21.2981645142685,0,0,1.25108337402344,559,5,0.380215200860189,1029149.69993385,4268428.0353529
120110,东丽区,Tianjin,天津市,477.925612766107,0,0,1.25193306915695,558.001860618039,4.92322004754146,0.378360191096859,1050939.02075905,4267622.28783351
120111,西青区,Tianjin,天津市,566.632927466578,0,0,1.26478749296409,532.228054406906,6.45363799619845,0.337553182671698,1027994.46836107,4252823.22635362
120112,津南区,Tianjin,天津市,387.537335468636,0,0,1.27202230032503,534.402981453866,3.10792165029739,0.334502437315838,1051364.46051059,4248409.50330579
120113,北辰区,Tianjin,天津市,475.963639532993,0,0,1.24757743506093,551.568088578655,7.90813925183062,0.365499245872221,1029400.38663838,4278530.78672673
120114,武清区,Tianjin,天津市,1575.37208759892,0,0,1.22315102401596,542.479711452267,13.3558094693278,0.348169101141692,1014538.81442847,4299267.97381018
120115,宝坻区,Tianjin,天津市,1507.94320766166,21.6445978733584,0.014353722184884,1.18794266415997,559.31517421591,4.57129359381657,0.388498749591449,1043976.69165807,4320869.51140037
120116,滨海新区,Tianjin,天津市,2392.04919371692,9.30097891549597,0.00388828914552694,1.27121426396748,536.614541386074,3.33427746802798,0.339378153344308,1068031.49477569,4243712.78893744
120117,宁河区,Tianjin,天津市,1296.37207275315,312.584072575586,0.241122189489736,1.2253258719181,570.348568145544,8.50371034735133,0.376052676866445,1068291.39463416,4297551.67306514
120118,静海区,Tianjin,天津市,1474.28899515613,0,0,1.28469865415368,513.28785690222,5.03993696063887,0.336010823112639,1017431.26677586,4231837.67676039
120119,蓟州区,Tianjin,天津市,1593.56468771477,89.8835927515751,0.0564041067454069,1.0838804338508,551.920931029516,139.389067131496,0.388883710282713,1040874.52224775,4365300.96572306
130102,长安区,Hebei,河北省,144.054562947783,0,0,1.30661808932695,467.867539857187,87.1987732857624,0.341672306076921,823994.153186296,4122725.88365216
130104,桥西区,Hebei,河北省,66.3083003785489,0,0,1.30246667861938,495,117,0.340700482746743,812919.918880617,4115322.19905043
130105,新华区,Hebei,河北省,90.6037889919452,0,0,1.30246667861938,495,117,0.340700482746743,811981.017052587,4123720.55041894
130107,井陉矿区,Hebei,河北省,70.8250966684479,0,0,1.27649390224165,491.269805478912,167.901612735675,0.345028926658801,777577.390061097,4117522.09682312
130108,裕华区,Hebei,河北省,107.160664538018,0,0,1.30750937629925,462.042337304256,80.8005999899202,0.341880951651785,824680.623154277,4114678.98601101
130109,藁城区,Hebei,河北省,812.93697746912,0,0,1.31339996258378,438.907629607516,48.5636206026783,0.344589893848615,843721.845950159,4121054.22287178
130110,鹿泉区,Hebei,河北省,617.026968472147,0,0,1.28737194281739,500.37710605485,162.346927729234,0.351362597095014,803206.08348222,4120317.44123621
130111,栾城区,Hebei,河北省,350.306372625041,0,0,1.30780790509578,476.892190155541,88.1412229583102,0.360128284000703,830321.119117797,4101951.43929711
130121,井陉县,Hebei,河北省,1375.83014807466,0,0,1.18609627112087,496.349295009352,384.159233773572,0.379244359754224,781187.243760193,4107969.38479704
130123,正定县,Hebei,河北省,476.95728505353,0,0,1.3055999538852,474.521788554603,94.5075382484984,0.341433965945031,820344.399103063,4138501.5449367
130125,行唐县,Hebei,河北省,961.057658935255,0,0,1.24759253320135,456.471843471434,213.513208936253,0.343948972018849,807507.10883877,4173265.71188986
130126,灵寿县,Hebei,河北省,1054.40166845415,3.59032483533054,0.00340508265753626,1.11910884304609,463.227701205464,440.391201391847,0.340974397556518,784837.518966083,4167207.44907118
130127,高邑县,Hebei,河北省,222.049054899697,0,0,1.31193555736113,481.187555193239,79.0853664831047,0.362454433531567,830398.251849392,4070572.40986602
130128,深泽县,Hebei,河北省,296.148023760645,0,0,1.3103557174211,421.334644245096,36.0014489024744,0.33983342438665,877574.554654467,4140239.83657274
130129,赞皇县,Hebei,河北省,837.355984141454,0,0,1.20774228970388,529.436747378557,394.75705037235,0.400923187011196,802861.933883933,4068610.28739597
130130,无极县,Hebei,河北省,500.749568075276,0,0,1.31180000305176,434,50,0.342885364723123,853755.416976838,4136817.49658196
130131,平山县,Hebei,河北省,2647.28578008841,213.502733226516,0.0806496732738033,0.966314393906125,455.653020191282,737.01417452678,0.363747739888077,759153.740400586,4153195.30838027
130132,元氏县,Hebei,河北省,674.286026338357,0,0,1.23595465435452,516.720339610294,315.023055012353,0.393056029070236,813117.447391363,4089944.23221175
130133,赵县,Hebei,河北省,674.336606980683,0,0,1.32516660690308,475,38,0.357125578377008,848132.865205669,4088995.16027626
130181,辛集市,Hebei,河北省,951.798669100621,0,0,1.31755752439291,429.4272768828,27.4225284741503,0.345742805760384,886513.079813304,4110285.91738077
130183,晋州市,Hebei,河北省,602.343527387454,0,0,1.31468535319112,441.164600062615,44.9420494980746,0.345671997168397,867908.423676357,4116152.20992747
130184,新乐市,Hebei,河北省,524.195822470673,0,0,1.30306983040864,449.571707166507,63.1491699240766,0.344434973436916,835147.734764682,4156815.66728758
130202,路南区,Hebei,河北省,111.612558225189,0,0,1.16296663284302,615,23,0.353381644046857,1110952.41840599,4324518.35998964
130203,路北区,Hebei,河北省,165.939278184873,0,0,1.16296663284302,615,23,0.353381644046857,1103572.32464935,4335402.92718612
130204,古冶区,Hebei,河北省,247.611939458923,0,0,1.11324825459936,622.524644796305,23.8360716440339,0.380406182320209,1128688.51881464,4343953.05880215
130205,开平区,Hebei,河北省,247.279076297606,0,0,1.16293553062222,615.004707176142,23.0005230195714,0.353398549730149,1115567.63059888,4340651.15510229
130207,丰南区,Hebei,河北省,1383.99862002325,0,0,1.15135816230209,616.756887906134,23.1952097673482,0.359691454775015,1107401.76410012,4309815.25827222
130208,丰润区,Hebei,河北省,1215.39448653369,0,0,1.10557766929483,600.29406128135,99.7089807671855,0.356479520810287,1097636.73605429,4351579.47058253
130209,曹妃甸区,Hebei,河北省,1435.14371130482,0,0,1.15614644095395,616.032204251643,23.1146893612936,0.357088774955964,1134725.47877682,4285260.26422474
