unit_id,year,n_checklist,n_loc
632800,2005,7,7
632800,2011,5,4
632800,2018,105,57
632800,2022,62,32
540400,2018,57,20
540400,2011,8,8
540400,2002,2,2
540400,2010,2,2
540400,2017,16,13
540400,2020,135,44
632800,2013,45,19
540400,2014,5,5
540400,2009,8,4
540400,2021,525,185
632700,2019,60,34
650500,2019,2,2
650500,2022,4,4
620900,2015,5,5
620900,2007,7,4
620900,2023,19,10
632700,2010,27,15
632700,2023,149,39
540300,2022,14,7
632700,2015,10,9
620900,2019,16,13
620900,2022,3,2
632700,2014,79,52
632700,2018,188,107
632700,2016,63,12
540400,2013,6,5
540400,2019,24,7
632700,2022,195,48
632700,2017,176,69
632700,2020,80,41
632700,2021,128,45
540400,2023,204,74
540400,2015,6,5
632800,2004,17,12
632800,2014,43,29
540400,2007,20,6
632700,2013,14,8
620900,2020,9,7
540400,2022,191,75
620900,2014,4,2
540400,2016,5,5
650500,2021,3,1
650500,2020,1,1
620900,2013,6,3
620900,2012,5,4
620900,2021,3,2
620900,2011,7,6
620900,2018,2,2
620900,2004,1,1
650500,2017,1,1
540300,2004,5,5
540300,2021,6,5
540400,2004,1,1
540300,2023,6,5
540300,2020,5,5
540300,2019,1,1
632700,2006,19,11
540300,2014,2,1
632700,2002,28,15
632700,2009,16,10
632700,2005,8,5
632700,2008,5,4
632700,2007,27,11
632700,2012,20,10
632700,2004,34,19
632800,2017,40,18
540300,2007,4,2
513300,2023,88,48
533100,2020,502,125
533100,2021,226,91
533100,2023,1022,240
533100,2018,480,132
533100,2019,651,185
533100,2017,419,129
533100,2016,140,49
632800,2016,59,14
533100,2012,31,18
533100,2015,204,73
533100,2014,112,33
533100,2013,47,30
533100,2008,61,30
533100,2022,103,31
533100,2009,18,7
533100,2010,8,4
533100,2007,25,6
533100,2011,10,6
533100,2004,1,1
632600,2018,16,16
620700,2010,1,1
632600,2002,8,5
632600,2016,9,4
632600,2017,16,13
632600,2008,2,2
533100,2003,4,3
513300,2021,32,15
533100,2002,4,1
632600,2022,4,3
533100,2006,2,2
513300,2016,37,29
632600,2023,12,12
632600,2021,6,6
533100,2005,1,1
540300,2008,1,1
513300,2010,24,13
632600,2014,16,14
632600,2004,12,6
632600,2006,1,1
513300,2022,36,25
530500,2019,450,142
513300,2018,82,48
513300,2017,94,38
632600,2010,3,1
632600,2012,2,2
530500,2016,164,46
632600,2005,2,1
620200,2012,3,3
620200,2015,1,1
632600,2007,19,9
620200,2023,2,2
620200,2019,3,2
620200,2018,1,1
620200,2020,4,4
533300,2014,27,13
620200,2007,1,1
530500,2023,444,135
533300,2015,79,43
533300,2016,78,17
533300,2021,21,6
533300,2023,15,3
533300,2020,20,9
533300,2018,10,6
533300,2013,5,3
632200,2019,43,35
530500,2005,3,2
530500,2022,167,53
530500,2017,175,55
530500,2018,370,84
530500,2020,341,79
530500,2009,9,4
530500,2013,44,16
530500,2011,3,3
632200,2016,22,11
530500,2021,140,41
530500,2008,51,17
530500,2015,142,52
530500,2003,5,2
530500,2014,114,33
530500,2012,11,5
530500,2007,22,6
530500,2006,5,4
540300,2016,1,1
632600,2019,6,5
533300,2019,18,16
533300,2012,2,2
533300,2022,2,2
533300,2007,5,1
533300,2017,4,4
632600,2020,3,2
530500,2002,12,9
533300,2002,3,3
632800,2002,5,5
533400,2013,41,24
533400,2012,17,12
533400,2014,23,18
533400,2011,57,31
530500,2004,1,1
533400,2019,63,31
533400,2022,43,17
533400,2017,30,16
533400,2020,81,39
533400,2021,70,40
533400,2018,102,48
533400,2003,13,13
533400,2016,29,22
620700,2009,1,1
533400,2023,89,35
530500,2010,4,1
533400,2005,10,10
533300,2003,7,1
533400,2002,13,6
533400,2008,21,17
533400,2007,12,8
533400,2015,14,11
513300,2019,86,41
533400,2010,16,9
513300,2020,46,31
530900,2023,19,16
632800,2009,3,1
532900,2022,110,59
532900,2023,289,110
532900,2018,150,81
532900,2008,13,9
532900,2019,133,64
513300,2002,2,1
632500,2018,138,77
632500,2011,14,10
632500,2013,60,20
632500,2005,20,14
632500,2012,20,8
632500,2006,8,6
632500,2014,78,46
632500,2021,117,40
632500,2010,26,12
532900,2013,34,20
530900,2020,4,4
632500,2020,121,44
632500,2004,45,25
632500,2016,74,26
632500,2017,155,62
632500,2002,28,15
632500,2008,11,7
632500,2022,80,29
632500,2019,144,56
632500,2023,109,49
632500,2007,35,13
632500,2015,23,15
632200,2022,45,29
632200,2021,55,38
632200,2018,25,21
532900,2020,78,32
620700,2015,2,2
530800,2023,65,30
530700,2015,40,16
530700,2016,38,28
530700,2023,109,43
530700,2013,48,25
530700,2022,44,23
530700,2021,45,24
530700,2019,60,33
533400,2009,3,3
533400,2006,4,4
530700,2017,51,40
530700,2008,18,9
533400,2004,3,1
632200,2023,159,58
530700,2020,43,20
530800,2019,24,13
632200,2005,1,1
620700,2011,13,4
632200,2002,3,2
632200,2020,60,39
632200,2008,2,2
632200,2017,21,10
632200,2007,2,2
530700,2007,13,7
532900,2021,177,54
530700,2005,21,13
532900,2009,19,7
532900,2016,91,49
532900,2015,43,29
513300,2003,4,3
532900,2010,11,6
632200,2011,3,3
532900,2017,65,36
513300,2015,35,25
632200,2015,9,7
632200,2003,1,1
632200,2014,3,2
632200,2004,3,2
632200,2013,3,1
632200,2012,3,3
632200,2010,2,2
620700,2020,2,2
530800,2013,14,9
530700,2012,25,10
532900,2014,10,10
530700,2010,18,11
530700,2003,25,9
530700,2011,10,6
530700,2018,35,21
530800,2022,38,16
620700,2018,6,5
620700,2023,9,7
620700,2019,10,6
513300,2012,13,10
530800,2020,15,9
532900,2012,17,12
620700,2021,7,3
532900,2003,8,3
530700,2009,27,14
530700,2014,9,7
530700,2006,11,9
532900,2011,6,4
530700,2004,6,4
532900,2006,7,7
530900,2012,2,2
532900,2002,11,8
530700,2002,17,6
513300,2007,4,4
513300,2008,7,7
513300,2011,7,5
532900,2005,5,4
532900,2007,1,1
532800,2019,202,64
532800,2022,202,42
513300,2005,2,2
532800,2023,579,137
632500,2009,2,2
620700,2022,10,5
620700,2005,1,1
620700,2007,2,2
620700,2016,1,1
530800,2016,11,8
632600,2013,8,4
532800,2018,92,25
532800,2012,73,14
532800,2014,43,19
532800,2017,117,31
532800,2020,133,29
532800,2016,95,30
532800,2006,16,10
513400,2012,8,8
532800,2002,28,9
532800,2011,12,5
532800,2003,5,4
532800,2010,6,4
532800,2013,34,15
513400,2018,10,5
532800,2021,90,21
532800,2007,5,4
513400,2023,45,27
513400,2020,5,5
513400,2013,3,2
532800,2015,10,3
532800,2009,9,4
532800,2008,5,4
513400,2019,22,18
530800,2017,2,2
152900,2021,18,10
530800,2015,1,1
152900,2017,9,6
152900,2022,26,14
630100,2012,6,5
630100,2022,107,31
630100,2017,162,55
630100,2016,81,19
630100,2011,28,12
630100,2013,11,9
630100,2007,27,12
630100,2021,102,33
530800,2018,7,2
532300,2002,3,2
630100,2019,129,44
530800,2009,4,1
630100,2014,20,18
513300,2006,2,2
532300,2018,21,2
532300,2006,1,1
152900,2014,1,1
630100,2018,243,68
630100,2004,20,14
532300,2012,4,4
532800,2005,1,1
510400,2014,1,1
510400,2013,1,1
630100,2002,8,7
152900,2023,37,10
630100,2020,93,32
620700,2017,1,1
532300,2023,110,34
630100,2015,9,9
532300,2016,22,6
630100,2009,2,2
530800,2006,2,2
530400,2019,31,15
530400,2018,25,10
530400,2008,5,2
513300,2009,4,4
630100,2010,26,8
630100,2023,165,47
532300,2013,11,5
532300,2020,18,7
532300,2022,31,13
532300,2017,5,5
532300,2015,14,9
532300,2010,1,1
532300,2019,9,3
532300,2014,7,3
532300,2021,10,1
532300,2008,3,1
532300,2007,2,2
632300,2023,6,6
513300,2014,79,40
530800,2012,1,1
530400,2012,11,10
510400,2022,1,1
630100,2005,9,8
510400,2017,4,4
510400,2023,1,1
632300,2017,4,3
530400,2023,33,13
513200,2016,473,215
513200,2023,313,103
513400,2011,3,2
630100,2008,3,1
630100,2006,5,2
623000,2017,39,25
630200,2022,25,13
630200,2020,42,22
632300,2013,2,2
510400,2012,1,1
510400,2010,1,1
513200,2017,489,171
630200,2018,39,26
630200,2017,13,9
510400,2007,1,1
630200,2011,2,2
630200,2006,2,1
630200,2012,7,4
630200,2010,4,3
632300,2016,2,1
632300,2020,8,8
632300,2018,6,6
623000,2021,32,19
630200,2004,12,4
632300,2021,5,4
630200,2014,52,31
630200,2023,23,17
513400,2014,15,8
630200,2019,39,14
632300,2022,1,1
630200,2015,5,3
630200,2021,44,20
630200,2005,4,4
513200,2007,73,38
513300,2013,7,2
513400,2021,6,4
513200,2018,594,282
632300,2008,2,2
632300,2019,8,7
623000,2009,8,5
630200,2007,9,4
532300,2011,1,1
623000,2019,155,61
623000,2018,75,32
623000,2023,46,24
530400,2004,2,1
530400,2017,8,7
513200,2002,126,40
620300,2018,1,1
630200,2013,11,5
630200,2002,3,2
630200,2008,2,1
623000,2015,16,11
513200,2022,94,33
513200,2006,77,27
513200,2019,639,193
513200,2020,213,68
513200,2014,255,137
513200,2021,220,67
513400,2022,3,3
513400,2007,1,1
513400,2016,10,9
513400,2015,1,1
513200,2013,189,82
513200,2015,218,83
511800,2018,168,66
513200,2011,114,54
513200,2004,46,17
513200,2012,84,37
513200,2010,86,26
511800,2014,98,48
511800,2019,315,39
630200,2009,2,2
511800,2023,128,38
511800,2017,128,35
511800,2012,21,6
632300,2015,1,1
511800,2016,119,50
511800,2015,61,15
623000,2020,49,22
623000,2016,16,9
623000,2014,21,5
623000,2013,9,4
623000,2012,9,6
623000,2022,49,20
530100,2012,34,23
511800,2021,124,44
532500,2023,75,27
511800,2020,164,64
511800,2013,39,13
511800,2007,3,2
511800,2009,6,2
623000,2006,2,2
623000,2007,5,2
513200,2008,39,33
530100,2022,68,34
530100,2009,20,13
152900,2007,4,4
530100,2008,20,10
511800,2022,76,25
630200,2016,11,3
530100,2013,45,22
623000,2010,1,1
623000,2011,1,1
623000,2002,2,2
620600,2022,1,1
530100,2019,307,95
530100,2020,165,71
530100,2021,84,34
513200,2005,24,13
530100,2005,12,9
532500,2020,32,14
530100,2017,240,85
530100,2023,231,82
530100,2002,34,17
530100,2014,45,21
530100,2006,12,8
530100,2018,207,45
530100,2003,12,7
530100,2011,20,10
530100,2015,68,38
530100,2016,76,38
530100,2010,23,14
530100,2007,14,9
530100,2004,12,6
620600,2020,4,4
620600,2011,1,1
620600,2023,1,1
511800,2010,1,1
511800,2011,16,10
511800,2006,7,5
620100,2020,69,26
532500,2021,11,8
622900,2004,1,1
532500,2017,9,8
532500,2008,2,2
532500,2019,5,3
622900,2023,20,13
530400,2013,2,1
530400,2020,7,4
513200,2009,8,6
530400,2021,13,6
513200,2003,11,4
530400,2022,9,1
511400,2020,18,9
511400,2014,2,2
511400,2009,17,5
511400,2011,55,9
511400,2010,46,8
511400,2007,19,8
511400,2012,2,2
511400,2018,7,5
511400,2008,33,29
530400,2014,1,1
511400,2023,128,28
511400,2022,46,12
511400,2004,7,3
511400,2021,47,10
511400,2006,20,4
511400,2005,2,2
511400,2017,2,2
511400,2019,6,4
511100,2023,22,13
511400,2016,5,2
511400,2002,2,2
511100,2018,39,12
511100,2019,37,20
622900,2002,1,1
622900,2007,1,1
510100,2020,311,111
510100,2021,348,113
532500,2014,2,2
510100,2022,672,168
510100,2013,78,44
510100,2023,612,191
510100,2017,286,113
530600,2023,5,5
622900,2019,1,1
620100,2012,10,6
532500,2006,2,1
510100,2019,290,101
530300,2023,9,9
622900,2009,1,1
511100,2005,9,6
530300,2017,7,6
530300,2018,1,1
530300,2021,6,5
511100,2017,32,12
530300,2015,3,3
511100,2015,23,14
511100,2007,17,10
511100,2012,19,7
530600,2015,1,1
622900,2020,3,3
622900,2017,1,1
530600,2019,5,3
530600,2007,1,1
511100,2013,40,11
