unit_id,share,n_species,province,unit_nm,prov_cn,area_km2,cum_cl,frac_pa,rank_in_prov,n_unit_prov
341802,0.0689740759877638,250,Anhui,宣州区,安徽省,2598.74785952442,21,0.941505873415431,1,105
341823,0.0621465210114876,250,Anhui,泾县,安徽省,2034.83434993672,12,0.977544313096362,2,105
341003,0.0391522795043719,250,Anhui,黄山区,安徽省,1743.86316851369,139,0.0118173937108229,3,105
341721,0.0366651331761537,250,Anhui,东至县,安徽省,3249.32581187068,38,0.0770308867771077,4,105
341022,0.0318640495022731,250,Anhui,休宁县,安徽省,2141.59581145338,37,0,5,105
341882,0.031711234183097,250,Anhui,广德市,安徽省,2115.87156505179,3,0.983886847592886,6,105
341881,0.0289650864332375,250,Anhui,宁国市,安徽省,2454.296034716,58,0.0824440896851817,7,105
341821,0.0281303472222717,250,Anhui,郎溪县,安徽省,1099.0001807665,5,0.983250045277035,8,105
340124,0.0243904832389183,250,Anhui,庐江县,安徽省,2343.57160943703,58,0,9,105
340122,0.0230779942119831,250,Anhui,肥东县,安徽省,2204.33556996884,119,0,10,105
341702,0.021314431993614,250,Anhui,贵池区,安徽省,2509.62487599359,21,0.0337410542943002,11,105
341024,0.0208914348874566,250,Anhui,祁门县,安徽省,2216.53253560337,15,0.0153041896285971,12,105
340123,0.0196443857349046,250,Anhui,肥西县,安徽省,1696.48264126314,76,0,13,105
341023,0.019372771169781,250,Anhui,黟县,安徽省,857.893842862502,43,0,14,105
341021,0.0193339058395263,250,Anhui,歙县,安徽省,2125.44558261765,17,0.0123474569441991,15,105
341524,0.019021973429883,250,Anhui,金寨县,安徽省,3918.38531652127,18,0.072081977996764,16,105
340826,0.0189753535074011,250,Anhui,宿松县,安徽省,2367.3165189573,16,0.000540486833211645,17,105
340882,0.018747987115395,250,Anhui,潜山市,安徽省,1691.69487660442,27,0,18,105
341525,0.0186466723662819,250,Anhui,霍山县,安徽省,2045.3389591606,37,0.00183904735273453,19,105
340104,0.0183740090378779,250,Anhui,蜀山区,安徽省,651.75725413931,188,0,20,105
340111,0.0165028450991896,250,Anhui,包河区,安徽省,299.789166639558,286,0,21,105
340223,0.0146081835997592,250,Anhui,南陵县,安徽省,1260.65949837816,0,0.917233992710594,22,105
340181,0.0145982761979927,250,Anhui,巢湖市,安徽省,2030.3996159715,29,0,23,105
341002,0.0144196759993778,250,Anhui,屯溪区,安徽省,155.864449361727,94,0,24,105
341523,0.0136865254567048,250,Anhui,舒城县,安徽省,2110.1050904764,15,0,25,105
341723,0.0136508600001977,250,Anhui,青阳县,安徽省,1197.09210142991,12,0.119774961306248,26,105
340722,0.0136201941574239,250,Anhui,枞阳县,安徽省,1796.15902998875,13,0,27,105
341722,0.0132765365106808,250,Anhui,石台县,安徽省,1411.69676030792,10,0.0250903358321127,28,105
340828,0.013141188120952,250,Anhui,岳西县,安徽省,2369.95056692102,9,0.0527845789076437,29,105
341824,0.0129697670672007,250,Anhui,绩溪县,安徽省,1102.79585843746,15,0.0393110897287226,30,105
341004,0.0123597585163019,250,Anhui,徽州区,安徽省,437.019692373557,25,0,31,105
340881,0.0123308898812945,250,Anhui,桐城市,安徽省,1547.22682842682,12,0,32,105
341503,0.0110332316818926,250,Anhui,裕安区,安徽省,1908.0470556763,16,0,33,105
340827,0.0104867548592996,250,Anhui,望江县,安徽省,1341.50948482167,6,0,34,105
340281,0.0104082521678962,250,Anhui,无为市,安徽省,2018.94348608385,9,0,35,105
340825,0.00936764844850107,250,Anhui,太湖县,安徽省,2038.11777480572,3,0,36,105
340706,0.0082599644915344,250,Anhui,义安区,安徽省,904.385406724921,10,0,37,105
340121,0.00814232051651226,250,Anhui,长丰县,安徽省,1838.69635712432,13,0,38,105
341502,0.00793686596309483,250,Anhui,金安区,安徽省,1668.57894643649,7,0,39,105
341125,0.00737766585522964,250,Anhui,定远县,安徽省,3003.59178214964,7,0,40,105
341522,0.00700100883264566,250,Anhui,霍邱县,安徽省,3239.50074222563,4,0,41,105
340521,0.00603915002080671,250,Anhui,当涂县,安徽省,1009.10106782524,8,0,42,105
340811,0.00575376026610674,250,Anhui,宜秀区,安徽省,418.301459011547,6,0,43,105
340207,0.0056145813555301,250,Anhui,鸠江区,安徽省,870.481490398231,6,0,44,105
341103,0.00548794542174266,250,Anhui,南谯区,安徽省,1178.27790022918,9,0,45,105
341825,0.00529111267023328,250,Anhui,旌德县,安徽省,907.451472318863,1,0.0656839172750396,46,105
341226,0.00514777155139657,250,Anhui,颍上县,安徽省,1988.21823382533,4,0,47,105
340221,0.00510912769670013,250,Anhui,芜湖县,安徽省,649.283385076293,4,0.0819676761961481,48,105
340802,0.00495263618771145,250,Anhui,迎江区,安徽省,202.02534477605,8,0.00154822064738269,49,105
340103,0.00478516616476074,250,Anhui,庐阳区,安徽省,138.005488604989,38,0,50,105
341302,0.00464279145229657,250,Anhui,埇桥区,安徽省,2902.13733044232,3,0,51,105
