level,model,term,OR,lo,hi,P,concordance,AIC
prefecture,M0 面积,log_area_z,1.76144624476957,1.53452559545259,2.021923180954,8.56984205855696e-16,0.634601154358443,2770.05727024442
prefecture,M1 +累计观鸟努力,log_area_z,1.58127554125379,1.37588759097182,1.81732312564964,1.08053292691261e-10,0.6877312416753,2668.63184788151
prefecture,M1 +累计观鸟努力,log_eff_z,1.81572514655733,1.61506158164161,2.0413201857539,1.81176986755327e-23,0.6877312416753,2668.63184788151
prefecture,M2 +到分布区距离,log_area_z,1.63100144474684,1.40332894129918,1.89561095369668,1.8013663590063e-10,0.745005179813527,2464.94003149549
prefecture,M2 +到分布区距离,log_eff_z,1.84172856749982,1.62983626047023,2.08116864166853,1.20355337758844e-22,0.745005179813527,2464.94003149549
prefecture,M2 +到分布区距离,log_dist_z,0.1555014049779,0.117013308729423,0.206649031744034,1.14816799029425e-37,0.745005179813527,2464.94003149549
prefecture,M2 +到分布区距离,in_range,0.0319265741042493,0.0135764024411728,0.0750792515506832,2.9085396528359e-15,0.745005179813527,2464.94003149549
prefecture,M3 +环境,log_area_z,1.84651262010225,1.55641994800542,2.19067409189041,2.01698844676391e-12,0.738789403581471,2447.03425789774
prefecture,M3 +环境,log_eff_z,1.8615754360797,1.64289497113907,2.10936375428345,1.90407970242077e-22,0.738789403581471,2447.03425789774
prefecture,M3 +环境,log_dist_z,0.177190802367817,0.132144564752434,0.237592673619007,6.33186391787771e-31,0.738789403581471,2447.03425789774
prefecture,M3 +环境,in_range,0.0401076872159806,0.0167717438994965,0.0959128987095504,4.82630446731221e-13,0.738789403581471,2447.03425789774
prefecture,M3 +环境,elev_z,1.14492290017342,0.746181952684304,1.75674102358799,0.535527272010748,0.738789403581471,2447.03425789774
prefecture,M3 +环境,bio1_z,2.23127498128868,1.40840372671351,3.53491541359543,0.000628988907692376,0.738789403581471,2447.03425789774
prefecture,M3 +环境,bio12_z,1.1752302092864,0.896374122452761,1.54083658845489,0.242652876721426,0.738789403581471,2447.03425789774
prefecture,M3 +环境,frac_pa_z,1.02870886181915,0.926394012539113,1.14232379318252,0.596416905425933,0.738789403581471,2447.03425789774
county,M0 面积,log_area_z,1.8404416919184,1.63798760443099,2.06791895872016,1.07281485639737e-24,0.642043463021381,5276.44275911984
county,M1 +累计观鸟努力,log_area_z,1.82586435185886,1.63151692382884,2.04336258036801,1.01164504925498e-25,0.710778128286015,5027.33354550489
county,M1 +累计观鸟努力,log_eff_z,1.82091908593274,1.69817708358392,1.95253271850566,1.39785134481859e-63,0.710778128286015,5027.33354550489
county,M2 +到分布区距离,log_area_z,1.76562400554681,1.57269096341819,1.98222549850961,6.01185048616372e-22,0.756326673676831,4772.24424690592
county,M2 +到分布区距离,log_eff_z,1.83312397166393,1.70703345004299,1.96852820628929,2.2583015194832e-62,0.756326673676831,4772.24424690592
county,M2 +到分布区距离,log_dist_z,0.203901669150136,0.162721310496024,0.255503661785144,2.07188277352336e-43,0.756326673676831,4772.24424690592
county,M2 +到分布区距离,in_range,0.149523211757705,0.0773737916337367,0.288950436346348,1.57144547491512e-08,0.756326673676831,4772.24424690592
county,M3 +环境,log_area_z,1.75499292455183,1.55922328833462,1.97534258772949,1.1551598529374e-20,0.765089379600421,4701.64325165579
county,M3 +环境,log_eff_z,1.75193395428458,1.62957284181123,1.88348289896866,4.85499448196027e-52,0.765089379600421,4701.64325165579
county,M3 +环境,log_dist_z,0.23728926797844,0.188304967087882,0.29901599287854,3.35474095238157e-34,0.765089379600421,4701.64325165579
county,M3 +环境,in_range,0.150543422356574,0.0767047172613609,0.295461906698744,3.71318977127854e-08,0.765089379600421,4701.64325165579
county,M3 +环境,elev_z,1.20011775271941,0.798917550081585,1.80279256632327,0.379584724860919,0.765089379600421,4701.64325165579
county,M3 +环境,bio1_z,1.95538820918519,1.30599411083239,2.92768781796687,0.00112842529572095,0.765089379600421,4701.64325165579
county,M3 +环境,bio12_z,1.45687784193983,1.17884238908712,1.80048924774318,0.000496091907249189,0.765089379600421,4701.64325165579
county,M3 +环境,frac_pa_z,1.22964451616932,1.15467950746032,1.30947646197596,1.18346747849602e-10,0.765089379600421,4701.64325165579
