grouping,group,converged,re_structure,n,events,species,AIC,HR_change,lo_change,hi_change,P_change,HR_effort,lo_effort,hi_effort,P_effort,HR_var,P_var,HR_int,lo_int,hi_int,P_int,min_re_sd
three-level,Resident,TRUE,species + province (reduced: full structure not identifiable),66284,218,137,2903.26538082878,1.36302980802461,1.15782391109584,1.60460519061591,0.00019899213870766,1.29318969412698,1.11013046396791,1.50643517971648,0.0009613086060877,0.992762894719716,0.917986442055336,0.975346387486167,0.826897497135807,1.1504455859129,0.766982332865257,0.000216870768818578
three-level,Partial,TRUE,species + province + province:year,37381,156,72,1983.45445409769,1.50734931457518,1.2444993415616,1.82571567558985,2.70070784756256e-05,1.27025012508442,1.03010605485396,1.56637792067511,0.0252579302002299,0.948865809025513,0.563780422763048,1.07488262243886,0.876963976573565,1.31746877053636,0.48674309432794,0.132566549693176
three-level,Long-distance,TRUE,species + province (reduced: full structure not identifiable),59589,175,107,2345.31026598651,1.51408914262972,1.26491599237953,1.8123463895153,6.13510605354937e-06,1.34382476906395,1.13029148297371,1.59769850268948,0.000816237541893682,0.884663024871604,0.117735238821988,0.726575895835082,0.605792533568569,0.871441133978252,0.000574220516209028,8.95432533284041e-05
two-level,Resident,TRUE,species + province (reduced: full structure not identifiable),66284,218,137,2903.26538082878,1.36302980802461,1.15782391109584,1.60460519061591,0.00019899213870766,1.29318969412698,1.11013046396791,1.50643517971648,0.0009613086060877,0.992762894719716,0.917986442055336,0.975346387486167,0.826897497135807,1.1504455859129,0.766982332865257,0.000216870768818578
two-level,Migratory,TRUE,species + province + province:year,96970,331,179,4307.57564375006,1.48171197755619,1.28464308885618,1.70901194540211,6.66530342969894e-08,1.32401474763544,1.13794067093518,1.54051533329543,0.000280874364824794,0.93457969602229,0.28136715687952,0.871229575643761,0.753365219262953,1.00753386812708,0.0630565361685804,0.315144931316629
