level,province,model,n_event,rank_pct,top1,top3,top10pct
prefecture,Jiangsu,XGBoost(类平衡),29,0.26790450928382,0.241379310344828,0.586206896551724,0.344827586206897
prefecture,Tibet,XGBoost(类平衡),48,0.392857142857143,0.270833333333333,0.729166666666667,0.270833333333333
prefecture,Xinjiang,XGBoost(类平衡),15,0.508333333333333,0.0666666666666667,0.133333333333333,0.133333333333333
prefecture,Inner Mongolia,XGBoost(类平衡),28,0.375,0.214285714285714,0.5,0.285714285714286
prefecture,Gansu,XGBoost(类平衡),35,0.406122448979592,0.142857142857143,0.4,0.2
prefecture,Liaoning,XGBoost(类平衡),15,0.295238095238095,0.2,0.6,0.333333333333333
prefecture,Anhui,XGBoost(类平衡),28,0.337053571428571,0.107142857142857,0.357142857142857,0.214285714285714
prefecture,Henan,XGBoost(类平衡),27,0.230452674897119,0.222222222222222,0.518518518518519,0.407407407407407
prefecture,Shandong,XGBoost(类平衡),17,0.448529411764706,0.176470588235294,0.411764705882353,0.294117647058824
prefecture,Guizhou,XGBoost(类平衡),23,0.497584541062802,0.130434782608696,0.434782608695652,0.130434782608696
prefecture,Zhejiang,XGBoost(类平衡),23,0.375494071146245,0.217391304347826,0.347826086956522,0.304347826086957
prefecture,Hubei,XGBoost(类平衡),22,0.53475935828877,0.0909090909090909,0.181818181818182,0.136363636363636
prefecture,Shaanxi,XGBoost(类平衡),42,0.404761904761905,0.261904761904762,0.452380952380952,0.261904761904762
prefecture,Hunan,XGBoost(类平衡),46,0.537267080745342,0.0652173913043478,0.152173913043478,0.0869565217391304
prefecture,Sichuan,XGBoost(类平衡),15,0.393650793650794,0.2,0.2,0.2
prefecture,Hainan,XGBoost(类平衡),10,0.322222222222222,0.4,0.4,0.4
prefecture,Guangxi,XGBoost(类平衡),17,0.483193277310924,0.117647058823529,0.235294117647059,0.176470588235294
prefecture,Yunnan,XGBoost(类平衡),20,0.43125,0.15,0.3,0.2
