model,converged,offset,n,events,AIC,logLik,HR_effort,P_effort,HR_change,P_change,HR_var,P_var,HR_int,P_int,min_re_sd,re_terms
R0: (1|species),TRUE,yes,175901,649,8471.03657807787,-4229.51828903894,1.32948646024627,1.49119460661031e-11,1.42077017915589,1.83975681080881e-16,0.949563240597611,0.206998848683365,0.88347360600473,0.00854604166251114,0.389223261657405,species=0.389
R1: (1|species) + (1|province),TRUE,yes,175901,649,8406.59927767752,-4196.29963883876,1.44796449132282,7.16694722837037e-16,1.42804702059126,2.44724886537569e-10,0.96155332012369,0.345095722953326,0.862427384195833,0.00229014993169788,0.373323485303332,species=0.373; province=0.449
R2: (1|species) + (1|province) + (1|year),TRUE,yes,175901,649,8382.72347924383,-4183.36173962191,1.19089963313883,0.0862211909938069,1.39687480448267,3.03775207345312e-09,0.96995399369099,0.475594588343987,0.864394689532691,0.00451314653182441,0.377217725377319,species=0.377; province=0.419; year=0.395
R3: (1|species) + (1|province) + (1|prov_year),TRUE,yes,175901,649,8313.15361099188,-4148.57680549594,1.4038169859134,2.89651690863056e-08,1.36164754167317,8.33903878612454e-08,0.995095739809156,0.91565385817717,0.84924794872335,0.00365005267236242,0.326206867064981,species=0.405; province=0.326; prov_year=0.804
R4: (1|species) + (1|province) + (1|prov_year) + (0 + clim_change_z|species),TRUE,yes,175901,649,8312.3758081376,-4147.1879040688,1.39690788227046,5.0277866462088e-08,1.34816481980394,4.61514740927445e-07,0.995035001048076,0.914553890808129,0.853681144381557,0.00453805245536368,0.273670459119776,species=0.376; province=0.305; prov_year=0.810; species.1=0.274
R5: (1|species) + (1|province) + (1|prov_year) + (0 + effort_z|province),TRUE,yes,175901,649,8307.9002268992,-4144.9501134496,1.37222404008568,0.000119334830055342,1.36630211884993,6.33676453793362e-08,0.996184932816984,0.934492512497199,0.822767091322362,0.00133494775039822,0.302187419328125,species=0.402; province=0.327; prov_year=0.762; province.1=0.302
R5: (1|species) + (1|province) + (1|prov_year) + (0 + effort_z|province) (no offset),TRUE,no,175901,649,8317.01556542369,-4149.50778271185,1.24544615872948,0.00467266150869122,1.3627526529559,6.24269760512923e-08,0.995724892279972,0.927009335515174,0.826257535424625,0.00137893103093116,0.268262286625537,species=0.406; province=0.297; prov_year=0.796; province.1=0.268
