ssp,eff,horizon,province,exp_n,n_sp,pct_sup
ssp245,努力延续,2030,Jilin,0.581993337541902,184,0.657608695652174
ssp245,努力延续,2030,Liaoning,0.737547188000022,227,0.740088105726872
ssp245,努力延续,2030,Qinghai,0.716818250663016,215,0.669767441860465
ssp245,努力延续,2030,Shaanxi,1.04106307173095,256,0.66796875
ssp245,努力延续,2030,Shandong,1.02939172054211,265,0
ssp245,努力延续,2030,Shanxi,0.421142667595901,211,0.739336492890995
ssp245,努力延续,2030,Sichuan,1.04413664952425,318,0
ssp245,努力延续,2030,Xinjiang,0.499111786835915,262,0
ssp245,努力延续,2030,Yunnan,0.198048607556963,291,0.680412371134021
ssp245,努力延续,2030,Zhejiang,1.16258603197825,283,0
ssp245,努力延续,2030,Beijing,0.74728494115969,160,0
ssp245,努力延续,2030,Inner Mongolia,0.780552275517246,195,0.558974358974359
ssp245,努力延续,2030,Jiangsu,1.4686646460404,271,0
ssp245,努力延续,2030,Ningxia,0.545357486205892,171,0.52046783625731
ssp245,努力延续,2030,Shanghai,0.849585706602965,223,0
ssp245,努力延续,2030,Tianjin,0.528596538158643,168,0.791666666666667
ssp245,努力延续,2030,Tibet,1.07151142189407,251,0.725099601593626
ssp245,努力延续,2050,Anhui,1.83680682056197,265,0
ssp245,努力延续,2050,Chongqing,1.63568397212172,295,0
ssp245,努力延续,2050,Fujian,2.69532198638477,293,0
ssp245,努力延续,2050,Gansu,1.22722917716125,258,0
ssp245,努力延续,2050,Guangdong,1.01090149548299,261,0
ssp245,努力延续,2050,Guangxi,4.27226383944584,278,0
ssp245,努力延续,2050,Guizhou,3.18541790729237,291,0
ssp245,努力延续,2050,Hainan,3.61124337168245,202,0
ssp245,努力延续,2050,Hebei,0.803494840437176,214,0
ssp245,努力延续,2050,Heilongjiang,0.861367231467626,170,0
ssp245,努力延续,2050,Henan,1.32867995739349,239,0
ssp245,努力延续,2050,Hubei,2.10870485025886,274,0
ssp245,努力延续,2050,Hunan,4.55407978770106,252,0
ssp245,努力延续,2050,Jiangxi,2.07251668310921,254,0
ssp245,努力延续,2050,Jilin,0.755865347089494,184,0
ssp245,努力延续,2050,Liaoning,1.21282250426993,227,0
ssp245,努力延续,2050,Qinghai,1.32860880319909,215,0
ssp245,努力延续,2050,Shaanxi,1.40677268486642,256,0
ssp245,努力延续,2050,Shandong,2.2683089581198,265,0
ssp245,努力延续,2050,Shanxi,0.595630877809582,211,0
ssp245,努力延续,2050,Sichuan,2.57891011984887,318,0
ssp245,努力延续,2050,Xinjiang,0.431611903799966,262,0
ssp245,努力延续,2050,Yunnan,0.294668214165358,291,0.584192439862543
