scheme,model,n_fold,auc,auc_sd,prauc,prauc_sd,brier,cal_slope,prauc_lift
random,XGBoost(同信息),5,0.638998892404761,0.00819183824976791,0.00961333400953827,0.0044402243639452,0.00367462841546199,0.588184869922605,2.60553939231401
random,XGBoost(加结构),5,0.694804571806018,0.0154410099026887,0.0105815059469942,0.00344516037593898,0.00366955866644467,0.755112361149893,2.86794680675228
random,XGBoost(类平衡),5,0.695473096758376,0.0113912871399036,0.00969348706438836,0.00279319789124764,0.116905963560651,0.602707679913421,2.62726358723109
leave_species,XGBoost(同信息),5,0.642350921677275,0.015548881391332,0.00789665523439164,0.00150333488236563,0.00368781177176778,0.599846637719448,2.14026125174842
leave_species,XGBoost(加结构),5,0.691114695259178,0.0189713567724055,0.0104378679711847,0.00279114146987414,0.00368479678054698,0.721756961698792,2.82901604622399
leave_species,XGBoost(类平衡),5,0.690947939953441,0.00825562103266799,0.0118086804240461,0.00433528057679969,0.116478574732923,0.584906039219172,3.20055268916817
leave_province,XGBoost(同信息),5,0.589752515129823,0.0458643592466027,0.00498471865320877,0.00140943604373745,0.003676758828987,0.379721921815694,1.35102772853324
leave_province,XGBoost(加结构),5,0.623445543911248,0.0442860341549381,0.00622779021202056,0.00233256822589859,0.00367302553497271,0.516930337610533,1.68794225899018
leave_province,XGBoost(类平衡),5,0.613295919766523,0.0532903226821057,0.00578071433154836,0.00190850433453891,0.177688737455149,0.390053182777038,1.56676954026762
temporal,XGBoost(同信息),1,0.560033533682325,,0.00613882191646306,,0.00500834460165666,0.249272328738134,1.66382883501967
temporal,XGBoost(加结构),1,0.60877633835033,,0.00824174979713615,,0.00500076784811086,0.450933935421502,2.23379357637295
temporal,XGBoost(类平衡),1,0.59224920920076,,0.00723786177097388,,0.0585212427653921,0.219977039829546,1.96170589118039
