province,prov_cn,unit_id,unit_nm,share,rank_in_prov,n_unit_prov,cum_cl,frac_pa
Tibet,西藏自治区,540423,墨脱县,0.4378,1,74,665,0.217
Shanghai,上海市,310115,浦东新区,0.2941,1,16,6334,0.013
Tianjin,天津市,120116,滨海新区,0.2565,1,16,614,0.004
Inner Mongolia,内蒙古自治区,152921,阿拉善左旗,0.2121,1,103,171,0.508
Henan,河南省,411521,罗山县,0.166,1,158,871,0.229
Ningxia,宁夏回族自治区,640502,沙坡头区,0.1649,1,22,49,0.262
Shanghai,上海市,310151,崇明区,0.1619,2,16,1082,0.041
Tianjin,天津市,120119,蓟州区,0.1432,2,16,177,0.056
Hainan,海南省,469027,乐东黎族自治县,0.1409,1,24,897,0.036
Shaanxi,陕西省,610723,洋县,0.1252,1,107,426,0.211
Hainan,海南省,460400,儋州市,0.1238,2,24,279,0.079
Tianjin,天津市,120111,西青区,0.1214,3,16,419,0
Jilin,吉林省,222404,珲春市,0.1212,1,60,211,0.32
Beijing,北京市,110114,昌平区,0.1178,1,16,4488,0
Ningxia,宁夏回族自治区,640424,泾源县,0.1168,2,22,17,0.515
Tibet,西藏自治区,540530,错那县,0.1154,2,74,65,0
Yunnan,云南省,532823,勐腊县,0.1154,1,129,1304,0.224
Qinghai,青海省,632521,共和县,0.106,1,45,995,0.188
Beijing,北京市,110105,朝阳区,0.097,2,16,4975,0
Liaoning,辽宁省,211103,兴隆台区,0.0966,1,93,83,0.685
Beijing,北京市,110108,海淀区,0.0961,3,16,6331,0
Jilin,吉林省,220822,通榆县,0.0934,2,60,85,0.127
Beijing,北京市,110109,门头沟区,0.0926,4,16,1726,0.157
Beijing,北京市,110119,延庆区,0.0911,5,16,1989,0.02
Ningxia,宁夏回族自治区,640122,贺兰县,0.085,3,22,92,0.252
Chongqing,重庆市,500116,江津区,0.0831,1,38,107,0.061
Yunnan,云南省,533123,盈江县,0.0828,2,129,3162,0
Hebei,河北省,130209,曹妃甸区,0.0822,1,168,2317,0
Liaoning,辽宁省,211104,大洼区,0.0791,2,93,587,0.177
Tianjin,天津市,120112,津南区,0.0781,4,16,211,0
Shanghai,上海市,310118,青浦区,0.0762,3,16,599,0
Guangxi,广西壮族自治区,451002,右江区,0.0756,1,111,1253,0.01
Jiangxi,江西省,361130,婺源县,0.0751,1,100,1044,0.008
Beijing,北京市,110118,密云区,0.0731,6,16,982,0
Shandong,山东省,370212,崂山区,0.073,1,136,209,0.838
Beijing,北京市,110116,怀柔区,0.0729,7,16,1163,0
Beijing,北京市,110112,通州区,0.0727,8,16,1551,0
Jilin,吉林省,220821,镇赉县,0.0725,3,60,39,0.283
Qinghai,青海省,632725,囊谦县,0.0711,2,45,446,0
Hubei,湖北省,429021,神农架林区,0.0704,1,103,239,0.241
Shanghai,上海市,310112,闵行区,0.0695,4,16,784,0
Anhui,安徽省,341802,宣州区,0.069,1,105,21,0.942
Beijing,北京市,110111,房山区,0.0679,9,16,865,0.005
Yunnan,云南省,532801,景洪市,0.0672,3,129,439,0.195
Fujian,福建省,350782,武夷山市,0.0671,1,84,197,0.088
Qinghai,青海省,632701,玉树市,0.0671,3,45,533,0.007
Hainan,海南省,469026,昌江黎族自治县,0.0651,3,24,181,0.133
Shanghai,上海市,310117,松江区,0.0649,5,16,411,0
Fujian,福建省,350429,泰宁县,0.0634,2,84,534,0.003
Guangxi,广西壮族自治区,451423,龙州县,0.0631,2,111,732,0.112
