level,split,model,n_event,rank_pct,top1,top3,top10pct,n_prov,n_better
prefecture,时间前推 2019–2024,XGBoost(类平衡),219,0.35235004311354,0.26027397260274,0.602739726027397,0.36986301369863,,
prefecture,留一省,XGBoost(类平衡),460,0.40231524649841,0.181964568054795,0.385578268813183,0.2433517087562,18,15
county,时间前推 2019–2024,XGBoost(类平衡),218,0.268782917665565,0.174311926605505,0.261467889908257,0.380733944954128,,
county,留一省,XGBoost(类平衡),588,0.351318029677926,0.0413155752032933,0.12936778241877,0.274949833049995,29,27
