spec,label,window,n,events,AIC,logLik,sd_change_raw,sd_var_raw,cor_change_var,re_terms,dAIC
S4M_exposure_moderates,S4M warming x heat-exposure moderation,20,175901,649,8305.81189869851,-4142.90594934926,,,-0.144157362966914,species=0.386; province=0.324; prov_year=0.799,-5.13880979294481
S0_tavg_annual,"S0 relative warming, annual mean (main)",20,175901,649,8310.95070849146,-4147.47535424573,0.15415453723643,0.360154997655603,0.0396801488719948,species=0.399; province=0.325; prov_year=0.805,0
S1_tmax_warm,"S1 relative warming, warmest-season max",20,175901,649,8321.08787034645,-4152.54393517322,0.258685051671049,0.765073252485611,0.0774348519787706,species=0.393; province=0.316; prov_year=0.834,10.1371618549874
S4_heat_exposure,S4 heat exposure (Tmax - species Tmax baseline),20,175901,649,8335.17891484147,-4159.58945742073,5.53736662204754,0.6553982224834,0.0603750025041174,species=0.401; province=0.380; prov_year=0.827,24.2282063500079
S3_niche_track,S3 niche tracking (change in -|gap|),20,175901,649,8338.00315193847,-4161.00157596923,0.150452002554644,0.357495630511944,0.0502322164336594,species=0.398; province=0.395; prov_year=0.827,27.0524434470081
S2_niche_prox,S2 niche proximity level (-|gap|),20,175901,649,8338.36006453466,-4161.18003226733,5.50665567256939,0.357495630511944,0.013058986636863,species=0.437; province=0.380; prov_year=0.829,27.4093560431957
S2Q_niche_prox_quad,S2Q niche proximity with quadratic term,20,175901,649,8339.42632290466,-4160.71316145233,5.50665567256939,0.357495630511944,0.013058986636863,species=0.443; province=0.380; prov_year=0.829,28.4756144131989
