model,AIC,note
M1 taxonomic nesting,1465.1685906646,(1|order/family/genus)
M2 phylogenetic eigenvectors,1463.31906593076,"10 eigenvectors, 71.6% of phylogenetic distance"
M3 phyloglm,1487.41641873846,"Ives & Garland logistic MPLE, alpha = 0.597"
