grid_id,province,centroid_lon,centroid_lat,warming_rate,frac_pa_all,frac_pa_national,n_cl_recent,elev
2324,Inner Mongolia,107.33910160947,38.9341141176275,0.491414168037288,0.169441150375743,0.169441150375743,0,1214
3511,Xinjiang,90.4450215248893,47.1393787497072,0.491370248240589,0.767200937429646,0,0,3054
1751,Tibet,81.2136555234994,33.5658558925545,0.490854203697747,1,1,0,4714
1824,Tibet,81.0829859468088,33.9962492118713,0.490854203697747,1,1,0,5195
1898,Tibet,81.4890821131876,34.5313813730186,0.490140535099351,1,1,0,5544
1971,Tibet,81.3583158120949,34.9616945916873,0.490140535099351,0.978057175586405,0.978057175586405,0,5226
3468,Xinjiang,82.8736574436318,45.7077885691376,0.487439625961547,0.385536852426561,0,0,2035
1970,Tibet,80.8173784005571,34.8560997960761,0.477646030839835,1,1,0,5211
1750,Tibet,80.6823027813919,33.459521055485,0.477031195949359,0.538472405550531,0.538472405550531,0,4920
1897,Tibet,80.950901119914,34.4263239265813,0.475647783817353,1,1,0,5411
1823,Tibet,80.5489505745552,33.8893900302857,0.472419866261334,0.62868708777363,0.62868708777363,0,4871
1903,Tibet,84.2006290040168,35.0213261903123,0.471354839833332,0.976876784579284,0.976876784579284,0,5078
3215,Xinjiang,88.6038248847333,43.7668111928341,0.468533171650855,0.553671429635484,0.553671429635484,0,3825
3544,Xinjiang,90.3481539523921,47.5849027543758,0.468368482543258,0.499200087313992,0,0,3064
2045,Tibet,80.6823946716206,35.2855967772908,0.468192809670804,0.508502381641417,0.508502381641417,0,6045
1896,Tibet,80.4141579399693,34.3189294901244,0.460518227364143,0.529227169404925,0.529227169404925,0,5335
1969,Tibet,80.2779019174309,34.7481589586465,0.457356163647826,0.736088503159461,0.736088503159461,0,5317
2833,Xinjiang,91.5976218338364,41.3960686790187,0.456708401843225,0.345768365073768,0.345768365073768,0,1058
2046,Xinjiang,81.226114806209,35.3917401536027,0.456060606987103,0.170252071668166,0.170252071668166,0,6341
2754,Xinjiang,92.8764000867215,41.0700158369882,0.455786124661198,1,1,0,1650
2539,Inner Mongolia,105.588542621784,40.2816083535321,0.455467743516871,0.448791384989901,0,0,1641
2615,Inner Mongolia,104.990746305525,40.7259123877006,0.452689950159298,0.823678457344502,0,0,1219
1972,Tibet,81.9006878480496,35.0649348029417,0.447507687214865,0.757495989143424,0.757495989143424,0,5098
2167,Ningxia,106.731731668514,38.0585810188478,0.447112456375556,0.163316170459287,0.16141316520506,0,1357
1904,Tibet,84.7468752506996,35.112190776438,0.445454546666369,0.999955355380718,0.999955355380718,0,4952
1837,Tibet,88.1444460176797,35.1707230560469,0.445169101234854,1,1,0,4962
3393,Xinjiang,83.7777972746978,44.9314083157493,0.443829611090222,0.22324263949262,0.223242639492619,0,250
2165,Inner Mongolia,105.571343347025,38.0688419811101,0.442512075300993,0.159385028619675,0,0,1514
1827,Tibet,82.6934800847286,34.3028258210799,0.440832241581893,1,1,0,5251
2469,Inner Mongolia,107.367088940639,39.8190476911397,0.440711474632636,0.811417738391401,0.811417738391401,0,1388
1800,Gansu,108.372839311267,35.8134567835731,0.440634633065559,0.105627685097064,0.105627685097064,0,1424
2044,Xinjiang,80.1401590675332,35.1770981478177,0.439229265553979,0.322513868817471,0.322513868817471,0,4993
2397,Inner Mongolia,107.35301207145,39.3765173542624,0.438932819737773,0.475032167962108,0.475032167962108,0,1380
1828,Tibet,83.2330204828855,34.4003243478578,0.436583233806626,1,1,0,5408
2395,Inner Mongolia,106.172127641193,39.3922317089356,0.436122097509357,0.0634998692543545,0.0634998692543545,0,1379
2089,Ningxia,105.568023419336,37.6265358412558,0.43532060618035,0.503940138206711,0,0,1431
2617,Inner Mongolia,106.193425226972,40.7206270553261,0.435166894676238,0.50497295966051,0.313229852366245,0,1699
1899,Tibet,82.0286749502829,34.6340935030323,0.434057982910881,1,1,0,5166
2164,Inner Mongolia,104.991070823194,38.0700948638621,0.433893286708545,1,0,0,1349
2624,Inner Mongolia,110.39773540576,40.617665825442,0.433344327303555,0.272844136013539,0.272844136013539,0,1379
2614,Inner Mongolia,104.389385801296,40.7245290644388,0.432202456873213,0.270513226899326,0,0,1349
3433,Xinjiang,83.0153453970714,45.2713263772489,0.432059750813282,0.0541714416966013,0.0541714416966013,0,1280
2015,Ningxia,106.138272009771,37.1804537409773,0.431949928128044,0.12979129415013,0.12979129415013,0,1678
1900,Tibet,82.5696531916521,34.7344520972758,0.431653516401435,1,1,0,5196
1804,Shanxi,110.623325006709,35.7332937928413,0.431653499183624,0.0864591795799658,0.0642289524315337,0,683
1735,Henan,112.82379636988,35.1719547632923,0.431016684735997,0.0755625895055539,0.0755625895055539,0,196
2392,Inner Mongolia,104.400283432946,39.3960595520426,0.430314016184448,1,0,0,1339
2391,Gansu,103.809697852288,39.3920696544931,0.43018224901983,0.965288139921655,0,0,1292
2393,Inner Mongolia,104.990911460264,39.3974165788631,0.430149330513378,0.719744114820532,0,0,1218
2616,Inner Mongolia,105.59210748877,40.7246116663535,0.428864741472132,0.763607069155703,0,0,1303
2048,Xinjiang,82.317901599245,35.5969262000052,0.428524378242137,0.228809411428186,0.228809411428186,0,6031
