model,term,OR,lo,hi,P,n_case,n_stratum
"主口径(努力加权, K=200)",in_pa,1.70814836600035,1.38551762082006,2.10590669972332,5.35860639175179e-07,643,643
剔除西藏,in_pa,1.42052831783582,1.13173943436022,1.78300820887645,0.00246774987690379,595,595
剔除前 2 大宿主保护区,in_pa,1.16161853038568,0.91770875759234,1.47035494537014,0.212815914689759,596,596
仅 2013-2023(保护网络已冻结),in_pa,2.04563980581893,1.61423384437665,2.5923395360149,3.16695488729175e-09,439,439
仅 2002-2012,in_pa,0.967668401658885,0.622448709976164,1.50435227925032,0.883925563783872,204,204
仅观鸟式发现的事件,in_pa,2.74929726918209,1.90751641706715,3.96255330056538,5.87005413328226e-08,197,197
仅专业调查发现的事件,in_pa,2.8466233734144,1.17984596985366,6.8680699321067,0.0199098985240752,37,37
