direction,n_records,n_species,prop_records,prop_species
North,48,41,0.0747663551401869,0.0887445887445888
Northeast,179,120,0.278816199376947,0.25974025974026
East,237,152,0.369158878504673,0.329004329004329
Southeast,52,44,0.0809968847352025,0.0952380952380952
South,20,17,0.0311526479750779,0.0367965367965368
Southwest,56,41,0.0872274143302181,0.0887445887445888
West,19,18,0.029595015576324,0.038961038961039
Northwest,31,29,0.0482866043613707,0.0627705627705628
