model,term,estimate,se,p_value,odds_ratio,significant,subset
M1 taxonomic nesting,z_log_mass,-0.0271962146381117,0.125565158474538,0.828527526025638,0.973170272536647,FALSE,no imputed traits
M1 taxonomic nesting,z_log_hwi,-0.11172820171328,0.134851932289193,0.407373223818537,0.894287290224241,FALSE,no imputed traits
M1 taxonomic nesting,z_log_range,0.199030319977522,0.0974293327884956,0.0410705340183106,1.22021896235051,TRUE,no imputed traits
M1 taxonomic nesting,z_log_clutch,0.0600881434341519,0.0839492734008848,0.474135056681577,1.06193014459005,FALSE,no imputed traits
M1 taxonomic nesting,z_log_congeners,-0.0512578950810971,0.0767556016282315,0.504257071966521,0.950033629936365,FALSE,no imputed traits
M1 taxonomic nesting,z_log_habbreadth,-0.107941332933341,0.0764994127041608,0.158242063922102,0.897680259153239,FALSE,no imputed traits
M1 taxonomic nesting,z_log_dietbreadth,-0.0845020378938024,0.0835506461793328,0.311831237842453,0.918969782612099,FALSE,no imputed traits
M1 taxonomic nesting,migration_finalPartial migrant,0.952564097217078,0.209447337211228,5.41610744426163e-06,2.59234817752337,TRUE,no imputed traits
M1 taxonomic nesting,migration_finalMigratory,0.410046416595166,0.212043697266575,0.0531398604747437,1.50688772808722,FALSE,no imputed traits
M1 taxonomic nesting,trophic_nicheOmnivore,-0.0405326874446958,0.233443010579806,0.862156329220967,0.960277774971732,FALSE,no imputed traits
M1 taxonomic nesting,trophic_nicheAquatic predator,-0.055098431098017,0.308925178391449,0.85844398174517,0.94639198896606,FALSE,no imputed traits
M1 taxonomic nesting,trophic_nicheGranivore,-0.274637946066822,0.325574246206853,0.39892127384176,0.759847179089239,FALSE,no imputed traits
M1 taxonomic nesting,trophic_nicheVertivore/Scavenger,0.214790807818443,0.422895623701045,0.611519958011288,1.23960255467814,FALSE,no imputed traits
M1 taxonomic nesting,trophic_nicheFrugivore/Nectarivore,-0.220432613569721,0.383926881984539,0.565864548524386,0.802171692527198,FALSE,no imputed traits
M1 taxonomic nesting,trophic_nicheHerbivore,0.0991466627989343,0.460880751432637,0.829670385464201,1.10422823688738,FALSE,no imputed traits
M1 taxonomic nesting,habitat_densitySemi-open,0.0843105276762774,0.175595094671985,0.631126636885357,1.08796668512593,FALSE,no imputed traits
M1 taxonomic nesting,habitat_densityOpen,-0.211559386768146,0.212724312043307,0.31996793445245,0.809321216654096,FALSE,no imputed traits
M1 taxonomic nesting,iucn_groupNear Threatened,0.151063671507548,0.326048704831057,0.643137681481542,1.16307071018979,FALSE,no imputed traits
M1 taxonomic nesting,iucn_groupThreatened,0.270407785003998,0.285364526899784,0.343339623582201,1.31049874352292,FALSE,no imputed traits
M1 taxonomic nesting,endemic_finalEndemic,-0.239880411526015,0.396055044146943,0.544730969467088,0.786721938317218,FALSE,no imputed traits
M2 phylogenetic eigenvectors,z_log_mass,-0.0640775671965893,0.136955872594044,0.639877437728223,0.937932243934289,FALSE,no imputed traits
M2 phylogenetic eigenvectors,z_log_hwi,-0.0880251088542875,0.111809154739004,0.431117987860818,0.91573788330558,FALSE,no imputed traits
M2 phylogenetic eigenvectors,z_log_range,0.174420768883238,0.0954206049248319,0.0675622877224024,1.19055640953412,FALSE,no imputed traits
M2 phylogenetic eigenvectors,z_log_clutch,0.110418666835886,0.0829673871001171,0.183232343880452,1.11674551691194,FALSE,no imputed traits
