model,term,estimate,se,p_value,odds_ratio,significant,subset
M2 phylogenetic eigenvectors,z_log_congeners,-0.0427755391249273,0.0755044687551883,0.571033613183059,0.958126427828766,FALSE,no imputed traits
M2 phylogenetic eigenvectors,z_log_habbreadth,-0.0848298638074004,0.0759541984152832,0.264056116608201,0.918668569878912,FALSE,no imputed traits
M2 phylogenetic eigenvectors,z_log_dietbreadth,-0.0913979596707475,0.0826232782976236,0.268639495598471,0.912654438960235,FALSE,no imputed traits
M2 phylogenetic eigenvectors,migration_finalPartial migrant,0.945336395409017,0.206548028706976,4.72061875745509e-06,2.57367900678565,TRUE,no imputed traits
M2 phylogenetic eigenvectors,migration_finalMigratory,0.434622719344616,0.205199010878003,0.0341704395499148,1.54438028421764,TRUE,no imputed traits
M2 phylogenetic eigenvectors,trophic_nicheOmnivore,0.0355783271344062,0.228363025369329,0.876192852905023,1.0362188089994,FALSE,no imputed traits
M2 phylogenetic eigenvectors,trophic_nicheAquatic predator,0.274773610605246,0.334660271127115,0.411616435483219,1.31623266001994,FALSE,no imputed traits
M2 phylogenetic eigenvectors,trophic_nicheGranivore,-0.279562258629908,0.310912842514468,0.368564244576521,0.756114651687469,FALSE,no imputed traits
M2 phylogenetic eigenvectors,trophic_nicheVertivore/Scavenger,-0.193008305876291,0.495707525531207,0.697010418818389,0.824475126122266,FALSE,no imputed traits
M2 phylogenetic eigenvectors,trophic_nicheFrugivore/Nectarivore,-0.13336842654495,0.384081060598984,0.728410789637174,0.875142606939358,FALSE,no imputed traits
M2 phylogenetic eigenvectors,trophic_nicheHerbivore,0.272012594498517,0.522664042157142,0.602760509273444,1.31260353279025,FALSE,no imputed traits
M2 phylogenetic eigenvectors,habitat_densitySemi-open,0.0762846236636356,0.172954762894692,0.659164554711534,1.07926971614593,FALSE,no imputed traits
M2 phylogenetic eigenvectors,habitat_densityOpen,-0.215388627437056,0.212267735237046,0.310247604063128,0.806228056943157,FALSE,no imputed traits
M2 phylogenetic eigenvectors,iucn_groupNear Threatened,0.195899843958253,0.323007288967428,0.544191160978587,1.21640506891623,FALSE,no imputed traits
M2 phylogenetic eigenvectors,iucn_groupThreatened,0.273900891828229,0.285718094945242,0.337739962749864,1.31508446016328,FALSE,no imputed traits
M2 phylogenetic eigenvectors,endemic_finalEndemic,-0.24533383362212,0.394701067430945,0.534225500595674,0.782443288760174,FALSE,no imputed traits
M2 phylogenetic eigenvectors,pv1,-0.232396783936888,0.140248317741494,0.0975118041681362,0.792631557433607,FALSE,no imputed traits
M2 phylogenetic eigenvectors,pv2,-0.0961185665075269,0.112871917836394,0.394451677450157,0.908356309048456,FALSE,no imputed traits
M2 phylogenetic eigenvectors,pv3,-0.0628642475501472,0.0829374158056034,0.448467682990522,0.939070946218118,FALSE,no imputed traits
M2 phylogenetic eigenvectors,pv4,-0.30396800522061,0.111276226781445,0.00630175310847998,0.737884474523899,TRUE,no imputed traits
M2 phylogenetic eigenvectors,pv5,-0.0994414408187136,0.0901890740584386,0.270205882777243,0.905342964459029,FALSE,no imputed traits
M2 phylogenetic eigenvectors,pv6,0.0599467163364033,0.0761836024486397,0.431357009651424,1.06177996951135,FALSE,no imputed traits
M2 phylogenetic eigenvectors,pv7,-0.0534082292372064,0.0826144111253017,0.517971172821745,0.947992935046759,FALSE,no imputed traits
M2 phylogenetic eigenvectors,pv8,-0.221266161654082,0.106639161902092,0.0379953129090542,0.801503322447562,TRUE,no imputed traits
M2 phylogenetic eigenvectors,pv9,-0.0218278117793498,0.0697587617482464,0.75435342214957,0.978408690999301,FALSE,no imputed traits
M2 phylogenetic eigenvectors,pv10,0.0187117308040905,0.0694181298181937,0.787505651796264,1.01888789228556,FALSE,no imputed traits
