level,term,rf_importance,clogit_absbeta,rf_rel,cl_rel
prefecture,log_area_z,0.0309220766225731,0.613298789894357,1,0.190691256432918
prefecture,log_eff_z,0.0175384665332944,0.621423137860711,0.567182687869395,0.193217336945272
prefecture,log_dist_z,0.00811923844471339,1.73052814753178,0.262570930918215,0.5380682176174
prefecture,in_range,0.000489657824328377,3.21618726189528,0.0158352179999104,1
prefecture,elev_z,0.0256769129197889,0.135337298645941,0.830374791227466,0.0420800431148364
prefecture,bio1_z,0.0284650976911239,0.802573162578905,0.920542887159925,0.24954180127744
prefecture,bio12_z,0.0256865879504157,0.161464051202696,0.830687675473404,0.050203560319913
prefecture,frac_pa_z,0.0212526191311839,0.0283044836984271,0.687295985667065,0.00880063298358673
county,log_area_z,0.00320310700035963,0.562464825315305,0.501358328795939,0.297049760521798
county,log_eff_z,0.00135997090455434,0.560720294477485,0.212866051568652,0.296128436299778
county,log_dist_z,0.00258591577435212,1.43847534210699,0.40475401255427,0.759689738198047
county,in_range,0.00147027671592142,1.8935037157656,0.230131393387478,1
county,elev_z,0.00478909655429651,0.182419679245961,0.749601385353316,0.0963397524531416
county,bio1_z,0.00638885766204824,0.670588746197666,1,0.354152326512086
county,bio12_z,0.00493888836146916,0.376295681515429,0.773047174114969,0.198729835269049
county,frac_pa_z,0.00215457892848349,0.206725116368075,0.337240089301464,0.1091759760738
