scheme,model,n_fold,auc,auc_sd,prauc,prauc_sd,brier,cal_slope,prauc_lift
random,离散风险模型(边际),5,0.609898645656493,0.0265850878574071,0.00583914747088345,0.000916930477203318,0.00367588560174593,0.998366301678724,1.58260690181182
random,离散风险模型(条件),5,0.690381478714625,0.0124386808364033,0.0109581755939454,0.00351832808544626,0.00366804870522709,0.903405255047061,2.97003704953866
random,随机森林(同信息),5,0.624591940914015,0.0295785322281071,0.00642711155975457,0.000674180729815315,0.00375836479914555,0.0733594991562615,1.74196510088196
random,随机森林(加结构),5,0.674436669065854,0.0140921969723899,0.00852582359280412,0.00106921182683212,0.0037195438785259,0.296576548210414,2.31078720461916
random,随机森林(类平衡),5,0.696335163840981,0.0191421895694652,0.0136730328262882,0.00658660023370509,0.150986521164348,0.985896994962996,3.70585538856227
leave_species,离散风险模型(边际),5,0.604548503106801,0.0201754825829247,0.00539252843270927,0.00078663705336048,0.00370079138851559,0.922129654263845,1.4615580028382
leave_species,随机森林(同信息),5,0.632856175591035,0.0290316419463634,0.00656075935515277,0.00126841024011637,0.00378679266511223,0.0797310725575791,1.77818818386861
leave_species,随机森林(加结构),5,0.670281403372049,0.0111637298461488,0.00848121298397347,0.00112459655365998,0.00374929181447377,0.295118546770659,2.29869621740203
leave_species,随机森林(类平衡),5,0.695164440624176,0.0268260025128791,0.0120512724321891,0.00448360149318363,0.152924692961666,0.960787660621068,3.26630334683281
leave_province,离散风险模型(边际),5,0.596260335375746,0.0367305593903327,0.00558022317043195,0.00213297285251648,0.00368925549708361,0.9152242903389,1.51242963929453
leave_province,随机森林(同信息),5,0.542046891051137,0.0243742275588226,0.00413198058235605,0.00109069358872168,0.00380008046910529,0.028224556704877,1.11990680495687
leave_province,随机森林(加结构),5,0.551260445025568,0.0611083915213692,0.00437482933975751,0.00163741451627929,0.00377617716979042,0.131673412913192,1.18572705037394
leave_province,随机森林(类平衡),5,0.59526571208919,0.0529107213215217,0.00526919648448484,0.00196197799023071,0.146637241498731,0.501296983127419,1.42813086412538
temporal,离散风险模型(边际),1,0.524465404680966,,0.00981323168797353,,0.00500207192650557,0.1448888878796,2.65971843936245
temporal,随机森林(同信息),1,0.550631132479615,,0.00597111105376193,,0.00510404956435168,0.0354673940870348,1.61837350611368
temporal,随机森林(加结构),1,0.60469069063347,,0.00697188064190413,,0.00503631000481879,0.260376697551611,1.88961598889303
temporal,随机森林(类平衡),1,0.605863204414763,,0.00672739686355224,,0.142986741578189,0.704997020685668,1.82335259737396
