model,term,estimate,se,z,p_value,IRR,IRR_lo,IRR_hi,significant
NB main,(Intercept),3.02533639775208,0.0830260437211872,36.4384024838227,1.05013934027001e-290,20.6009336534623,17.5070796764249,24.2415340101439,TRUE
NB main,z_early_effort,-0.0878608224195994,0.127614353630273,-0.688486991629105,0.491146159275174,0.915888338976112,0.713206017620587,1.17616989866549,FALSE
NB main,z_recent_effort,-0.0760039778690609,0.168344633951132,-0.451478470594577,0.651644738490429,0.926812519813202,0.666337179911236,1.28910928697829,FALSE
NB main,z_richness,0.236594614013425,0.112635406234556,2.10053500868752,0.0356818043442511,1.2669274190375,1.01595516352496,1.5798975611679,TRUE
NB main,z_gdp,0.0918664644166098,0.154842591906246,0.59328937397427,0.552987508876165,1.09621842813931,0.809268103494132,1.48491561326058,FALSE
NB main,z_area,0.159978116326033,0.113354541724783,1.4113075126222,0.15815396026856,1.1734851905435,0.939697949707057,1.46543630626651,FALSE
NB main,z_habitat,-0.00766247885981217,0.088084873848214,-0.0869897239452939,0.930679680246745,0.992366803092813,0.835012293402185,1.17937409983295,FALSE
NB offset,(Intercept),-5.8116381044612,0.119018361616476,-48.8297605976848,0,0.00299252398818846,0.00236988441935371,0.00377874960768152,TRUE
NB offset,z_early_effort,-0.346180975899262,0.157694361112107,-2.19526540744952,0.0281445648035054,0.707384455983532,0.519306026227342,0.963579745458327,TRUE
NB offset,z_richness,-0.114578727716967,0.15057448479381,-0.760943846986203,0.446690607621359,0.891741730863926,0.663846243102509,1.19787273457748,FALSE
NB offset,z_gdp,-0.496603527388611,0.165361438150043,-3.00313986709532,0.00267209594572967,0.608594226927298,0.44011820247337,0.84156240520783,TRUE
NB offset,z_area,0.185682334917945,0.163067133942502,1.13868644421884,0.254833958715493,1.20403971824481,0.874651946130343,1.65747260899024,FALSE
NB offset,z_habitat,0.0312900081703123,0.127351748072558,0.245697516083445,0.805916395148393,1.03178468649081,0.803868630501742,1.32432041615118,FALSE
