event_id,case_in,ctrl_in,n_ctrl,informative
Abroscopus albogularis|Jiangsu|2017,0,27,200,TRUE
Abroscopus albogularis|Ningxia|2021,1,45,200,TRUE
Abroscopus albogularis|Shanghai|2013,0,0,200,FALSE
Abroscopus albogularis|Tibet|2016,1,49,200,TRUE
Accipiter gularis|Xinjiang|2010,0,20,200,TRUE
Accipiter soloensis|Gansu|2012,0,71,200,TRUE
Accipiter soloensis|Heilongjiang|2018,0,0,200,FALSE
Accipiter soloensis|Inner Mongolia|2020,0,21,200,TRUE
Accipiter trivirgatus|Anhui|2006,0,0,200,FALSE
Accipiter trivirgatus|Beijing|2013,0,5,200,TRUE
Accipiter trivirgatus|Gansu|2020,1,42,200,TRUE
Accipiter trivirgatus|Henan|2008,1,126,200,TRUE
Accipiter trivirgatus|Liaoning|2017,1,21,200,TRUE
Accipiter virgatus|Anhui|2011,0,0,200,FALSE
Acridotheres cristatellus|Jilin|2016,0,106,200,TRUE
Acridotheres tristis|Chongqing|2010,0,0,200,FALSE
Acridotheres tristis|Guizhou|2017,0,50,200,TRUE
Acridotheres tristis|Jiangxi|2019,0,65,200,TRUE
Acridotheres tristis|Shandong|2022,0,45,200,TRUE
Acrocephalus agricola|Inner Mongolia|2020,1,26,200,TRUE
Acrocephalus bistrigiceps|Guizhou|2015,0,73,200,TRUE
Acrocephalus bistrigiceps|Tibet|2023,1,91,200,TRUE
Acrocephalus concinens|Shanghai|2005,0,0,200,FALSE
Acrocephalus orientalis|Tibet|2023,1,101,200,TRUE
Acrocephalus tangorum|Hubei|2020,0,24,200,TRUE
Acrocephalus tangorum|Zhejiang|2023,0,7,200,TRUE
Aegithalos bonvaloti|Shaanxi|2006,0,71,200,TRUE
Aegithalos caudatus|Shandong|2023,1,26,200,TRUE
Aegithalos caudatus|Tianjin|2016,1,0,200,TRUE
Aegithalos concinnus|Gansu|2017,0,63,200,TRUE
Aegithalos concinnus|Hebei|2022,0,3,200,TRUE
Aegithalos fuliginosus|Hunan|2009,1,77,200,TRUE
Aegithalos fuliginosus|Shanxi|2016,0,7,200,TRUE
Aethopyga christinae|Anhui|2017,0,27,200,TRUE
Aethopyga christinae|Hubei|2003,1,0,200,TRUE
Aethopyga gouldiae|Henan|2016,0,161,200,TRUE
Agropsar sturninus|Tibet|2020,1,82,200,TRUE
Aix galericulata|Tibet|2021,0,94,200,TRUE
Aix galericulata|Xinjiang|2015,0,27,200,TRUE
Alauda gulgula|Inner Mongolia|2020,0,20,200,TRUE
Alaudala cheleensis|Fujian|2019,0,5,200,TRUE
Alcedo hercules|Fujian|2006,1,94,200,TRUE
Alcippe morrisonia|Henan|2015,0,108,200,TRUE
Amaurornis phoenicurus|Heilongjiang|2008,0,0,0,FALSE
Amaurornis phoenicurus|Inner Mongolia|2018,0,51,200,TRUE
Amaurornis phoenicurus|Qinghai|2013,0,30,200,TRUE
Anastomus oscitans|Hebei|2021,0,15,200,TRUE
Anastomus oscitans|Qinghai|2023,0,10,200,TRUE
Anastomus oscitans|Shaanxi|2020,0,24,200,TRUE
Anastomus oscitans|Sichuan|2012,0,50,200,TRUE
Anser anser|Hainan|2007,0,104,200,TRUE
Anser fabalis|Tibet|2016,0,41,200,TRUE
Anser indicus|Chongqing|2006,0,0,200,FALSE
Anser indicus|Henan|2019,1,113,200,TRUE
Anthus godlewskii|Shaanxi|2005,0,0,200,FALSE
Anthus gustavi|Anhui|2020,0,9,200,TRUE
Anthus gustavi|Hubei|2014,0,22,200,TRUE
Anthus gustavi|Xinjiang|2010,1,17,200,TRUE
Anthus richardi|Tibet|2016,1,40,200,TRUE
Anthus roseatus|Zhejiang|2020,0,9,200,TRUE
Anthus trivialis|Jiangsu|2023,0,5,200,TRUE
Aquila fasciata|Liaoning|2015,1,4,200,TRUE
Aquila fasciata|Shaanxi|2020,0,17,200,TRUE
Aquila heliaca|Hunan|2021,1,35,200,TRUE
Aquila heliaca|Ningxia|2019,0,105,200,TRUE
Ardea intermedia|Jilin|2020,0,200,200,TRUE
Ardea intermedia|Liaoning|2004,0,133,200,TRUE
Ardenna pacifica|Shanghai|2012,0,0,200,FALSE
Ardenna pacifica|Zhejiang|2018,0,19,200,TRUE
Artamus fuscus|Guizhou|2014,1,123,200,TRUE
Artamus fuscus|Hunan|2022,0,40,200,TRUE
Artamus fuscus|Jiangxi|2020,0,51,200,TRUE
Asio flammeus|Guangxi|2004,0,0,200,FALSE
Athene noctua|Zhejiang|2022,0,2,200,TRUE
Aviceda jerdoni|Guangdong|2014,0,7,200,TRUE
Aviceda jerdoni|Hunan|2017,1,49,200,TRUE
Aviceda leuphotes|Gansu|2018,0,42,200,TRUE
Aviceda leuphotes|Jiangsu|2006,0,0,200,FALSE
Aviceda leuphotes|Ningxia|2002,1,0,0,FALSE
Aviceda leuphotes|Shanxi|2018,0,0,200,FALSE
Aythya nyroca|Fujian|2004,0,0,200,FALSE
Aythya nyroca|Jilin|2010,0,200,200,TRUE
Bombycilla japonica|Gansu|2019,0,15,200,TRUE
Bombycilla japonica|Ningxia|2019,0,110,200,TRUE
Bombycilla japonica|Qinghai|2012,0,19,200,TRUE
Branta canadensis|Heilongjiang|2023,0,24,200,TRUE
Branta canadensis|Liaoning|2020,1,14,200,TRUE
Branta canadensis|Tianjin|2014,0,0,200,FALSE
Branta canadensis|Zhejiang|2016,0,11,200,TRUE
Bubo nipalensis|Chongqing|2018,0,13,200,TRUE
Bubo nipalensis|Guangxi|2013,0,43,200,TRUE
Bucanetes mongolicus|Heilongjiang|2002,0,0,200,FALSE
Bucanetes mongolicus|Sichuan|2014,0,60,200,TRUE
Bucanetes mongolicus|Tibet|2012,0,0,200,FALSE
Butastur indicus|Anhui|2011,0,0,200,FALSE
Butastur indicus|Gansu|2022,1,84,200,TRUE
Cacomantis merulinus|Shaanxi|2015,1,18,200,TRUE
Calandrella brachydactyla|Hunan|2023,0,39,200,TRUE
Calliope obscura|Hubei|2021,1,8,200,TRUE
Caprimulgus macrurus|Guizhou|2018,0,18,200,TRUE
Carpodacus roborowskii|Xinjiang|2015,1,19,200,TRUE
Carpodacus vinaceus|Shandong|2020,1,25,200,TRUE
Cecropis daurica|Chongqing|2021,0,11,200,TRUE
Cecropis daurica|Xinjiang|2010,0,14,200,TRUE
Centropus bengalensis|Liaoning|2012,0,12,200,TRUE
Centropus bengalensis|Tibet|2022,1,80,200,TRUE
Centropus bengalensis|Zhejiang|2002,0,0,200,FALSE
Cephalopyrus flammiceps|Guangxi|2012,0,24,200,TRUE
Cephalopyrus flammiceps|Hubei|2017,0,2,200,TRUE
