indicator,window,n,events,AIC,HR_change,P_change,HR_effort,P_effort,HR_var,P_var,HR_int,P_int,cor_change_var,sd_change,sd_var,dAIC
tavg_annual,20,175901,649,8310.95070849146,1.39643304332344,1.48837451312238e-08,1.39987775187103,3.06713113126806e-08,1.0000016932692,0.999971191251049,0.823324494218752,0.000330950948500261,0.0396801488719948,0.15415453723643,0.360154997655603,0
tavg_annual,15,175901,649,8313.15361099188,1.36164754167317,8.33903878612454e-08,1.4038169859134,2.89651690863056e-08,0.995095739809156,0.91565385817717,0.84924794872335,0.00365005267236242,-0.00581566949011493,0.179344940725948,0.35561002852531,2.20290250042308
tmax_warm,15,175901,649,8319.97098685192,1.29871602704989,2.83111941921862e-06,1.38878789940024,1.07119563855105e-07,0.913092196872485,0.0546030651742622,0.982756692711579,0.744187772355585,-0.0110823622179451,0.295990421198085,0.774841157399654,9.02027836046545
tmax_warm,20,175901,649,8321.08787034645,1.29503164225504,7.18866750992572e-06,1.38740469094614,1.0686871789173e-07,0.906672834181617,0.0379269591033018,0.975971410998921,0.653954143012465,0.0774348519787706,0.258685051671049,0.765073252485611,10.1371618549874
tmax_warm,10,175901,649,8326.1133516577,1.24609518247796,8.90421712484084e-05,1.40504186516149,4.54122541752853e-08,0.909693235274155,0.0476219804999312,0.949616412837123,0.315183106471919,-0.00493592298980705,0.337972785183996,0.75577890699631,15.1626431662426
tavg_annual,10,175901,649,8327.8514269459,1.21277497955454,0.000613392432158084,1.4067312756397,3.39416619968756e-08,1.02214487466341,0.632978890821376,0.846781407584866,0.00195203763706829,-0.00202422619321214,0.204928042873436,0.340835089204242,16.9007184544353
tavg_annual,5,175901,649,8334.74547010848,1.16687433053163,0.00308143421236181,1.39203175633644,8.22817372592171e-08,1.0102091915128,0.824289105225732,0.897275949066271,0.044704290400132,0.0229924154514988,0.244518445153784,0.307624841763943,23.7947616170168
tmax_warm,5,175901,649,8334.82138384253,1.15554643198171,0.00623293510800373,1.3962097035671,5.55064769006124e-08,0.915834112707164,0.0614379560957349,1.02254675287845,0.670788214682523,-0.00126170465216535,0.398237463049477,0.724597025764534,23.8706753510724
tmin_cold,15,175901,649,8341.64292048875,1.07685056806329,0.129406497340597,1.37689427423961,1.48018418121614e-07,1.03475968575638,0.450436393322774,1.03691456972192,0.459540815955233,0.0262666067357292,0.357073040088844,1.12714440623089,30.6922119972915
tmin_cold,10,175901,649,8341.87639789271,0.985964311595793,0.771104343599594,1.37806938028373,1.61074632499562e-07,1.06318038271161,0.182153405602905,1.09107124245262,0.118809443141972,-0.0469363960231462,0.415045448773914,1.13626882700777,30.9256894012524
tmin_cold,20,175901,649,8342.51072291387,1.03447536380458,0.509551104651757,1.37760756849577,1.53470073727114e-07,1.04862011164471,0.298905634933973,1.05085404269829,0.287833260273809,0.00947781955735249,0.305362420576345,1.14856622040154,31.56001442241
tmin_cold,5,175901,649,8342.98896734705,1.02576045062192,0.594580072737028,1.380039752283,1.25225143214627e-07,1.05354790479266,0.252298795268579,1.06988193932046,0.202492726954784,-0.0707716761293072,0.576469721773277,1.08408387169386,32.0382588555895
tavg_winter,10,175901,649,8343.16578332493,0.956272938790165,0.345614065039611,1.39228861002592,5.70663712176495e-08,1.03806121817112,0.410930536228696,1.08067515768502,0.195502983059192,-0.017606813968498,0.410178809635586,0.818937803472077,32.2150748334734
tavg_winter,20,175901,649,8344.1133667393,1.00373546887564,0.944467970589098,1.38193900254332,1.1492631240437e-07,1.01370020196873,0.764558880712465,1.05697261128197,0.274882018027304,-0.0272199281601944,0.283923483991217,0.871744766871629,33.1626582478439
tavg_winter,15,175901,649,8344.5136730453,1.02809734449938,0.576811113443906,1.38098502129062,1.13970405328177e-07,1.00635275935086,0.888884106382709,1.03925491632687,0.457018988360908,-0.0474908687610654,0.355989743819037,0.853945247675174,33.5629645538393
tavg_winter,5,175901,649,8344.62783085992,0.984913692421662,0.750540562234739,1.39040993134172,5.94968016466577e-08,1.02907824885175,0.522868070994113,1.05463192509992,0.391696509696928,-0.044796765749545,0.503119432928657,0.780466841939846,33.6771223684627
