level,province,n_event,rank_pct,top1,top3,top10pct,median_rank,median_n_alt
prefecture,Jiangsu,29,0.249336870026525,0.241379310344828,0.655172413793103,0.517241379310345,2,13
prefecture,Tibet,48,0.3125,0.645833333333333,0.770833333333333,0.645833333333333,1,7
prefecture,Xinjiang,15,0.230555555555556,0.266666666666667,0.4,0.4,5,24
prefecture,Inner Mongolia,28,0.327380952380952,0.5,0.571428571428571,0.535714285714286,1.5,12
prefecture,Gansu,35,0.220408163265306,0.285714285714286,0.714285714285714,0.542857142857143,2,14
prefecture,Liaoning,15,0.290476190476191,0.333333333333333,0.666666666666667,0.6,2,14
prefecture,Anhui,28,0.283482142857143,0.142857142857143,0.464285714285714,0.285714285714286,4,16
prefecture,Henan,27,0.201646090534979,0.185185185185185,0.777777777777778,0.481481481481482,3,18
prefecture,Shandong,17,0.518382352941177,0.117647058823529,0.176470588235294,0.117647058823529,9,16
prefecture,Guizhou,23,0.497584541062802,0.130434782608696,0.347826086956522,0.130434782608696,5,9
prefecture,Zhejiang,23,0.272727272727273,0.304347826086957,0.652173913043478,0.565217391304348,2,11
prefecture,Hubei,22,0.32620320855615,0.136363636363636,0.409090909090909,0.409090909090909,5,17
prefecture,Shaanxi,42,0.3,0.261904761904762,0.738095238095238,0.261904761904762,2,10
prefecture,Hunan,46,0.397515527950311,0.108695652173913,0.456521739130435,0.195652173913043,4,14
prefecture,Sichuan,15,0.295238095238095,0.133333333333333,0.466666666666667,0.466666666666667,5,21
prefecture,Hainan,10,0.444444444444444,0.1,0.3,0.2,8,18
prefecture,Guangxi,17,0.222689075630252,0.411764705882353,0.705882352941177,0.705882352941177,2,14
prefecture,Yunnan,20,0.4375,0.1,0.2,0.15,6.5,16
county,Hebei,6,0.198412698412698,0,0,0.333333333333333,31.5,168
county,Jiangsu,29,0.181034482758621,0.103448275862069,0.103448275862069,0.379310344827586,14,96
county,Tibet,48,0.11204954954955,0.416666666666667,0.604166666666667,0.729166666666667,2,74
county,Ningxia,19,0.34688995215311,0.105263157894737,0.421052631578947,0.421052631578947,5,22
county,Xinjiang,15,0.245911949685535,0.266666666666667,0.333333333333333,0.4,14,106
county,Inner Mongolia,28,0.222954230235784,0.25,0.357142857142857,0.571428571428571,8.5,103
county,Heilongjiang,15,0.401101928374656,0,0,0.133333333333333,40,121
county,Gansu,35,0.204269293924466,0.0857142857142857,0.2,0.514285714285714,9,87
county,Liaoning,11,0.251221896383187,0.0909090909090909,0.0909090909090909,0.363636363636364,19,93
county,Anhui,28,0.266666666666667,0.0357142857142857,0.0714285714285714,0.285714285714286,20.5,105
county,Henan,27,0.19690576652602,0.185185185185185,0.259259259259259,0.592592592592593,12,158
county,Jilin,13,0.411538461538462,0,0.153846153846154,0.230769230769231,19,60
county,Jiangxi,14,0.303571428571429,0.0714285714285714,0.214285714285714,0.357142857142857,28,100
county,Shandong,17,0.280709342560554,0,0,0.235294117647059,44,136
county,Chongqing,11,0.54066985645933,0.0909090909090909,0.0909090909090909,0.0909090909090909,20,38
county,Guizhou,23,0.24802371541502,0.0434782608695652,0.173913043478261,0.434782608695652,13,88
county,Shanghai,13,0.211538461538462,0.461538461538462,0.769230769230769,0.769230769230769,2,16
county,Zhejiang,23,0.182312252964427,0.130434782608696,0.217391304347826,0.478260869565217,10,88
county,Hubei,22,0.247131509267432,0.0909090909090909,0.318181818181818,0.5,12,103
county,Shaanxi,42,0.242545616377392,0.119047619047619,0.261904761904762,0.452380952380952,13.5,107
county,Shanxi,7,0.0964590964590965,0,0,0.571428571428571,10,117
county,Hunan,46,0.253029223093371,0.0217391304347826,0.195652173913043,0.456521739130435,17.5,122
county,Fujian,5,0.404761904761905,0.2,0.2,0.2,34,84
county,Sichuan,15,0.292531876138434,0.0666666666666667,0.133333333333333,0.333333333333333,30,183
county,Qinghai,23,0.490821256038647,0.0434782608695652,0.130434782608696,0.260869565217391,21,45
county,Hainan,10,0.558333333333333,0.1,0.2,0.2,15.5,24
county,Guangxi,17,0.242713301536831,0,0.176470588235294,0.529411764705882,11,111
county,Guangdong,6,0.106442577030812,0,0.166666666666667,0.666666666666667,10.5,119
county,Yunnan,20,0.333720930232558,0.05,0.1,0.3,27,129
