scheme,fold,model,auc,prauc,brier,cal_slope,n_test,n_event
random,1,离散风险模型(边际),0.595370820052929,0.0074185072119925,0.00365330026692791,0.836567414973855,35181,129
random,1,离散风险模型(条件),0.670655646052458,0.0165010057327873,0.00364489101436085,0.8258215979863,35181,129
random,1,随机森林(同信息),0.619338754293722,0.00668550517173143,0.00372053784520846,0.0722235779700126,35181,129
random,1,随机森林(加结构),0.674708428761895,0.00829529645537825,0.00369118982322697,0.312540715051903,35181,129
random,1,随机森林(类平衡),0.683133563688792,0.0105021520242137,0.149892909454353,0.922233185052482,35181,129
random,2,离散风险模型(边际),0.571567652754409,0.00510103619046057,0.00388009287058032,0.591648605437292,35180,137
random,2,离散风险模型(条件),0.685521083482239,0.0080691530895131,0.00387535072589076,0.828610486947209,35180,137
random,2,随机森林(同信息),0.607639915174088,0.00663315617619238,0.00395858206556912,0.057172425223426,35180,137
random,2,随机森林(加结构),0.658843014765395,0.00765290922469752,0.00393587580299167,0.251834230661965,35180,137
random,2,随机森林(类平衡),0.672119404502179,0.00757640118155934,0.150701935073203,0.793293010722694,35180,137
random,3,离散风险模型(边际),0.627363648499943,0.00531769621338115,0.00320038185417006,1.03377855234369,35180,113
random,3,离散风险模型(条件),0.698887666618499,0.00775303477946175,0.00319670236877161,0.933722313733982,35180,113
random,3,随机森林(同信息),0.644517031997664,0.00611839156959985,0.00329345573817801,0.0906680512003535,35180,113
random,3,随机森林(加结构),0.684371081300529,0.00780821183635221,0.00325331177575763,0.298716158438798,35180,113
random,3,随机森林(类平衡),0.7001136383424,0.00901935256054418,0.151255077955025,1.01910418293878,35180,113
random,4,离散风险模型(边际),0.637972389084981,0.00569942319010807,0.00356803327853369,1.43705168888422,35180,126
random,4,离散风险模型(条件),0.699923519359273,0.0111333401695869,0.00355799721879978,0.961132107833572,35180,126
random,4,随机森林(同信息),0.663048099938333,0.00724407780513973,0.00364977698949861,0.0954648538899583,35180,126
random,4,随机森林(加结构),0.691927692512501,0.0103264764347698,0.00360044904883526,0.337742708542109,35180,126
random,4,随机森林(类平衡),0.705250674469554,0.0226025457369628,0.151804223231143,1.07295362987016,35180,126
random,5,离散风险模型(边际),0.617218717890201,0.00565907454847496,0.00407761973851766,1.09278524675456,35180,144
random,5,离散风险模型(条件),0.696919478060655,0.0113343441983779,0.00406530219831244,0.967739768734241,35180,144
random,5,随机森林(同信息),0.588415903166266,0.00545442707610947,0.00416947135727354,0.0512685874975571,35180,144
random,5,随机森林(加结构),0.662333127988949,0.00854622401282282,0.00411689294181797,0.282048928357293,35180,144
random,5,随机森林(类平衡),0.721058538201982,0.0186647126281608,0.151278460108017,1.12190096623087,35180,144
leave_species,1,离散风险模型(边际),0.624519527219211,0.00578572139006789,0.0035834482735978,1.16564975306666,33913,122
leave_species,1,随机森林(同信息),0.669368140997864,0.00686326385954303,0.00367000351901854,0.11312543539169,33913,122
leave_species,1,随机森林(加结构),0.679367044576393,0.00829412166507304,0.00364191382618044,0.326337449612776,33913,122
leave_species,1,随机森林(类平衡),0.730618080961523,0.0145534920624114,0.158051042428671,1.21642436755074,33913,122
leave_species,2,离散风险模型(边际),0.619766401325037,0.00468051062112828,0.00318381646459478,1.06698260686063,37556,120
leave_species,2,随机森林(同信息),0.599590634683186,0.00494955579526349,0.0032958894723507,0.0541071052623374,37556,120
leave_species,2,随机森林(加结构),0.675848002813697,0.00865693161848914,0.003233460134492,0.319250648956813,37556,120
leave_species,2,随机森林(类平衡),0.682800535135562,0.00765080814174935,0.152131754883986,0.846978579817507,37556,120
leave_species,3,离散风险模型(边际),0.600675207021252,0.00442412393534989,0.00312072013839784,0.807418871676818,37368,117
leave_species,3,随机森林(同信息),0.63767312390168,0.00554993271945028,0.0032056774923166,0.0823687727781659,37368,117
leave_species,3,随机森林(加结构),0.653722598395262,0.00668850372655176,0.00316612944177824,0.274922944308219,37368,117
leave_species,3,随机森林(类平衡),0.674930771089195,0.00714849890858035,0.138307993405261,0.875891140193402,37368,117
leave_species,4,离散风险模型(边际),0.573199330683527,0.00618998454775007,0.00435901735236001,0.633978371481875,33138,145
leave_species,4,随机森林(同信息),0.607897077436495,0.0078548763202186,0.00443152329282804,0.0506581849206227,33138,145
leave_species,4,随机森林(加结构),0.663853356563599,0.00910772979452945,0.00441095666764544,0.263344301462694,33138,145
leave_species,4,随机森林(类平衡),0.670766526232804,0.0174038865362932,0.159531192630469,0.792315325912159,33138,145
leave_species,5,离散风险模型(边际),0.604582049284976,0.00588230166925022,0.00425695471362751,0.936618668233236,33926,145
leave_species,5,随机森林(同信息),0.649751900935948,0.00758616808128846,0.00433086954904726,0.0983958644350794,33926,145
leave_species,5,随机森林(加结构),0.678616014511295,0.00965877811522394,0.00429399900227272,0.291737389512793,33926,145
leave_species,5,随机森林(类平衡),0.716706289701799,0.0134996765119112,0.156601481459944,1.07232888963154,33926,145
leave_province,1,离散风险模型(边际),0.543203750774848,0.00267627331064097,0.00243178383941416,0.361918016646275,38981,95
leave_province,1,随机森林(同信息),0.508024129912817,0.00248740230380623,0.00255920979864193,0.00765309838461852,38981,95
leave_province,1,随机森林(加结构),0.464209822504109,0.00217138889427851,0.0024984104018405,-0.0275500096920272,38981,95
leave_province,1,随机森林(类平衡),0.510878086281966,0.0027508044197296,0.120202664203073,0.0847592344631324,38981,95
leave_province,2,离散风险模型(边际),0.572334029205082,0.00548441591138079,0.00395345688375147,0.478473399320698,37554,149
leave_province,2,随机森林(同信息),0.576302202716677,0.00474139036403145,0.00405266333564744,0.05335228594097,37554,149
leave_province,2,随机森林(加结构),0.596586968866976,0.00503044704362995,0.00400765806348683,0.188877864134661,37554,149
leave_province,2,随机森林(类平衡),0.638538525786532,0.00657828210538752,0.146150955901279,0.64144155021001,37554,149
leave_province,3,离散风险模型(边际),0.621227005537696,0.00633437091753326,0.00357961150458945,1.094588328253,33407,120
leave_province,3,随机森林(同信息),0.546498382752027,0.00414678329786579,0.00367999364611307,0.0137362001595461,33407,120
leave_province,3,随机森林(加结构),0.509230956028896,0.00365623532177553,0.00364232226925763,0.0616685216851788,33407,120
leave_province,3,随机森林(类平衡),0.593475055326822,0.00483443630786714,0.155206316613952,0.543346626677134,33407,120
leave_province,4,离散风险模型(边际),0.626323593877156,0.00852868792728207,0.0049861553936899,1.41762396563447,35748,179
leave_province,4,随机森林(同信息),0.536998274343153,0.0054042788636973,0.00506158459940663,0.0310316596026936,35748,179
leave_province,4,随机森林(加结构),0.59706328921472,0.00659312319898035,0.00501634265917152,0.216562740094734,35748,179
leave_province,4,随机森林(类平衡),0.642023819938639,0.00779430537209137,0.15205401002859,0.764032539117869,35748,179
leave_province,5,离散风险模型(边际),0.61821329748395,0.00487736778532266,0.00349526986397309,1.22351774184006,30211,106
leave_province,5,随机森林(同信息),0.542411465531011,0.00388004808237949,0.00364695096571739,0.0353495394365567,30211,106
leave_province,5,随机森林(加结构),0.589211188513137,0.00442295224012319,0.0037161524551956,0.218807948343412,30211,106
leave_province,5,随机森林(类平衡),0.591413073111989,0.0043881542173486,0.159572260746761,0.472904965168947,30211,106
