level,split,model,n_event,rank_pct,top1,top3,top10pct
prefecture,时间前推 2019–2024,条件 logit (M3),219,0.348353782711156,0.301369863013699,0.607305936073059,0.401826484018265
prefecture,时间前推 2019–2024,随机森林(默认),219,0.344527309918124,0.305936073059361,0.607305936073059,0.4337899543379
prefecture,时间前推 2019–2024,随机森林(类平衡),219,0.347651703282243,0.28310502283105,0.570776255707763,0.397260273972603
prefecture,时间前推 2019–2024,基线:随机,219,0.511938126039657,0.114155251141553,0.324200913242009,0.17351598173516
county,时间前推 2019–2024,条件 logit (M3),218,0.228624950659786,0.160550458715596,0.261467889908257,0.454128440366972
county,时间前推 2019–2024,随机森林(默认),218,0.222876121165111,0.192660550458716,0.293577981651376,0.477064220183486
county,时间前推 2019–2024,随机森林(类平衡),218,0.210857837990911,0.18348623853211,0.279816513761468,0.426605504587156
county,时间前推 2019–2024,基线:随机,218,0.520355856708712,0.00458715596330275,0.0229357798165138,0.091743119266055
