model,term,OR,lo,hi,P,n_case,n_stratum
A0 仅暴露 [effort],in_pa,1.70814836600035,1.38551762082006,2.10590669972332,5.35860639175179e-07,643,643
A1 +选址几何 [effort],in_pa,1.56803862032005,1.25562807756851,1.95817946312295,7.24652347698996e-05,598,642
"D 距离(log km, 1SD) [effort]",dist_z,0.81877576936288,0.747163898414025,0.897251275013146,1.85410021314446e-05,643,643
L 国家级 [effort],in_pa_national,1.66029940185012,1.32892211998855,2.07430823997994,8.06180774258857e-06,643,643
A0 仅暴露 [location],in_pa,2.23435091884919,1.82422609767156,2.73668052163843,7.84039303593587e-15,643,643
A1 +选址几何 [location],in_pa,2.03483479144647,1.64131111813233,2.52271040069028,9.24724626606781e-11,598,642
"D 距离(log km, 1SD) [location]",dist_z,0.743606936176093,0.680364354830368,0.81272816778748,6.46797546831752e-11,643,643
L 国家级 [location],in_pa_national,2.23258758542959,1.80194828073995,2.7661433904016,2.04218412481918e-13,643,643
