term,OR_full,P_full,OR_no_imputed,P_no_imputed,phyloglm_converged,n_full,n_no_imputed,events_full,events_no_imputed,sig_full,sig_no_imputed,same_conclusion
z_log_mass,0.961116696054041,0.706118832937764,0.982522957957132,0.868726702341107,FALSE,1298,1247,334,322,FALSE,FALSE,TRUE
z_log_hwi,0.981397439093956,0.850082421903968,0.908528380628613,0.341889997007991,FALSE,1298,1247,334,322,FALSE,FALSE,TRUE
z_log_range,1.45637805311808,0.000108726533932089,1.3091993439708,0.00446095788509817,FALSE,1298,1247,334,322,TRUE,TRUE,TRUE
z_log_clutch,1.09293509989376,0.222619729182434,1.1206511805839,0.121879126674446,FALSE,1298,1247,334,322,FALSE,FALSE,TRUE
z_log_congeners,1.04900870069103,0.511972101586328,1.03475538760676,0.645224920111552,FALSE,1298,1247,334,322,FALSE,FALSE,TRUE
z_log_habbreadth,0.878562137366755,0.0721442944258893,0.907966648063826,0.18612749265439,FALSE,1298,1247,334,322,FALSE,FALSE,TRUE
z_log_dietbreadth,0.889449032780926,0.132581203147547,0.933287858201646,0.380219589992188,FALSE,1298,1247,334,322,FALSE,FALSE,TRUE
migration_finalPartial migrant,1.88863157955401,0.000965332941522769,2.19952738570839,6.51002522349652e-05,FALSE,1298,1247,334,322,TRUE,TRUE,TRUE
migration_finalMigratory,1.23876158822918,0.256673611376864,1.39144748652362,0.0891688612135473,FALSE,1298,1247,334,322,FALSE,FALSE,TRUE
trophic_nicheOmnivore,0.767728548548671,0.222552097076321,0.778963539468517,0.257066432007558,FALSE,1298,1247,334,322,FALSE,FALSE,TRUE
trophic_nicheAquatic predator,0.806785377529441,0.407910458747005,0.864809938096145,0.576219166391925,FALSE,1298,1247,334,322,FALSE,FALSE,TRUE
trophic_nicheGranivore,0.823140080946722,0.500978747740867,0.772180226567711,0.39548011626687,FALSE,1298,1247,334,322,FALSE,FALSE,TRUE
trophic_nicheVertivore/Scavenger,0.954220679438203,0.895517773309557,1.03993106993363,0.912903157490826,FALSE,1298,1247,334,322,FALSE,FALSE,FALSE
trophic_nicheFrugivore/Nectarivore,0.722339884751606,0.35110030632089,0.818909508833895,0.567135610666929,FALSE,1298,1247,334,322,FALSE,FALSE,TRUE
trophic_nicheHerbivore,0.72911273307495,0.475117509806392,0.735366688702425,0.489098197473185,FALSE,1298,1247,334,322,FALSE,FALSE,TRUE
habitat_densitySemi-open,0.990022426579674,0.950382036076799,1.02271157102193,0.892614263088243,FALSE,1298,1247,334,322,FALSE,FALSE,FALSE
habitat_densityOpen,0.541041405156019,0.00210658185533345,0.598451319922954,0.0111522616448444,FALSE,1298,1247,334,322,TRUE,TRUE,TRUE
iucn_groupNear Threatened,1.24575775823876,0.449863049067633,1.47669880781915,0.183210828633898,FALSE,1298,1247,334,322,FALSE,FALSE,TRUE
iucn_groupThreatened,1.13660167534075,0.642225210266924,1.16660740861766,0.57965557060172,FALSE,1298,1247,334,322,FALSE,FALSE,TRUE
endemic_finalEndemic,1.0171864736308,0.958312428155625,0.745650688033055,0.445647228430332,FALSE,1298,1247,334,322,FALSE,FALSE,FALSE
