lag,N,pct
-22,1,0.1
-9,2,0.19
-2,1,0.1
-1,5,0.49
0,179,17.41
1,399,38.81
2,168,16.34
3,104,10.12
4,62,6.03
5,29,2.82
6,17,1.65
7,14,1.36
8,12,1.17
9,6,0.58
10,10,0.97
11,7,0.68
12,1,0.1
13,3,0.29
14,4,0.39
22,1,0.1
24,1,0.1
31,1,0.1
49,1,0.1
