unit_id,share,n_species,province,unit_nm,prov_cn,rank_in_prov
110000,1,148,Beijing,北京市,北京市,1
120000,1,156,Tianjin,天津市,天津市,1
130100,0.155616581214572,201,Hebei,石家庄市,河北省,1
130200,0.107789425985083,201,Hebei,唐山市,河北省,3
130300,0.0768928308269856,201,Hebei,秦皇岛市,河北省,8
130400,0.0951514360662183,201,Hebei,邯郸市,河北省,4
130500,0.0734948909426002,201,Hebei,邢台市,河北省,10
130600,0.0752869774706759,201,Hebei,保定市,河北省,9
130700,0.08596678231025,201,Hebei,张家口市,河北省,6
130800,0.0837890419881271,201,Hebei,承德市,河北省,7
130900,0.0890473657299102,201,Hebei,沧州市,河北省,5
131000,0.0451312384531824,201,Hebei,廊坊市,河北省,11
131100,0.111833429012396,201,Hebei,衡水市,河北省,2
140100,0.0801475600513437,197,Shanxi,太原市,山西省,7
140200,0.074135498054271,197,Shanxi,大同市,山西省,8
140300,0.0217058276408648,197,Shanxi,阳泉市,山西省,11
140400,0.0973712009445904,197,Shanxi,长治市,山西省,5
140500,0.111335779135924,197,Shanxi,晋城市,山西省,4
140600,0.0543486667766946,197,Shanxi,朔州市,山西省,10
140700,0.0704247982925376,197,Shanxi,晋中市,山西省,9
140800,0.15382856830644,197,Shanxi,运城市,山西省,1
140900,0.0820471123289279,197,Shanxi,忻州市,山西省,6
141000,0.131256786918121,197,Shanxi,临汾市,山西省,2
141100,0.123398201550285,197,Shanxi,吕梁市,山西省,3
150100,0.0993347914638821,183,Inner Mongolia,呼和浩特市,内蒙古自治区,3
150200,0.127515262155108,183,Inner Mongolia,包头市,内蒙古自治区,2
150300,0.0652361585402926,183,Inner Mongolia,乌海市,内蒙古自治区,8
150400,0.0951328377966347,183,Inner Mongolia,赤峰市,内蒙古自治区,4
150500,0.0554485822823955,183,Inner Mongolia,通辽市,内蒙古自治区,9
150600,0.0729522505034502,183,Inner Mongolia,鄂尔多斯市,内蒙古自治区,7
150700,0.0843435489768183,183,Inner Mongolia,呼伦贝尔市,内蒙古自治区,5
150800,0.0746709778128542,183,Inner Mongolia,巴彦淖尔市,内蒙古自治区,6
150900,0.0546182680254049,183,Inner Mongolia,乌兰察布市,内蒙古自治区,10
152200,0.0520137561540644,183,Inner Mongolia,兴安盟,内蒙古自治区,11
152500,0.0476305364926557,183,Inner Mongolia,锡林郭勒盟,内蒙古自治区,12
152900,0.171103029796439,183,Inner Mongolia,阿拉善盟,内蒙古自治区,1
210100,0.117731402843602,214,Liaoning,沈阳市,辽宁省,2
210200,0.126225256193902,214,Liaoning,大连市,辽宁省,1
210300,0.0390596296819113,214,Liaoning,鞍山市,辽宁省,12
210400,0.0734113139989999,214,Liaoning,抚顺市,辽宁省,7
210500,0.0646389229447868,214,Liaoning,本溪市,辽宁省,9
210600,0.099113928744285,214,Liaoning,丹东市,辽宁省,3
210700,0.0793290642910662,214,Liaoning,锦州市,辽宁省,6
210800,0.0296904964767044,214,Liaoning,营口市,辽宁省,14
210900,0.0496820110709213,214,Liaoning,阜新市,辽宁省,10
211000,0.0333804347431535,214,Liaoning,辽阳市,辽宁省,13
211100,0.0647643705922454,214,Liaoning,盘锦市,辽宁省,8
211200,0.0444684619969853,214,Liaoning,铁岭市,辽宁省,11
211300,0.0847174819606037,214,Liaoning,朝阳市,辽宁省,5
211400,0.0937872244608327,214,Liaoning,葫芦岛市,辽宁省,4
220100,0.161832726242638,174,Jilin,长春市,吉林省,1
220200,0.147819009771823,174,Jilin,吉林市,吉林省,3
220300,0.14642236888615,174,Jilin,四平市,吉林省,4
220400,0.0172172762882501,174,Jilin,辽源市,吉林省,9
220500,0.0838963070775009,174,Jilin,通化市,吉林省,7
220600,0.0871586049048892,174,Jilin,白山市,吉林省,6
