unit_id,share,n_species,province,unit_nm,prov_cn,rank_in_prov
130435,0.00298975681141531,201,Hebei,曲周县,河北省,151
130481,0.00954148515719443,201,Hebei,武安市,河北省,22
130502,0.00285138936825923,201,Hebei,桥东区,河北省,159
130503,0.00446036988387097,201,Hebei,桥西区,河北省,97
130521,0.00776648201962851,201,Hebei,邢台县,河北省,49
130522,0.00580339732962157,201,Hebei,临城县,河北省,74
130523,0.0063079690827383,201,Hebei,内丘县,河北省,64
130524,0.00279069423046066,201,Hebei,柏乡县,河北省,165
130525,0.00294035320546762,201,Hebei,隆尧县,河北省,153
130526,0.00279784608521536,201,Hebei,任县,河北省,164
130527,0.00277881091277033,201,Hebei,南和县,河北省,166
130528,0.0030318427060516,201,Hebei,宁晋县,河北省,149
130529,0.00286431592916877,201,Hebei,巨鹿县,河北省,158
130530,0.00308613799456176,201,Hebei,新河县,河北省,147
130531,0.00305174935775203,201,Hebei,广宗县,河北省,148
130532,0.00284851700683507,201,Hebei,平乡县,河北省,160
130533,0.0029129209643912,201,Hebei,威县,河北省,155
130534,0.00329973526093633,201,Hebei,清河县,河北省,140
130535,0.00309875233303071,201,Hebei,临西县,河北省,146
130581,0.00294226612363478,201,Hebei,南宫市,河北省,152
130582,0.00595512725232075,201,Hebei,沙河市,河北省,70
130602,0.00517248991539744,201,Hebei,竞秀区,河北省,88
130606,0.00524452194447564,201,Hebei,莲池区,河北省,86
130607,0.00817827633636184,201,Hebei,满城区,河北省,40
130608,0.00353797341149671,201,Hebei,清苑区,河北省,128
130609,0.00423347103484138,201,Hebei,徐水区,河北省,109
130623,0.00788999408995166,201,Hebei,涞水县,河北省,46
130624,0.00812936117231275,201,Hebei,阜平县,河北省,43
130626,0.00611327406098025,201,Hebei,定兴县,河北省,67
130627,0.00488500358657127,201,Hebei,唐县,河北省,92
130628,0.00367378148329889,201,Hebei,高阳县,河北省,122
130629,0.00368785333906396,201,Hebei,容城县,河北省,121
130630,0.00699152628176365,201,Hebei,涞源县,河北省,60
130631,0.00312228494908495,201,Hebei,望都县,河北省,145
130632,0.00807845991890187,201,Hebei,安新县,河北省,44
130633,0.00824593052191931,201,Hebei,易县,河北省,38
130634,0.00443704109040193,201,Hebei,曲阳县,河北省,98
130635,0.00352800311479175,201,Hebei,蠡县,河北省,130
130636,0.00435729173779611,201,Hebei,顺平县,河北省,103
130637,0.00427786428736556,201,Hebei,博野县,河北省,108
130638,0.00519640789109098,201,Hebei,雄县,河北省,87
