unit_id,share,n_species,province,unit_nm,prov_cn,rank_in_prov
110101,0.0651931639864564,148,Beijing,东城区,北京市,10
110102,0.0745014877037302,148,Beijing,西城区,北京市,5
110105,0.0873858780481654,148,Beijing,朝阳区,北京市,1
110106,0.0837335308770738,148,Beijing,丰台区,北京市,3
110107,0.0468459287057147,148,Beijing,石景山区,北京市,12
110108,0.0759469100708327,148,Beijing,海淀区,北京市,4
110109,0.0313605643335457,148,Beijing,门头沟区,北京市,16
110111,0.0845353978801576,148,Beijing,房山区,北京市,2
110112,0.0657098503350288,148,Beijing,通州区,北京市,9
110113,0.0436805332655218,148,Beijing,顺义区,北京市,13
110114,0.0584997334722118,148,Beijing,昌平区,北京市,11
110115,0.0729905000760789,148,Beijing,大兴区,北京市,6
110116,0.0673055958617508,148,Beijing,怀柔区,北京市,8
110117,0.0320322266554963,148,Beijing,平谷区,北京市,15
110118,0.040528291707707,148,Beijing,密云区,北京市,14
110119,0.0697504070205281,148,Beijing,延庆区,北京市,7
120101,0.00738184819672565,156,Tianjin,和平区,天津市,15
120102,0.0176772214252713,156,Tianjin,河东区,天津市,12
120103,0.00630718972696153,156,Tianjin,河西区,天津市,16
120104,0.0293512478370594,156,Tianjin,南开区,天津市,11
120105,0.00867627090217976,156,Tianjin,河北区,天津市,14
120106,0.00936612957146111,156,Tianjin,红桥区,天津市,13
120110,0.109446578151428,156,Tianjin,东丽区,天津市,2
120111,0.0998072570734486,156,Tianjin,西青区,天津市,3
120112,0.0869097625435924,156,Tianjin,津南区,天津市,6
120113,0.0697249164707924,156,Tianjin,北辰区,天津市,10
120114,0.078478997960023,156,Tianjin,武清区,天津市,9
120115,0.0954100429953995,156,Tianjin,宝坻区,天津市,5
120116,0.11270242531578,156,Tianjin,滨海新区,天津市,1
120117,0.0858598497596242,156,Tianjin,宁河区,天津市,7
120118,0.0988711512838664,156,Tianjin,静海区,天津市,4
120119,0.0840291107863867,156,Tianjin,蓟州区,天津市,8
130102,0.00504028057693974,201,Hebei,长安区,河北省,78
130104,0.00317275472406543,201,Hebei,桥西区,河北省,125
130105,0.00340653577473163,201,Hebei,新华区,河北省,113
130107,0.00162755814749623,201,Hebei,井陉矿区,河北省,160
130108,0.00391106812639025,201,Hebei,裕华区,河北省,107
130109,0.00234450953082264,201,Hebei,藁城区,河北省,147
130110,0.0129338860407968,201,Hebei,鹿泉区,河北省,10
130111,0.00323776204609363,201,Hebei,栾城区,河北省,121
130121,0.00726981295602229,201,Hebei,井陉县,河北省,52
130123,0.00744731294162811,201,Hebei,正定县,河北省,51
130125,0.00932052663649049,201,Hebei,行唐县,河北省,36
130126,0.00812869628957355,201,Hebei,灵寿县,河北省,44
130127,0.00159711754659566,201,Hebei,高邑县,河北省,161
130128,0.00655223037744786,201,Hebei,深泽县,河北省,63
130129,0.00750044170719495,201,Hebei,赞皇县,河北省,50
130130,0.003186217384188,201,Hebei,无极县,河北省,124
130131,0.0155438002805941,201,Hebei,平山县,河北省,2
130132,0.00383899024709647,201,Hebei,元氏县,河北省,108
130133,0.00325673545912728,201,Hebei,赵县,河北省,120
130181,0.00282256308654504,201,Hebei,辛集市,河北省,136
130183,0.00282889134717586,201,Hebei,晋州市,河北省,135
130184,0.00409612846132107,201,Hebei,新乐市,河北省,99
130202,0.00395150482608159,201,Hebei,路南区,河北省,104
