unit_id,share,n_species,province,unit_nm,prov_cn,rank_in_prov
110000,1,148,Beijing,北京市,北京市,1
120000,1,156,Tianjin,天津市,天津市,1
130100,0.200604734266801,201,Hebei,石家庄市,河北省,1
130200,0.118295066614687,201,Hebei,唐山市,河北省,4
130300,0.057784432770516,201,Hebei,秦皇岛市,河北省,8
130400,0.124094735168701,201,Hebei,邯郸市,河北省,3
130500,0.0857784391109756,201,Hebei,邢台市,河北省,7
130600,0.0858033762537667,201,Hebei,保定市,河北省,6
130700,0.0413852880355437,201,Hebei,张家口市,河北省,10
130800,0.054107977706198,201,Hebei,承德市,河北省,9
130900,0.0868131925300488,201,Hebei,沧州市,河北省,5
131000,0.0189023646686831,201,Hebei,廊坊市,河北省,11
131100,0.126430392874079,201,Hebei,衡水市,河北省,2
140100,0.0463722250943769,197,Shanxi,太原市,山西省,9
140200,0.0408994546406254,197,Shanxi,大同市,山西省,10
140300,0.0096630425990646,197,Shanxi,阳泉市,山西省,11
140400,0.0790039572010678,197,Shanxi,长治市,山西省,6
140500,0.101870873298322,197,Shanxi,晋城市,山西省,4
140600,0.0491940445277098,197,Shanxi,朔州市,山西省,8
140700,0.0510936989862467,197,Shanxi,晋中市,山西省,7
140800,0.227603643010025,197,Shanxi,运城市,山西省,1
140900,0.0848492177970149,197,Shanxi,忻州市,山西省,5
141000,0.189792723078123,197,Shanxi,临汾市,山西省,2
141100,0.119657119767424,197,Shanxi,吕梁市,山西省,3
150100,0.147323060675437,183,Inner Mongolia,呼和浩特市,内蒙古自治区,2
150200,0.107758045196712,183,Inner Mongolia,包头市,内蒙古自治区,3
150300,0.0731621191931788,183,Inner Mongolia,乌海市,内蒙古自治区,6
150400,0.10444014556735,183,Inner Mongolia,赤峰市,内蒙古自治区,4
150500,0.0341770428677515,183,Inner Mongolia,通辽市,内蒙古自治区,9
150600,0.0929780589167998,183,Inner Mongolia,鄂尔多斯市,内蒙古自治区,5
150700,0.063299399310081,183,Inner Mongolia,呼伦贝尔市,内蒙古自治区,7
150800,0.0400831211109882,183,Inner Mongolia,巴彦淖尔市,内蒙古自治区,8
150900,0.0334486759133546,183,Inner Mongolia,乌兰察布市,内蒙古自治区,10
152200,0.031972354791918,183,Inner Mongolia,兴安盟,内蒙古自治区,11
152500,0.0268218861544677,183,Inner Mongolia,锡林郭勒盟,内蒙古自治区,12
152900,0.244536090301961,183,Inner Mongolia,阿拉善盟,内蒙古自治区,1
210100,0.150109819140286,214,Liaoning,沈阳市,辽宁省,2
210200,0.182339267626878,214,Liaoning,大连市,辽宁省,1
210300,0.0271869332705319,214,Liaoning,鞍山市,辽宁省,10
210400,0.0739637602106747,214,Liaoning,抚顺市,辽宁省,6
210500,0.0387065287583418,214,Liaoning,本溪市,辽宁省,9
210600,0.132148895286255,214,Liaoning,丹东市,辽宁省,3
210700,0.0615702442609028,214,Liaoning,锦州市,辽宁省,7
210800,0.0109739404716431,214,Liaoning,营口市,辽宁省,13
210900,0.0512720084502648,214,Liaoning,阜新市,辽宁省,8
211000,0.00990429164457308,214,Liaoning,辽阳市,辽宁省,14
211100,0.013165842453932,214,Liaoning,盘锦市,辽宁省,12
211200,0.0143991290629153,214,Liaoning,铁岭市,辽宁省,11
211300,0.109550352189317,214,Liaoning,朝阳市,辽宁省,5
211400,0.124708987173484,214,Liaoning,葫芦岛市,辽宁省,4
220100,0.234498430670349,174,Jilin,长春市,吉林省,1
220200,0.166630258412532,174,Jilin,吉林市,吉林省,3
220300,0.155661741607357,174,Jilin,四平市,吉林省,4
220400,0.00672186856962192,174,Jilin,辽源市,吉林省,9
220500,0.0467571667411243,174,Jilin,通化市,吉林省,6
220600,0.0220390347186202,174,Jilin,白山市,吉林省,8
