panel,exposure_C,HR,lo,hi
a,-11.9959872883954,1.69270892370566,1.3450478105599,2.13023171213525
a,-11.7784581256031,1.68617225687082,1.34341938403819,2.1163732737684
a,-11.5609289628109,1.67966083242272,1.34177832421143,2.10262787903736
a,-11.3433998000186,1.67317455288385,1.3401241603824,2.08899530892665
a,-11.1258706372263,1.66671332115312,1.33845640202205,2.07547536902401
a,-10.908341474434,1.66027704050439,1.33677453786642,2.06206789039055
a,-10.6908123116418,1.65386561458506,1.33507803497672,2.04877273046779
a,-10.4732831488495,1.64747894741462,1.33336633776246,2.03558977402197
a,-10.2557539860572,1.64111694338318,1.33163886696751,2.0225189341256
a,-10.0382248232649,1.63477950725007,1.32989501861926,2.00956015317621
a,-9.82069566047265,1.62846654414243,1.32813416294143,1.99671340395161
a,-9.60316649768038,1.62217795955374,1.32635564323145,1.9839786907008
a,-9.3856373348881,1.61591365934245,1.32455877470385,1.97135605026912
a,-9.16810817209582,1.60967354973052,1.32274284330152,1.95884555325576
a,-8.95057900930355,1.6034575373021,1.32090710447748,1.94644730520091
a,-8.73304984651128,1.59726552900205,1.31905078195043,1.93416144779941
a,-8.515520683719,1.59109743213456,1.31717306643827,1.92198816013662
a,-8.29799152092672,1.58495315436182,1.31527311437463,1.90992765994148
a,-8.08046235813444,1.57883260370257,1.31335004661472,1.89798020485052
a,-7.86293319534217,1.57273568853076,1.3114029471379,1.88614609367523
a,-7.64540403254989,1.56666231757417,1.30943086175596,1.87442566766408
a,-7.42787486975762,1.56061239991304,1.30743279683748,1.86281931174858
a,-7.21034570696534,1.55458584497869,1.30540771806068,1.85132745576105
a,-6.99281654417306,1.54858256255223,1.30335454920893,1.83995057560997
a,-6.77528738138079,1.54260246276314,1.30127217102547,1.8286891943963
a,-6.55775821858851,1.53664545608793,1.29915942014615,1.81754388345201
a,-6.34022905579624,1.53071145334885,1.29701508813176,1.80651526327913
a,-6.12269989300396,1.52480036571252,1.29483792062445,1.79560400436509
a,-5.90517073021169,1.51891210468859,1.29262661665545,1.78481082784673
a,-5.68764156741941,1.51304658212844,1.29037982813503,1.77413650599239
a,-5.47011240462713,1.50720371022385,1.28809615955886,1.76358186246788
a,-5.25258324183486,1.50138340150567,1.28577416796818,1.75314777234856
a,-5.03505407904258,1.49558556884255,1.28341236320545,1.74283516183647
a,-4.81752491625031,1.4898101254396,1.28100920850997,1.73264500763742
a,-4.59999575345803,1.48405698483711,1.27856312150203,1.72257833594985
a,-4.38246659066575,1.47832606090922,1.27607247560692,1.71263622101397
a,-4.16493742787348,1.4726172678627,1.27353560197329,1.70281978316683
