panel,group,term,HR,lo,hi,P
b,Resident,warming,1.36302980802461,1.15782391109584,1.60460519061591,0.00019899213870766
b,Partial,warming,1.50734931457518,1.2444993415616,1.82571567558985,2.70070784756256e-05
b,Long-distance,warming,1.51408914262972,1.26491599237953,1.8123463895153,6.13510605354937e-06
b,Resident,effort,1.29318969412698,1.11013046396791,1.50643517971648,0.0009613086060877
b,Partial,effort,1.27025012508442,1.03010605485396,1.56637792067511,0.0252579302002299
b,Long-distance,effort,1.34382476906395,1.13029148297371,1.59769850268948,0.000816237541893682
d,Resident,warming x effort,0.942115499427377,0.778508200961429,1.14010567026162,0.540080995930307
d,Partial,warming x effort,1.0525784541142,0.858809970067065,1.29006583607655,0.621544244096021
d,Long-distance,warming x effort,0.753033527295639,0.627966207794675,0.903009566745225,0.00220615247416099
