step,change,n,events,AIC,HR_effort,P_effort,HR_change,P_change,HR_var,P_var,HR_int,P_int,d_HR_effort,d_HR_change,d_HR_var,d_HR_int
S0,"v1 as published: publication-year dating, zero-filled effort, unweighted climate, no offset",182485,655,8407.16666751217,1.78763810006655,7.73244647333932e-39,1.39397021236197,1.03202536333177e-08,0.850311450793247,0.000180880989761327,0.875934348839496,0.00390725637691639,,,,
S1,"+ discovery-year dating (prevalent pairs dropped, 2025-published events recovered)",181134,646,8432.40029836738,1.30508400917427,2.19085247782295e-09,1.43687958668667,3.17297902070136e-11,0.971116950860858,0.481463740998025,0.858863754897665,0.00126867123462698,-0.483,0.043,0.121,-0.017
S2,+ coverage-gap effort (structural zeros treated as missing),175686,638,8308.93306656928,1.26659271199213,8.39849095133431e-08,1.43240628583331,6.41218249283195e-11,0.958461199270241,0.309730105636056,0.86346574482767,0.00177989508416295,-0.038,-0.004,-0.013,0.005
S3,+ area-weighted provincial climate series,175901,649,8423.31160260505,1.2889343025808,6.62413875417771e-09,1.43170373443825,1.3441613012109e-10,0.958288682742615,0.306055724581981,0.862903435534574,0.00164696334240051,0.022,-0.001,0,-0.001
S4,+ reporting-completeness offset log(c_t),175901,649,8406.59927767752,1.44796449132282,7.16694722837037e-16,1.42804702059126,2.44724886537569e-10,0.96155332012369,0.345095722953326,0.862427384195833,0.00229014993169788,0.159,-0.004,0.003,0
S5,+ province-by-year random intercept  => v2 MAIN MODEL,175901,649,8313.15361099188,1.4038169859134,2.89651690863056e-08,1.36164754167317,8.33903878612454e-08,0.995095739809156,0.91565385817717,0.84924794872335,0.00365005267236242,-0.044,-0.066,0.034,-0.013
