block,spec,label,window,threshold,effort,n,events,AIC,logLik,HR_climate,lo_climate,hi_climate,P_climate,HR_effort,lo_effort,hi_effort,P_effort,HR_var,lo_var,hi_var,P_var,HR_int,lo_int,hi_int,P_int,HR_exposure,lo_exposure,hi_exposure,P_exposure,HR_moderation,lo_moderation,hi_moderation,P_moderation,sd_species,sd_province,sd_prov_year,dAIC,proxy
A_window,S0_tavg_annual,"Relative warming, annual mean (main)",5,50,visits,175901,649,8334.74547010848,-4159.37273505424,1.16687433053163,1.05350282261302,1.29244618431725,0.00308143421236181,1.39203175633644,1.23350475890111,1.570932253537,8.22817372592171e-08,1.0102091915128,0.923570702792581,1.10497507936448,0.824289105225732,0.897275949066271,0.807168484105625,0.99744247282507,0.044704290400132,,,,,,,,,0.414854196746798,0.339550816264799,0.833627709337035,28.9335714099707,Annual mean (main)
A_window,S0_tavg_annual,"Relative warming, annual mean (main)",10,50,visits,175901,649,8327.8514269459,-4155.92571347295,1.21277497955454,1.08603703123916,1.35430294614846,0.000613392432158084,1.4067312756397,1.24618749236599,1.58795758582506,3.39416619968756e-08,1.02214487466341,0.934264168739976,1.1182919989426,0.632978890821376,0.846781407584866,0.762195384723946,0.940754518595132,0.00195203763706829,,,,,,,,,0.407350890929918,0.333237195237881,0.828781803949077,22.0395282473892,Annual mean (main)
A_window,S0_tavg_annual,"Relative warming, annual mean (main)",15,50,visits,175901,649,8313.15361099188,-4148.57680549594,1.36164754167317,1.21629159022553,1.52437461760366,8.33903878612454e-08,1.4038169859134,1.24527316128327,1.58254605592572,2.89651690863056e-08,0.995095739809156,0.908555481495667,1.08987899094091,0.91565385817717,0.84924794872335,0.760651657734799,0.948163421556983,0.00365005267236242,,,,,,,,,0.405131409670008,0.326206867064981,0.804057206066655,7.34171229336971,Annual mean (main)
A_window,S0_tavg_annual,"Relative warming, annual mean (main)",20,50,visits,175901,649,8310.95070849146,-4147.47535424573,1.39643304332344,1.2440184976339,1.56752110052581,1.48837451312238e-08,1.39987775187103,1.24274503114854,1.57687833873082,3.06713113126806e-08,1.0000016932692,0.912182106048332,1.09627603952174,0.999971191251049,0.823324494218752,0.740411835136414,0.915521863120507,0.000330950948500261,,,,,,,,,0.398814152561377,0.32516131548205,0.805101827083735,5.13880979295027,Annual mean (main)
A_window,S1_tmax_warm,"Relative warming, warmest-month max",5,50,visits,175901,649,8334.82138384253,-4159.41069192127,1.15554643198171,1.04182817638942,1.28167733099067,0.00623293510800373,1.3962097035671,1.23781473076274,1.57487343451933,5.55064769006124e-08,0.915834112707164,0.83522408139226,1.00422406475634,0.0614379560957349,1.02254675287845,0.922642887193666,1.13326821930269,0.670788214682523,,,,,,,,,0.401244020540852,0.361202727144435,0.833184990872157,29.0094851440208,Warmest-month max
A_window,S1_tmax_warm,"Relative warming, warmest-month max",10,50,visits,175901,649,8326.1133516577,-4155.05667582885,1.24609518247796,1.11624438183063,1.39105130477636,8.90421712484084e-05,1.40504186516149,1.2438099317485,1.58717388603041,4.54122541752853e-08,0.909693235274155,0.828361779079996,0.999010098247958,0.0476219804999312,0.949616412837123,0.858490972181206,1.05041446066518,0.315183106471919,,,,,,,,,0.394468945051097,0.3253678482708,0.853036565654966,20.3014529591892,Warmest-month max
A_window,S1_tmax_warm,"Relative warming, warmest-month max",15,50,visits,175901,649,8319.97098685192,-4151.98549342596,1.29871602704989,1.16413015918503,1.4488614572936,2.83111941921862e-06,1.38878789940024,1.23034983765126,1.56762879182597,1.07119563855105e-07,0.913092196872485,0.832240876813599,1.00179813707487,0.0546030651742622,0.982756692711579,0.885264211216828,1.09098583771037,0.744187772355585,,,,,,,,,0.393335658096458,0.31839394112043,0.836571644838344,14.1590881534103,Warmest-month max
A_window,S1_tmax_warm,"Relative warming, warmest-month max",20,50,visits,175901,649,8321.08787034645,-4152.54393517322,1.29503164225504,1.15676607580182,1.44982377122297,7.18866750992572e-06,1.38740469094614,1.22958817513117,1.56547681198545,1.0686871789173e-07,0.906672834181617,0.826555122368061,0.994556329029522,0.0379269591033018,0.975971410998921,0.87751152035971,1.08547884898054,0.653954143012465,,,,,,,,,0.392785772232026,0.315621001292692,0.834280679219653,15.2759716479395,Warmest-month max
A_window,S2_niche_prox,"Niche proximity, level",5,50,visits,175901,649,8338.47522885636,-4161.23761442818,0.94414532215551,0.867708853504941,1.02731507895471,0.182087714990384,1.38184425972701,1.22647342742407,1.55689761836173,1.06909144575012e-07,0.988164399901243,0.908349823509123,1.07499209661307,0.781713138767593,0.916351618942906,0.843157374337448,0.995899834475291,0.0397117332026883,,,,,,,,,0.437486259493519,0.380423942630479,0.828239176417265,32.6633301578495,Niche proximity
A_window,S2_niche_prox,"Niche proximity, level",10,50,visits,175901,649,8338.45937637817,-4161.22968818909,0.942908936980771,0.866569004384522,1.02597399507691,0.172344138619224,1.38294793193223,1.22731903438412,1.55831118792625,1.02171479744597e-07,1.00811649629812,0.926638479939852,1.09675875987188,0.85087364231428,0.916470045358659,0.843275842517091,0.99601731923523,0.0399785691991904,,,,,,,,,0.437624352726081,0.38032457417014,0.829337697137695,32.6474776796604,Niche proximity
A_window,S2_niche_prox,"Niche proximity, level",15,50,visits,175901,649,8338.42633011905,-4161.21316505952,0.943078761742788,0.86670965311465,1.02617704516631,0.173753148067585,1.38310626832387,1.22743110447021,1.55852572295898,1.0169717283325e-07,1.00642065794162,0.924993500923942,1.0950158457545,0.881803123598216,0.9160841667937,0.842952882625841,0.995560034193043,0.0389389189123462,,,,,,,,,0.437599207510739,0.380158992254567,0.829164544042947,32.6144314205394,Niche proximity
A_window,S2_niche_prox,"Niche proximity, level",20,50,visits,175901,649,8338.36006453466,-4161.18003226733,0.943046918852652,0.866670157473171,1.02615451044305,0.173565485845992,1.38365547825485,1.22779808728885,1.55929749551259,1.00505494285986e-07,1.0074778033098,0.925589277825173,1.09661115192139,0.863245349442866,0.915390047162599,0.842254383224236,0.994876316626136,0.0374418363826301,,,,,,,,,0.437457999472923,0.380322263760046,0.829005663776083,32.5481658361496,Niche proximity
A_window,S3_niche_track,"Niche tracking, change",5,50,visits,175901,649,8339.20999568209,-4161.60499784104,1.06999596417208,0.983725306486718,1.1638323786072,0.114698427101615,1.40231839152467,1.244835796069,1.57972391010786,2.64588015825979e-08,0.989328937152891,0.90931274250055,1.07638626419829,0.803107934906542,1.08217224656235,0.990240730371181,1.18263845882288,0.0812498059604984,,,,,,,,,0.404514818615597,0.384587966623797,0.824985839095263,33.3980969835793,Niche tracking
A_window,S3_niche_track,"Niche tracking, change",10,50,visits,175901,649,8337.94768757536,-4160.97384378768,1.05002316261633,0.965220610062766,1.14227631542089,0.255914465229894,1.40084601074142,1.24348971578758,1.57811481743317,2.94558256962754e-08,1.01088990502864,0.929203889516227,1.09975691193119,0.801079740140057,1.10976761929996,1.01684244844641,1.21118485044404,0.0195774278168112,,,,,,,,,0.403957181463351,0.385354865615729,0.826659854495068,32.1357888768507,Niche tracking
A_window,S3_niche_track,"Niche tracking, change",15,50,visits,175901,649,8336.64607346334,-4160.32303673167,1.05967863916923,0.974982443116963,1.15173234783762,0.172607239370313,1.39959244821771,1.24217311187222,1.57696137711082,3.34572953860472e-08,1.01129376536352,0.929434227853616,1.10036304798559,0.794268079076416,1.11985623383929,1.02104714349934,1.22822730806605,0.0163076256472632,,,,,,,,,0.398124043891234,0.394434852199844,0.824987124943187,30.8341747648301,Niche tracking
A_window,S3_niche_track,"Niche tracking, change",20,50,visits,175901,649,8338.00315193847,-4161.00157596923,1.05679798578828,0.971182871282172,1.14996054377661,0.199972125615199,1.39024055104621,1.23373349349807,1.56660153911619,6.40698187549886e-08,1.00858235568479,0.926519988665329,1.0979130300945,0.843540211236619,1.08854467968722,0.99642555529196,1.18918017847119,0.0600228361610155,,,,,,,,,0.397593051492743,0.39515568060968,0.82727702293551,32.1912532399601,Niche tracking
A_window,S4M_exposure_moderates,Warming x heat-exposure moderation,5,50,visits,175901,649,8326.67637648068,-4153.33818824034,1.12852132910423,1.01702506772358,1.25224090404558,0.0227220828059976,1.42226964436552,1.25839139911477,1.60748948435807,1.70287379514275e-08,1.01808936099596,0.930200124074265,1.11428274426936,0.697127778799649,0.920277134567238,0.82657393120166,1.02460284850269,0.129422327569114,0.854604842909172,0.758076096058376,0.963424966598036,0.01018968183994,0.925919400390809,0.861944342565877,0.994642801956266,0.0351131599903155,0.396986010750146,0.357769069301897,0.824130586845334,20.8644777821701,Annual mean + exposure
A_window,S4M_exposure_moderates,Warming x heat-exposure moderation,10,50,visits,175901,649,8320.38286636234,-4150.19143318117,1.15795883729026,1.03279187841588,1.29829513271858,0.0119764632453031,1.42396537969728,1.2610462309413,1.6079326457864,1.18761366737816e-08,1.03157500383427,0.942344956701104,1.12925418761826,0.500642730695211,0.8608621171805,0.774501246094398,0.95685266942252,0.00547383735328289,0.865560992274572,0.767361465338076,0.976327148532627,0.0187763199186923,0.920024941104782,0.853953149774215,0.991208818046583,0.0283628158314935,0.391033207131325,0.350982518449954,0.814523297022745,14.5709676638307,Annual mean + exposure
A_window,S4M_exposure_moderates,Warming x heat-exposure moderation,15,50,visits,175901,649,8306.80936371881,-4143.4046818594,1.3013402340228,1.15832851205603,1.46200873677934,9.22717857018799e-06,1.40489662059883,1.24647984416718,1.58344679523376,2.55564203029998e-08,1.00176270371195,0.914375780209411,1.09750119837869,0.969832554613289,0.854109601027297,0.765979301551394,0.952379795497728,0.00453801288252909,0.900393485934897,0.798815043720607,1.01488878544149,0.085794968187569,0.906223131723502,0.83782561136003,0.980204416450871,0.0139180275685681,0.392304208184326,0.330309111224271,0.79062569229567,0.997465020300297,Annual mean + exposure
A_window,S4M_exposure_moderates,Warming x heat-exposure moderation,20,50,visits,175901,649,8305.81189869851,-4142.90594934926,1.33667755066796,1.18712133739855,1.50507519170289,1.63963241912242e-06,1.39901597377494,1.24166339467661,1.57630941144658,3.47565628542669e-08,1.00723156411719,0.918471658916562,1.10456911098453,0.878324359811826,0.833169517642866,0.750065657070951,0.925480907684834,0.000662782493927458,0.897513245405919,0.797411932981865,1.01018055080621,0.0731138749472288,0.914772369953434,0.844327646138922,0.991094503013036,0.0293469901734463,0.38571860164986,0.32419424236111,0.798566884406299,0,Annual mean + exposure
