level,group,term,b
Abroscopus albogularis,Resident,species,0.285292944585751
Accipiter gularis,Long-distance,species,-0.157207231561258
Accipiter soloensis,Long-distance,species,0.0489236889106187
Accipiter trivirgatus,Resident,species,0.446008827753522
Accipiter virgatus,Partial,species,-0.125092086538575
Acridotheres cristatellus,Unknown,species,0.157056029747188
Acridotheres tristis,Partial,species,0.266119778587052
Acrocephalus agricola,Long-distance,species,-0.0797317131794203
Acrocephalus bistrigiceps,Long-distance,species,0.00802683356620391
Acrocephalus concinens,Unknown,species,-0.101713698450135
Acrocephalus orientalis,Unknown,species,-0.157500648031044
Acrocephalus tangorum,Long-distance,species,-0.065797350585952
Aegithalos bonvaloti,Unknown,species,0.159856624808937
Aegithalos caudatus,Resident,species,0.0160099440916413
Aegithalos concinnus,Resident,species,0.020163393368932
Aegithalos fuliginosus,Resident,species,0.0809172213154898
Aerodramus brevirostris,Resident,species,-0.267202921083187
Aethopyga christinae,Resident,species,0.0429987872447621
Aethopyga gouldiae,Unknown,species,-0.114731617192383
Agropsar sturninus,Unknown,species,0.138784491957271
Aix galericulata,Long-distance,species,-0.0663417189722677
Alauda gulgula,Partial,species,-0.163260529802727
Alaudala cheleensis,Unknown,species,0.161078897531519
Alcedo hercules,Resident,species,-0.145362554524599
Alcippe morrisonia,Partial,species,-0.114085377419676
Amaurornis phoenicurus,Unknown,species,0.45776023784563
Anastomus oscitans,Partial,species,0.312078780093894
Anser anser,Long-distance,species,-0.143906713945734
Anser fabalis,Unknown,species,0.147108141398127
Anser indicus,Long-distance,species,0.0262717866114926
Anthus godlewskii,Long-distance,species,-0.107212764653747
Anthus gustavi,Long-distance,species,0.164140423564754
Anthus richardi,Unknown,species,0.151410103585317
Anthus roseatus,Resident,species,-0.128309537515655
Anthus trivialis,Long-distance,species,-0.086533948222738
Aquila fasciata,Unknown,species,0.0407620977934731
Aquila heliaca,Long-distance,species,0.0207999044316593
Ardea intermedia,Partial,species,-0.013332169055868
Ardea purpurea,Long-distance,species,-0.268739416198902
Ardenna pacifica,Long-distance,species,-0.0305829528200701
Artamus fuscus,Resident,species,0.217132007963299
Asio flammeus,Long-distance,species,-0.112129022143243
Athene noctua,Resident,species,-0.0991448122378821
Aviceda jerdoni,Resident,species,0.0652253761755121
Aviceda leuphotes,Long-distance,species,0.251979118249126
Aythya fuligula,Partial,species,-0.303950260729243
Aythya nyroca,Long-distance,species,0.0319708776089856
Bombycilla japonica,Partial,species,0.0249233929115053
Branta canadensis,Unknown,species,0.613406101279761
Bubo nipalensis,Resident,species,-0.0282529964373225
Bucanetes mongolicus,Partial,species,0.314009034984706
Butastur indicus,Long-distance,species,-0.0356231507349026
Cacomantis merulinus,Unknown,species,0.147331128619599
Calandrella brachydactyla,Unknown,species,0.144896111162622
Calliope obscura,Unknown,species,-0.0489173565072959
Caprimulgus macrurus,Unknown,species,0.157072446223358
Carpodacus roborowskii,Resident,species,-0.14786378626636
Carpodacus vinaceus,Resident,species,-0.0936682589062219
Cecropis daurica,Long-distance,species,-0.0287916607767453
Centropus bengalensis,Resident,species,0.125134315396654
Cephalopyrus flammiceps,Partial,species,-0.0277070419576225
Certhia familiaris,Resident,species,-0.0876458832577844
Certhia himalayana,Resident,species,-0.00813325228681758
Certhia tianquanensis,Resident,species,-0.125184201754581
Ceryle rudis,Resident,species,0.134759842157005
Cettia brunnifrons,Partial,species,-0.148997294052105
Cettia castaneocoronata,Resident,species,-0.1558024181883
Chalcophaps indica,Unknown,species,0.479127637908911
Charadrius atrifrons,Unknown,species,0.0577983883725141
Charadrius dealbatus,Unknown,species,-0.216801673852601
Charadrius placidus,Long-distance,species,-0.129310900094297
Charadrius veredus,Long-distance,species,0.179248326327572
Chlidonias leucopterus,Long-distance,species,-0.149401850166012
Chlidonias niger,Long-distance,species,0.129618706616854
Chloris ambigua,Resident,species,0.0461560243483582
Chloris sinica,Resident,species,-0.290890859545867
Chrysolophus pictus,Resident,species,-0.27283861494449
Ciconia boyciana,Unknown,species,0.292379180695652
Ciconia nigra,Long-distance,species,-0.131108156933707
Circaetus gallicus,Unknown,species,0.441224558032773
Circus macrourus,Long-distance,species,0.0836394622237657
Circus spilonotus,Long-distance,species,-0.144711500017126
Cisticola exilis,Resident,species,-0.0395218949628252
Cisticola juncidis,Long-distance,species,-0.109257217977217
Clamator coromandus,Unknown,species,0.310040152946124
Clanga clanga,Long-distance,species,-0.176814173010992
Columba oenas,Resident,species,0.123799588661078
Copsychus saularis,Resident,species,-0.066426708725987
