grid_id,province,warm_trend_dec,warm_delta_c,tmean_1980_2000,tmean_2002_2024
1,Hainan,,,,
2,Hainan,,,,
3,Hainan,0.192632859246377,0.376639083140958,25.576984481206,25.953623564347
4,Hainan,0.173254264044982,0.377587955355068,24.4702384736803,24.8478264290354
5,Hainan,0.197134345992384,0.424206240741526,23.6174607541826,24.0416669949241
6,Hainan,0.192687740753134,0.38259145767627,23.687698769191,24.0702902268672
7,Hainan,0.211253890564006,0.44841282839937,24.8432543012831,25.2916671296825
8,Hainan,0.213043487537939,0.450776423479947,25.1202384403774,25.5710148638573
9,Hainan,0.195970590249667,0.414734333938689,23.9388892082941,24.3536235422328
10,Hainan,0.191886252984174,0.409972386988709,23.9019845023988,24.3119568893875
11,Hainan,0.23414580812567,0.492063466230693,24.5829368924338,25.0750003586645
12,Hainan,0.220707060529521,0.468374746762283,24.8928575477903,25.3612322945526
13,Hainan,0.229885811757561,0.486369907321233,24.6317463678027,25.1181162751239
14,Hainan,0.240129570192447,0.507660490138687,24.5952384358361,25.1028989259748
15,Hainan,0.211045210645237,0.426535457969123,24.7448416929396,25.1713771509088
16,Hainan,0.199143625635509,0.40508971089244,24.4289686187865,24.834058329679
17,Hainan,0.211045210645237,0.426535457969123,24.7448416929396,25.1713771509088
18,Guangdong,0.199143625635509,0.40508971089244,24.4289686187865,24.834058329679
19,Guangdong,0.211111109247321,0.42715667148061,23.8710321358272,24.2981888073078
20,Yunnan,0.232202453680295,0.555762583013237,21.3253971924857,21.881159775499
21,Guangxi,0.20479799395441,0.455055239449042,23.4210320805746,23.8760873200237
22,Guangdong,0.227097047856883,0.448844017367097,23.5591273799775,24.0079713973446
23,Guangdong,0.25013175668243,0.500034507181493,23.6079368742686,24.10797138145
24,Guangdong,,,,
25,Yunnan,0.280961795914942,0.637215303996257,20.1928574963221,20.8300728003184
26,Yunnan,0.226668865470233,0.551432053412629,21.1626987835718,21.7141308369844
27,Yunnan,0.235254708224343,0.561801227394504,21.6892860995399,22.2510873269344
28,Yunnan,0.302975399953837,0.702225653034319,20.9285717918759,21.6307974449102
29,Guangxi,0.219949528581487,0.432833063265139,21.6682542581407,22.1010873214058
30,Guangxi,0.18505709099047,0.38012422143056,21.6285717714401,22.0086959928706
31,Guangxi,0.188768128737264,0.381159439343609,22.6916670118059,23.0728264511495
32,Guangxi,0.187670156942106,0.381521668575651,22.8000004140158,23.1815220825914
33,Guangxi,0.207531803157907,0.460817722224476,23.0047623127226,23.4655800349471
34,Guangxi,0.22248571935745,0.45757420561575,22.7253971440452,23.1829713496609
35,Guangdong,0.242676777226075,0.486369924927026,22.956746411702,23.443116336629
36,Guangdong,0.205819056648722,0.413699089205622,23.4424606807648,23.8561597699704
37,Guangdong,0.210540171930234,0.423585221387334,22.8412702083588,23.2648554297461
38,Guangdong,0.257125623612536,0.514303034301289,22.9480162499443,23.4623192842456
39,Guangdong,0.253853736030568,0.511352634331203,22.5944448085058,23.105797442837
40,Yunnan,0.257729465730053,0.640458944503649,19.9888892817119,20.6293482262155
41,Yunnan,0.270245980839484,0.64849903256092,19.104762198433,19.753261230994
42,Yunnan,0.284584988404326,0.722463803919865,20.8083336845277,21.5307974884476
43,Yunnan,0.229292946318339,0.547808858589768,20.4376987540533,20.985507612643
44,Yunnan,0.308662709825438,0.776121470745554,20.5329368568602,21.3090583276058
45,Guangxi,0.178502403333828,0.366545834814463,22.3305559309702,22.6971017657847
46,Guangxi,0.189558641607948,0.398844064228115,22.5591273497021,22.9579714139303
