grid_id,nn_pa_km,n_pa_50km,pa_km2_50km,n_pa_100km,pa_km2_100km,n_pa_200km,pa_km2_200km,pa_km2_200km_N,pa_km2_200km_NE,pa_km2_200km_E,pa_km2_200km_SE,pa_km2_200km_S,pa_km2_200km_SW,pa_km2_200km_W,pa_km2_200km_NW,province,cen_lon,cen_lat
1,1058.16445908436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hainan,110.454769190569,8.17245606664609
2,299.579676328849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hainan,111.779680838859,16.2133034273503
3,5.47363121754048,7,70.0690662976829,14,668.142408142605,27,1425.76248720307,472.837300130637,308.722756027804,0,0,0,4.73437534131391,42.9758368584877,596.492218844827,Hainan,109.60533667869,18.204454268609
4,24.0540857306729,3,264.063404772315,6,594.333746324473,25,1353.02745431637,21.3511966506667,600.562538252611,661.044653115411,70.0690662976829,0,0,0,0,Hainan,108.700992916166,18.7053342290736
5,5.12734599305007,3,540.42569792243,15,994.569157844832,28,1580.72145969155,750.6293450118,242.017192853363,253.942450756389,70.0690662976829,0,0,240.911954251958,23.1514505203567,Hainan,109.163995387608,18.687035199996
6,25.2286662091331,6,341.809967896562,20,1060.63818236194,33,1638.74593440129,559.313817601474,160.509628824679,241.735462125777,12.2069886306116,70.0690662976829,0,242.712208121648,352.198762799419,Hainan,109.626816700456,18.6665817228839
7,17.646363046159,9,418.332444993763,17,511.553356926231,33,1638.74593440129,247.150407761017,124.894705891629,5.98575332934432,0,12.2069886306116,70.0690662976829,448.45560826071,729.983404230297,Hainan,110.08943685774,18.6439745561633
8,10.9528869425809,3,294.074124050693,7,850.2489316081,35,2425.72968566902,0,1352.39943416969,726.990791798719,346.339459700609,0,0,0,0,Hainan,108.718344821681,19.1666362365132
9,9.47390107137533,5,593.587867721165,10,1178.43901249101,36,2433.04196412779,1101.34244856224,226.558290918154,244.885098509541,223.692421558202,342.48958052896,240.911954251958,21.3511966506667,31.8109731480685,Hainan,109.183513211545,19.1482878352263
10,25.7662575261655,3,616.418724996155,21,1323.41432041611,39,2500.60007368069,1009.45204415348,129.345740992883,81.3292390112744,225.842019910296,204.38209800466,242.712208121648,350.875659599518,256.661063886935,Hainan,109.648497886506,19.1277792405822
11,5.1861964611721,6,423.291548668592,13,793.673133410534,41,2520.1720605247,1091.18729289525,80.8494790423681,0,62.971311270489,36.6558985279016,390.574555362745,591.787613851475,266.145909574469,Hainan,110.113278569001,19.1051112355302
12,11.2349046353901,4,297.956882722538,10,998.938974731902,42,2706.12712058825,1128.95310547937,359.859804072696,135.324832023572,418.332444993763,642.305737368182,21.3511966506667,0,0,Hainan,109.203214758433,19.6086340362969
13,31.8630398964654,4,271.03807530376,15,1201.62938516221,45,2767.05190135693,1182.50313683785,130.316205682831,78.4293663128818,87.420221167779,400.981290123667,593.587867721165,1.32310319990178,292.490710310853,Hainan,109.670383073947,19.5880688237472
14,17.1296736632306,3,77.6271986159887,19,958.088093857832,45,2767.05190135693,411.299739153842,96.2653479040006,11.0154727554961,56.0461943748769,320.448252241069,675.484608232715,309.82323368567,886.669053009259,Hainan,110.137344506538,19.5653383233864
15,25.4007348196141,4,91.0627841009712,11,222.559945800558,44,2739.38399742064,263.268956802822,39.3698821933104,11.0154727554961,0,33.0794561308847,721.186108916994,621.913734903277,1049.55038571786,Hainan,110.604078547605,19.5404434261112
16,22.5705468409319,3,209.434325469684,17,1412.90913645063,40,2846.0638682345,369.961951047215,17.1727546040958,57.6976334075833,72.7350328866983,441.127616591041,593.587867721165,266.145909574469,1027.63510240223,Hainan,110.161637845629,20.024677648126
17,10.5101709214203,3,96.2653479040006,11,320.718369524369,36,2564.0974575942,78.0975353727761,0,46.6821606520872,11.0154727554961,92.7020929027785,732.782013655824,421.104882062949,1181.71330019229,Hainan,110.630569911061,19.999712575123
18,29.1332618300199,8,179.152833151836,18,1327.19635393751,35,3104.57247415752,182.535938371905,56.2479853680447,17.1727546040958,57.6976334075833,478.958737085141,750.6293450118,845.008225977466,716.321854331484,Guangdong,110.186161821735,20.4831508915177
19,35.8875536961501,7,1022.54052764658,17,1972.24573114147,28,2498.29186727259,131.178027307266,0,238.783923739949,147.605420898377,1302.81624691777,0,27.6679039362852,650.240344472938,Guangdong,109.737291826785,20.9637076931051
20,59.6580265530943,0,0,1,2820.24722188008,3,3601.96610348236,0,620.036319854102,0,0,0,0,0,2981.92978362825,Yunnan,101.654215393288,21.4759560770899
21,21.7459915030772,3,716.321854331484,5,1560.94599198763,24,2932.64616484114,557.525681056741,0.0796103407887753,192.102808075946,1194.99909604131,293.813813510754,0,694.125155815595,0,Guangxi,109.283911020116,21.4413895745384
22,29.7574659138446,2,175.898920633961,10,387.191952670469,25,2467.14833222089,0.0796103407887753,128.842670730772,0,95.6178675613551,426.266983894155,1100.01934536234,716.321854331484,0,Guangdong,110.235914936376,21.397585199025
23,46.9457854925656,2,47.9898116626185,6,255.956678344045,23,2208.44883287253,0.0796103407887753,128.842670730772,0,0,180.701560631637,1182.50313683785,716.321854331484,0,Guangdong,110.711566683391,21.3723984263164
24,222.80358879722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Guangdong,115.921720200388,20.9512234968948
25,59.6009494026,0,0,1,161.682561748171,3,3103.81809979365,0,0,2981.92978362825,0,0,0,0,121.888316165394,Yunnan,100.20230824669,21.8759802435844
26,14.3351713150674,1,161.682561748171,2,2981.92978362825,3,3601.96610348236,0,781.718881602273,2820.24722188008,0,0,0,0,0,Yunnan,100.680702629659,21.8969192191051
27,13.2493023617464,2,2981.92978362825,2,2981.92978362825,4,3843.4836450642,0,861.553861435949,2820.24722188008,0,0,0,161.682561748171,0,Yunnan,101.159297801056,21.9156602041908
28,37.3298487384961,1,2820.24722188008,2,2981.92978362825,7,3958.13247956247,241.517541581846,734.685154352368,0,0,0,0,2981.92978362825,0,Yunnan,101.638071630729,21.9322023534063
29,50.1337594433366,0,0,5,1260.34884439064,10,2572.52487455223,866.130347563753,0.0497579688087821,1251.60107890353,0,0,0,0,454.743690116137,Guangxi,107.389188170863,21.9590260336378
30,10.1514576880772,2,694.125155815595,3,975.77740222077,12,2731.37080579578,584.478101158578,0.0497579688087821,688.653950395198,120.432325321291,601.360734430589,0,0,736.395936521312,Guangxi,107.868256512553,21.9469514229039
31,28.7875469420215,1,92.7644213850058,3,1251.60107890353,13,3513.73995310146,0,0.0497579688087821,688.653950395198,872.292041592434,0,92.7644213850058,885.932176600457,974.04760515956,Guangxi,108.347191283994,21.9326765611436
32,51.987484098166,0,0,3,677.908248409224,20,3413.22217110562,0.0497579688087821,0.0796103407887753,131.178027307266,1585.0200874373,27.6679039362852,0,803.096436551412,866.130347563753,Guangxi,108.825970260395,21.9162020944954
33,30.331438305723,1,557.475923087933,3,716.321854331484,23,3532.63060283042,0,0.0796103407887753,0,387.46154695347,1584.784184188,0,975.77740222077,584.527859127387,Guangxi,109.304571260409,21.8975287675079
34,37.2439286301648,1,131.178027307266,3,693.330745795834,21,2193.98219156685,0,0.0796103407887753,128.842670730772,84.7345531107196,1302.36735100654,585.143827024218,92.7644213850058,0.0497579688087821,Guangxi,109.782972152257,21.8766574226126
35,66.7798438409631,0,0,4,307.156558282016,20,2101.21777018184,0.0796103407887753,128.842670730772,0,0,1255.92387680999,158.845931243551,557.475923087933,0.0497579688087821,Guangdong,110.261150859836,21.8535889995281
36,76.5990267832211,0,0,3,176.83248239339,19,2101.16801221303,0,128.842670730772,0,0,73.4207399721405,1210.17104077414,688.653950395198,0.0796103407887753,Guangdong,110.73908536877,21.8283245345948
37,54.4096774919941,0,0,1,128.842670730772,13,522.603533055673,128.842670730772,6.48929931364361,0,0,0,256.013925363203,131.178027307266,0.0796103407887753,Guangdong,111.216753732434,21.8008651600423
38,71.0873765546954,0,0,1,128.842670730772,10,407.640182003854,0,22.7612225882479,0,0,0,255.956678344045,0,128.922281071561,Guangdong,111.69413407792,21.771212103189
39,93.5706847462539,0,0,1,16.2719232746043,7,631.084583121412,9.17683177859587,493.065080612045,0,0,0,0,128.842670730772,0,Guangdong,112.647943626779,21.7053303220289
40,115.075431336767,0,0,0,0,4,3279.56066756875,175.742567775097,0,2981.92978362825,0,0,0,0,121.888316165394,Yunnan,99.69858560983,22.3080650866281
41,69.9684133326593,0,0,1,161.682561748171,3,3103.81809979365,0,0,0,2981.92978362825,0,0,0,121.888316165394,Yunnan,100.179065293259,22.3312741252932
42,39.3548323745032,1,161.682561748171,2,2981.92978362825,4,3843.4836450642,0,241.517541581846,620.036319854102,2820.24722188008,161.682561748171,0,0,0,Yunnan,100.659771088999,22.3522792663125
