prov_cn,prov_km2,pa_km2,year,frac_pa
230000,451084.570674823,18252.702895469,2002,0.0404640373049403
650000,1627343.61964449,184031.921019977,2002,0.113087315302333
140000,155942.383568924,1431.00698769405,2002,0.00917651093271617
640000,51198.1261574061,6351.83792309434,2002,0.124063874985696
540000,1198514.53429661,378786.405118118,2002,0.31604656787948
370000,155045.020700642,1677.65270593603,2002,0.0108204229865286
410000,163635.184918568,7905.58304326081,2002,0.0483122443818851
320000,100834.150894034,753.482599783027,2002,0.0074724941213107
340000,141224.668324945,1150.92183312167,2002,0.00814958071258137
420000,186164.909824594,4229.9527014774,2002,0.0227215360051628
330000,100488.309790717,740.264772863964,2002,0.00736667553077252
360000,169215.433114737,3011.01803161253,2002,0.0177939918138016
430000,211565.974059089,7919.38317251152,2002,0.0374322156846435
530000,385468.898026504,14525.1071266859,2002,0.0376816578485332
520000,175616.831238234,3153.91383762898,2002,0.0179590635783111
350000,122346.250901022,2533.34853058978,2002,0.0207063846413999
450000,266663.798498258,5473.02042419138,2002,0.0205240473398084
440000,202775.329391037,1839.3595447918,2002,0.00907092371796734
460000,43080.9900364887,1368.55228206154,2002,0.0317669645219946
220000,191587.081583656,11299.7806472998,2002,0.0589798672953104
210000,145287.062854837,3002.27694242238,2002,0.0206644479104247
120000,11392.3898513189,407.300557210269,2002,0.0357519855382333
630000,695938.6544018,68465.4389506323,2002,0.0983785546579278
610000,204998.319067571,10741.7393939517,2002,0.0523991584068114
150000,1142761.87223905,85326.2462194008,2002,0.0746666897909522
500000,82385.4969649095,2405.84352875656,2002,0.0292022700279551
130000,186599.667718384,2359.32511116691,2002,0.0126437798095525
310000,6182.81738595144,0,2002,0
110000,16197.1667597319,298.752132928851,2002,0.0184447155086151
710000,40903.8534422188,0,2002,0
810000,1288.62501088332,0,2002,0
510000,485131.529377545,46530.6941413585,2002,0.0959135643091685
620000,421123.651133805,74103.9653987941,2002,0.175967237174359
820000,60.7617837309977,0,2002,0
230000,451084.570674823,18853.4945830778,2003,0.0417959198978429
650000,1627343.61964449,184031.921019977,2003,0.113087315302333
140000,155942.383568924,1431.00698769405,2003,0.00917651093271617
640000,51198.1261574061,6351.83792309434,2003,0.124063874985696
540000,1198514.53429661,378786.405118118,2003,0.31604656787948
370000,155045.020700642,1677.65270593603,2003,0.0108204229865286
410000,163635.184918568,7905.5830432608,2003,0.0483122443818851
320000,100834.150894034,753.482599783027,2003,0.0074724941213107
340000,141224.668324945,1150.92183312167,2003,0.00814958071258138
420000,186164.909824594,4229.9527014774,2003,0.0227215360051628
330000,100488.309790717,740.264772863964,2003,0.00736667553077252
360000,169215.433114737,3044.97995433788,2003,0.0179946940907761
430000,211565.974059089,7919.38317251152,2003,0.0374322156846435
530000,385468.898026504,14525.1071266859,2003,0.0376816578485332
520000,175616.831238234,3154.00349063847,2003,0.0179595740818252
350000,122346.250901022,2533.62259251144,2003,0.0207086246930536
450000,266663.798498258,5473.02042419138,2003,0.0205240473398084
440000,202775.329391037,1839.35954479179,2003,0.00907092371796734
460000,43080.9900364887,1368.55228206154,2003,0.0317669645219947
220000,191587.081583656,11299.7806472999,2003,0.0589798672953105
210000,145287.062854837,3002.27745243072,2003,0.020664451420774
120000,11392.3898513189,408.287673193778,2003,0.035838632501372
630000,695938.6544018,68465.4389506322,2003,0.0983785546579278
610000,204998.319067571,11173.5258255476,2003,0.0545054509537937
150000,1142761.87223905,87689.609390739,2003,0.0767348049676579
500000,82385.4969649095,2405.84352875656,2003,0.0292022700279551
130000,186599.667718384,2663.93404864366,2003,0.014276199315982
310000,6182.81738595144,0,2003,0
110000,16197.1667597319,298.752132928851,2003,0.0184447155086151
710000,40903.8534422188,0,2003,0
810000,1288.62501088332,0,2003,0
510000,485131.529377545,49027.1463296613,2003,0.101059492860763
620000,421123.651133805,74114.8678814917,2003,0.175993126204026
820000,60.7617837309977,0,2003,0
230000,451084.570674823,19492.4244428166,2004,0.0432123502110833
650000,1627343.61964449,184031.921019977,2004,0.113087315302333
140000,155942.383568924,1431.00698769405,2004,0.00917651093271617
640000,51198.1261574061,6552.54107544326,2004,0.12798400190073
540000,1198514.53429661,378786.405118118,2004,0.31604656787948
370000,155045.020700642,1677.65270593603,2004,0.0108204229865286
410000,163635.184918568,7905.58304326081,2004,0.0483122443818851
320000,100834.150894034,2526.88989111746,2004,0.0250598618495131
340000,141224.668324945,1150.92183312167,2004,0.00814958071258136
420000,186164.909824594,4229.9527014774,2004,0.0227215360051628
330000,100488.309790717,740.264772863964,2004,0.00736667553077252
360000,169215.433114737,3153.05061711955,2004,0.0186333513384776
