species,province,year,date_source,disc_year,pub_year,lag,longitude,latitude,in_pa,in_pa_national,nearest_pa_name,nearest_pa_level,nearest_pa_type,nearest_pa_year,dist_to_pa_km,grid_id
Phylloscopus intermedius,Hunan,2017,discovery_date,2017,2022,5,110.57,30.05,TRUE,TRUE,湖南壶瓶山,national,森林生态,1982,0,824
Phylloscopus intermedius,Shanghai,2013,discovery_date,2013,2018,5,121.97,30.91,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,21.4078403694391,
Phylloscopus magnirostris,Hunan,2012,discovery_date,2012,2014,2,110.65,30.05,TRUE,TRUE,湖南壶瓶山,national,森林生态,1982,0,824
Phylloscopus ogilviegranti,Shaanxi,2011,discovery_date,2011,2012,1,107.78,34.06,FALSE,FALSE,陕西太白山,national,森林生态,1965,2.30916112346824,1496
Phylloscopus omeiensis,Hunan,2015,discovery_date,2015,2023,8,110.6,30.05,TRUE,TRUE,湖南壶瓶山,national,森林生态,1982,0,824
Phylloscopus pulcher,Hunan,2021,discovery_date,2021,2022,1,112.92,28.17,FALSE,FALSE,湖南东洞庭湖,national,湿地生态,1984,54.3449249700731,566
Phylloscopus ricketti,Anhui,2016,discovery_date,2016,2017,1,117.29,30.01,FALSE,FALSE,安徽牯牛降,national,森林生态,1982,11.5559469340585,908
Phylloscopus ricketti,Henan,2016,discovery_date,2016,2016,0,112.61,34.9,FALSE,FALSE,河南黄河湿地,national,湿地生态,1995,1.51441558798608,1660
Phylloscopus ricketti,Jiangxi,2009,discovery_date,2009,2010,1,117.73,27.85,TRUE,TRUE,江西武夷山,national,森林生态,1981,0,634
Phylloscopus soror,Beijing,2011,discovery_date,2011,2013,2,115.43,40,FALSE,FALSE,北京百花山,national,森林生态,1985,0.715326954742217,2555
Phylloscopus soror,Hunan,2015,discovery_date,2015,2023,8,110.6,30.05,TRUE,TRUE,湖南壶瓶山,national,森林生态,1982,0,824
Phylloscopus soror,Jiangsu,2021,discovery_date,2021,2021,0,120.86,33.07,TRUE,FALSE,大洞山,local,森林生态,2001,0,1520
Phylloscopus soror,Shanghai,2011,discovery_date,2011,2013,2,121.97,30.88,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,24.3707625014144,
Phylloscopus subaffinis,Inner Mongolia,2019,discovery_date,2019,2023,4,105.66,38.83,FALSE,FALSE,巴丹吉林沙漠湖泊,provincial,湿地生态,1999,6.12975635718837,2321
Phylloscopus tenellipes,Henan,2011,discovery_date,2011,2011,0,114.25,31.97,TRUE,TRUE,河南董寨鸟类,national,野生动物,1982,0,1196
Phylloscopus tephrocephalus,Anhui,2022,discovery_date,2022,2024,2,117.27,31.84,FALSE,FALSE,盘台,local,森林生态,2006,127.653181271096,1202
Phylloscopus tephrocephalus,Gansu,2016,discovery_date,2016,2016,0,105.41,33.14,TRUE,FALSE,裕河金丝猴,provincial,野生动物,2002,0,1335
Phylloscopus tephrocephalus,Guizhou,2011,discovery_date,2011,2012,1,107.17,28.22,TRUE,TRUE,贵州绥阳宽阔水,national,森林生态,1989,0,555
Phylloscopus tephrocephalus,Hunan,2015,discovery_date,2015,2016,1,113.63,25.9,FALSE,FALSE,湖南八面山,national,森林生态,1982,0.590794880381946,345
Phylloscopus tephrocephalus,Tianjin,2020,discovery_date,2020,2023,3,118,39.24,FALSE,FALSE,天津古海岸与湿地国家级自然保护区,national,海洋海岸,1992,31.2983166854651,
Phylloscopus yunnanensis,Jiangxi,2011,discovery_date,2011,2012,1,114.16,26.57,TRUE,TRUE,江西井冈山,national,森林生态,1981,0,429
Picumnus innominatus,Guangxi,2005,discovery_date,2005,2006,1,106.42,23.13,FALSE,FALSE,邦亮长臂猿,provincial,野生动物,2009,17.5783101431948,99
Picumnus innominatus,Shandong,2015,discovery_date,2015,2017,2,117.06,36.28,TRUE,FALSE,山东泰山,provincial,森林生态,2006,0,1961
Picus chlorolophus,Tibet,2019,discovery_date,2019,2019,0,95.35,29.33,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,723
Pitta nympha,Hubei,2009,discovery_date,2009,2011,2,110.9,30.85,FALSE,FALSE,西陵峡震旦纪地质剖面,provincial,地质遗迹,1986,52.524075141774,968
Pitta nympha,Jilin,2019,discovery_date,2019,2020,1,126.07,44.07,FALSE,FALSE,波罗湖,national,湿地生态,2004,91.5194335719492,3339
Platalea minor,Anhui,2016,discovery_date,2016,2017,1,116.91,30.51,FALSE,FALSE,安徽升金湖,national,湿地生态,1986,13.1350553482488,980
Pnoepyga immaculata,Tibet,2010,discovery_date,2010,2010,0,85.97,27.98,TRUE,TRUE,西藏珠穆朗玛峰,national,森林生态,1988,0,705
Podiceps auritus,Gansu,2020,discovery_date,2020,2021,1,100.44,38.97,FALSE,FALSE,甘肃黑河,provincial,野生动物,1982,0.103375559781045,2312
Podiceps auritus,Shaanxi,2016,discovery_date,2016,2017,1,109.03,32.71,FALSE,FALSE,陕西化龙山,national,森林生态,2001,70.4130013839721,1263
Podiceps grisegena,Gansu,2007,discovery_date,2007,2008,1,101.1,38.86,FALSE,FALSE,甘肃祁连山,national,森林生态,1987,13.254031503074,2313
Podiceps nigricollis,Shaanxi,2002,discovery_date,2002,2007,5,106.9,32.95,FALSE,FALSE,四川大小兰沟,provincial,野生植物,1991,25.357549575751,1260
Podiceps nigricollis,Tibet,2013,discovery_date,2013,2014,1,97.8,29.3,FALSE,FALSE,西藏芒康滇金丝猴,national,野生动物,1993,59.7434647479445,728
Podoces biddulphi,Gansu,2008,discovery_date,2008,2009,1,93.47,40.28,TRUE,TRUE,敦煌西湖,national,野生动物,1992,0,2596
Pomatorhinus schisticeps,Tibet,2015,discovery_date,2015,2016,1,95.35,29.33,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,723
Prinia atrogularis,Guizhou,2016,discovery_date,2016,2016,0,108.34,26.35,TRUE,TRUE,贵州雷公山,national,森林生态,1982,0,376
Prinia atrogularis,Hunan,2015,discovery_date,2015,2016,1,113.73,26.01,TRUE,TRUE,湖南八面山,national,森林生态,1982,0,386
Prinia flaviventris,Hubei,2019,discovery_date,2019,2022,3,114.04,29.57,FALSE,FALSE,湖北九宫山,national,森林生态,1981,42.3052111634834,830
Prinia flaviventris,Jiangsu,2022,discovery_date,2022,2025,3,121.44,32.34,FALSE,FALSE,大洞山,local,森林生态,2001,62.6143368010029,
Prinia inornata,Shaanxi,2023,discovery_date,2023,2023,0,108.7,32.75,FALSE,FALSE,重庆大巴山,national,野生植物,1979,64.6505928326795,1263
Prunella collaris,Hunan,2020,discovery_date,2020,2022,2,110.78,30.1,TRUE,TRUE,湖南壶瓶山,national,森林生态,1982,0,824
Prunella himalayana,Shandong,2009,publication_minus_median_lag,2019,2010,1,117.12,36.25,TRUE,FALSE,山东泰山,provincial,森林生态,2006,0,1961
Prunella immaculata,Shaanxi,2007,discovery_date,2007,2007,0,107.77,33.92,TRUE,TRUE,陕西太白山,national,森林生态,1965,0,1496
Prunella montanella,Jiangsu,2014,discovery_date,2014,2025,11,121.04,32.56,FALSE,FALSE,大洞山,local,森林生态,2001,28.9196128751743,
Prunella montanella,Xinjiang,2008,discovery_date,2008,2008,0,87.54,44.18,FALSE,FALSE,天池,provincial,森林生态,1980,47.9847647910198,3265
Prunella strophiata,Guizhou,2009,discovery_date,2009,2010,1,107.13,28.18,FALSE,FALSE,贵州绥阳宽阔水,national,森林生态,1989,0.368916908694922,555
Prunella strophiata,Henan,2016,discovery_date,2016,2017,1,111.32,33.96,FALSE,FALSE,河南伏牛山,national,森林生态,1982,16.7843327843769,1502
Psarisomus dalhousiae,Tibet,2015,discovery_date,2015,2016,1,95.32,29.34,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,723
Pseudopodoces humilis,Inner Mongolia,2020,discovery_date,2020,2023,3,100.87,39.18,FALSE,FALSE,甘肃祁连山,national,森林生态,1987,20.0810635951867,2386
Psilopogon faber,Fujian,2014,discovery_date,2014,2014,0,118.16,26.68,FALSE,FALSE,福建建瓯万木林,provincial,森林生态,1957,40.5653023808627,479
Psilopogon faber,Zhejiang,2016,discovery_date,2016,2018,2,119.13,28.35,FALSE,FALSE,浙江九龙山,national,森林生态,1983,20.6800359580422,700
Psilopogon virens,Gansu,2016,discovery_date,2016,2017,1,105.51,32.97,TRUE,FALSE,裕河金丝猴,provincial,野生动物,2002,0,1257
Pterorhinus berthemyi,Jiangsu,2007,discovery_date,2007,2009,2,118.86,32.06,FALSE,FALSE,雨花台,local,地质遗迹,1984,34.2248280300766,1282
Pterorhinus lanceolatus,Henan,2016,discovery_date,2016,2017,1,111.32,33.96,FALSE,FALSE,河南伏牛山,national,森林生态,1982,16.7843327843769,1502
Pterorhinus pectoralis,Jiangsu,2007,discovery_date,2007,2009,2,118.85,32.07,FALSE,FALSE,雨花台,local,地质遗迹,1984,34.3240249581974,1282
Pterorhinus sannio,Henan,2014,discovery_date,2014,2017,3,115.27,31.72,FALSE,FALSE,上涉湖湿地,local,湿地生态,2006,4.99798772809384,1198
Pteruthius rufiventer,Tibet,2019,discovery_date,2019,2019,0,95.26,29.29,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,723
Pteruthius xanthochlorus,Anhui,2015,discovery_date,2015,2016,1,118.53,29.57,FALSE,FALSE,浙江古田山,national,野生动物,1975,49.6511221264744,911
Pteruthius xanthochlorus,Guizhou,2017,discovery_date,2017,2018,1,106.19,28.34,FALSE,FALSE,习水中亚热带常绿阔叶林,national,森林生态,1994,7.22912697295622,553
Pteruthius xanthochlorus,Hunan,2011,discovery_date,2011,2014,3,110.68,29.98,TRUE,TRUE,湖南壶瓶山,national,森林生态,1982,0,824
Ptyonoprogne rupestris,Hubei,2017,discovery_date,2017,2025,8,113.69,29.4,FALSE,FALSE,湖南东洞庭湖,national,湿地生态,1984,43.501484522723,759
Ptyonoprogne rupestris,Jiangsu,2021,discovery_date,2021,2024,3,120.48,31.3,FALSE,FALSE,江苏吴县光福,provincial,森林生态,1981,7.44253732505062,1208
Pycnonotus jocosus,Hainan,2010,discovery_date,2010,2011,1,110.33,20,FALSE,FALSE,永兴鸟类,local,野生动物,1988,9.76684960603301,16
Pycnonotus jocosus,Henan,2010,discovery_date,2010,2013,3,113.7,34.71,FALSE,FALSE,河南豫北黄河故道湿地鸟类国家级自然保护区,national,湿地生态,1996,53.0817264149637,1662
Pycnonotus jocosus,Sichuan,2011,discovery_date,2011,2018,7,104.67,30.63,FALSE,FALSE,四川龙泉湖,provincial,湿地生态,1998,27.066959745596,884
Pycnonotus sinensis,Beijing,2002,discovery_date,2002,2003,1,116.62,40.36,FALSE,FALSE,天津八仙山,national,森林生态,1984,59.1031711399951,2634
Pycnonotus sinensis,Inner Mongolia,2024,discovery_date,2024,2024,0,121.95,45.15,TRUE,TRUE,内蒙古阿鲁科尔沁国家级自然保护区,national,草原草甸,1998,0,3372
Pycnonotus sinensis,Jilin,2018,discovery_date,2018,2020,2,125.41,43.81,FALSE,FALSE,吉林伊通火山群国家级自然保护区,national,地质遗迹,1983,47.1533798273266,3295
Pycnonotus sinensis,Liaoning,2004,discovery_date,2004,2006,2,121.59,38.92,FALSE,FALSE,老偏岛－玉皇顶,local,野生动物,2000,3.59380556388683,
Pycnonotus sinensis,Ningxia,2010,discovery_date,2010,2011,1,106.73,38.75,FALSE,FALSE,鄂托克恐龙遗迹化石,national,古生物遗迹,1998,41.7709399528472,2323
Pycnonotus sinensis,Qinghai,2006,discovery_date,2006,2006,0,101.75,36.63,FALSE,FALSE,甘肃连城,national,森林生态,2001,74.8285055589801,1934
Pycnonotus xanthorrhous,Ningxia,2019,discovery_date,2019,2019,0,106.39,35.41,FALSE,FALSE,六盘山,national,森林生态,1982,3.00887191686599,1723
Pycnonotus xanthorrhous,Shanghai,2008,discovery_date,2008,2018,10,121.96,30.88,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,24.8102984626411,
Pyrrhula erythaca,Hunan,2011,discovery_date,2011,2011,0,110.65,30.03,TRUE,TRUE,湖南壶瓶山,national,森林生态,1982,0,824
Pyrrhula nipalensis,Henan,2023,discovery_date,2023,2024,1,111.93,33.5,TRUE,TRUE,河南内乡宝天曼,national,森林生态,1980,0,1426
Pyrrhula nipalensis,Hunan,2010,discovery_date,2010,2011,1,110.67,30.05,TRUE,TRUE,湖南壶瓶山,national,森林生态,1982,0,824
Pyrrhula nipalensis,Shaanxi,2010,discovery_date,2010,2010,0,109.51,31.95,FALSE,FALSE,陕西化龙山,national,森林生态,2001,1.28531634980211,1113
Rallina eurizonoides,Jiangxi,2006,discovery_date,2006,2009,3,114.08,25.9,FALSE,FALSE,江西齐云山,provincial,森林生态,1997,0.309554203025399,346
Rallina eurizonoides,Shandong,2020,discovery_date,2020,2022,2,117.05,36.22,TRUE,FALSE,山东泰山,provincial,森林生态,2006,0,1961
Rallus aquaticus,Anhui,2022,discovery_date,2022,2022,0,117.35,31.2,FALSE,FALSE,盘台,local,森林生态,2006,73.4802514803788,1128
Rallus aquaticus,Inner Mongolia,2009,discovery_date,2009,2023,14,105.67,38.83,FALSE,FALSE,巴丹吉林沙漠湖泊,provincial,湿地生态,1999,6.98266979757227,2321
Rallus aquaticus,Ningxia,2009,discovery_date,2009,2023,14,106.27,38.2,FALSE,FALSE,宁夏灵武白芨滩,national,荒漠生态,1985,7.36153029882999,2166
Rallus aquaticus,Shaanxi,2018,discovery_date,2018,2025,7,107.53,33.61,FALSE,FALSE,陕西长青,national,野生动物,1994,2.42379487475124,1418
Recurvirostra avosetta,Ningxia,2010,discovery_date,2010,2011,1,106.39,38.38,FALSE,FALSE,宁夏灵武白芨滩,national,荒漠生态,1985,4.61852651799954,2244
Recurvirostra avosetta,Yunnan,2007,discovery_date,2007,2010,3,99.64,27.9,FALSE,FALSE,云南白马雪山,national,森林生态,1984,28.8806913365886,489
Regulus regulus,Anhui,2011,discovery_date,2011,2011,0,117.19,31.88,FALSE,FALSE,安徽鹞落坪国家级自然保护区,national,森林生态,1991,130.287812106174,1202
Regulus regulus,Hunan,2012,discovery_date,2012,2023,11,112.99,28.21,FALSE,FALSE,湖南东洞庭湖,national,湿地生态,1984,50.9442325939507,567
Remiz consobrinus,Guangxi,2012,discovery_date,2012,2015,3,108.32,22.58,FALSE,FALSE,广西崇左白头叶猴,national,野生动物,1980,34.3630565592797,48
Remiz consobrinus,Guizhou,2023,discovery_date,2023,2024,1,106.66,26.73,FALSE,FALSE,贵州金沙冷水河,local,森林生态,1992,94.5803778736955,414
Remiz consobrinus,Shaanxi,2015,discovery_date,2015,2015,0,109.44,34.8,FALSE,FALSE,陕西延安黄龙山褐马鸡,national,野生动物,2001,52.5303846668276,1654
Remiz consobrinus,Sichuan,2020,discovery_date,2020,2021,1,105.38,29.15,FALSE,FALSE,长江上游珍稀、特有鱼类,national,野生动物,1997,22.9214534083155,674
Remiz coronatus,Gansu,2021,discovery_date,2021,2022,1,103.45,38.97,FALSE,FALSE,民勤连古城,national,荒漠生态,1982,0.0355382538341737,2317
