grid_id,pa_all,pa_national,pa_subnational,province,cen_lon,cen_lat,cell_km2,frac_pa_all,frac_pa_national,frac_pa_subnational
1,0,0,0,Hainan,110.454769190569,8.17245606664609,2500,0,0,0
2,0,0,0,Hainan,111.779680838859,16.2133034273503,2500,0,0,0
3,48.9540871700926,21.1149791275894,27.8391080425033,Hainan,109.60533667869,18.204454268609,2500,0.019581634868037,0.00844599165103577,0.0111356432170013
4,159.580113313995,159.580113313995,0,Hainan,108.700992916166,18.7053342290736,2500,0.0638320453255981,0.0638320453255981,0
5,83.1320948072656,81.3318409375756,1.80025386969004,Hainan,109.163995387608,18.687035199996,2500,0.0332528379229062,0.0325327363750302,0.000720101547876014
6,151.018882819481,151.018882819481,0,Hainan,109.626816700456,18.6665817228839,2500,0.0604075531277923,0.0604075531277923,0
7,112.576286787819,87.9270281748988,24.6492586129203,Hainan,110.08943685774,18.6439745561633,2500,0.0450305147151277,0.0351708112699595,0.00985970344516811
8,21.3511966506667,21.351196650667,0,Hainan,108.718344821681,19.1666362365132,2500,0.0085404786602667,0.00854047866026681,0
9,329.52446294885,297.713489800781,31.8109731480685,Hainan,109.183513211545,19.1482878352263,2500,0.13180978517954,0.119085395920313,0.0127243892592274
10,79.7342887760595,79.7342887760595,0,Hainan,109.648497886506,19.1277792405822,2500,0.0318937155104238,0.0318937155104238,0
11,30.0769625303962,0,30.076962530397,Hainan,110.113278569001,19.1051112355302,2500,0.0120307850121585,0,0.0120307850121588
12,163.085252885927,0,163.085252885927,Hainan,109.203214758433,19.6086340362969,2500,0.0652341011543707,0,0.0652341011543708
13,0,0,0,Hainan,109.670383073947,19.5880688237472,2500,0,0,0
14,4.89216572929045,0,4.89216572929045,Hainan,110.137344506538,19.5653383233864,2500,0.00195686629171618,0,0.00195686629171618
15,19.8142756153468,0,19.8142756153468,Hainan,110.604078547605,19.5404434261112,2500,0.00792571024613871,0,0.00792571024613871
16,53.3769158229876,3.79372857107497,49.5831872519131,Hainan,110.161637845629,20.024677648126,2499.99999999999,0.0213507663291952,0.00151749142842999,0.0198332749007653
17,7.31227845877682,0,7.31227845877682,Hainan,110.630569911061,19.999712575123,2500.00000000001,0.00292491138351071,0,0.00292491138351072
18,13.3167110880733,13.3167110880728,0,Guangdong,110.186161821735,20.4831508915177,2500,0.00532668443522932,0.0053266844352291,0
19,20.0378160279657,20.0378160279657,0,Guangdong,109.737291826785,20.9637076931051,2500,0.00801512641118627,0.00801512641118629,0
20,977.049296074232,977.049296074232,0,Yunnan,101.654215393288,21.4759560770899,2500,0.390819718429693,0.390819718429693,0
21,383.228135163875,383.228135163875,0,Guangxi,109.283911020116,21.4413895745384,2500,0.15329125406555,0.15329125406555,0
22,0,0,0,Guangdong,110.235914936376,21.397585199025,2500,0,0,0
23,0.808127833285027,0.808127833284956,0,Guangdong,110.711566683391,21.3723984263164,2500,0.000323251133314011,0.000323251133313983,0
24,0,0,0,Guangdong,115.921720200388,20.9512234968948,2500,0,0,0
25,90.2994626058362,90.2994626058362,0,Yunnan,100.20230824669,21.8759802435844,2500,0.0361197850423345,0.0361197850423345,0
26,173.820830201129,173.82083020113,0,Yunnan,100.680702629659,21.8969192191051,2500,0.0695283320804515,0.0695283320804518,0
27,149.933356676078,149.933356676078,0,Yunnan,101.159297801056,21.9156602041908,2500,0.0599733426704313,0.059973342670431,0
28,397.10836162335,397.10836162335,0,Yunnan,101.638071630729,21.9322023534063,2500,0.15884334464934,0.15884334464934,0
29,41.4664225910818,41.4664225910818,0,Guangxi,107.389188170863,21.9590260336378,2500,0.0165865690364327,0.0165865690364327,0
30,469.457489990535,469.457489990535,0,Guangxi,107.868256512553,21.9469514229039,2500,0.187782995996214,0.187782995996214,0
31,120.944414840735,120.944414840735,0,Guangxi,108.347191283994,21.9326765611436,2500,0.0483777659362941,0.0483777659362941,0
32,0,0,0,Guangxi,108.825970260395,21.9162020944954,2500,0,0,0
33,171.390061895944,171.390061895944,0,Guangxi,109.304571260409,21.8975287675079,2500,0.0685560247583777,0.0685560247583777,0
34,0,0,0,Guangxi,109.782972152257,21.8766574226126,2500,0,0,0
35,0,0,0,Guangdong,110.261150859836,21.8535889995281,2500,0,0,0
36,0,0,0,Guangdong,110.73908536877,21.8283245345948,2500,0,0,0
37,0,0,0,Guangdong,111.216753732434,21.8008651600423,2500,0,0,0
38,0,0,0,Guangdong,111.69413407792,21.771212103189,2500,0,0,0
39,0,0,0,Guangdong,112.647943626779,21.7053303220289,2500,0,0,0
40,0,0,0,Yunnan,99.69858560983,22.3080650866281,2500,0,0,0
41,2.95027730375522,2.95027730375522,0,Yunnan,100.179065293259,22.3312741252932,2500,0.00118011092150209,0.00118011092150209,0
42,456.418585017038,456.418585017038,0,Yunnan,100.659771088999,22.3522792663125,2500,0.182567434006815,0.182567434006815,0
43,665.151684206596,665.151684206596,0,Yunnan,101.140680602636,22.371079538985,2500,0.266060673682638,0.266060673682638,0
44,0,0,0,Yunnan,101.621771382537,22.3876740727746,2500,0,0,0
45,284.571442169868,108.971280735819,175.60016143405,Guangxi,106.919273993908,22.4244879543695,2500,0.113828576867947,0.0435885122943276,0.07024006457362
46,211.468029649003,211.468029649002,0,Guangxi,107.400776522914,22.4145828022677,2500,0.0845872118596011,0.0845872118596009,0
47,69.4066759600042,69.4066759600036,0,Guangxi,107.882166116884,22.4024698906206,2500,0.0277626703840017,0.0277626703840015,0
48,0,0,0,Guangxi,108.363420189049,22.3881497829351,2500,0,0,0
49,0,0,0,Guangxi,108.844516190829,22.3716231445233,2500,0,0,0
50,0,0,0,Guangxi,109.325431618146,22.3528907420328,2500,0,0,0
51,0,0,0,Guangxi,109.806144017702,22.3319534429072,2500,0,0,0
52,0,0,0,Guangxi,110.286630993233,22.3088122147748,2500,0,0,0
53,0,0,0,Guangxi,110.766870211708,22.2834681247669,2500,0,0,0
54,128.84267073077,128.842670730771,0,Guangdong,111.246839409496,22.2559223387678,2500,0.0515370682923081,0.0515370682923085,0
55,0,0,0,Guangdong,111.726516398477,22.2261761205933,2500,0,0,0
56,0,0,0,Guangdong,112.205879072104,22.1942308311032,2500,0,0,0
57,0,0,0,Guangdong,112.684905411408,22.1600879272448,2500,0,0,0
58,0,0,0,Guangdong,113.163573490941,22.1237489610292,2500,0,0,0
59,0,0,0,Yunnan,99.6727860383199,22.7625264345636,2500,0,0,0
60,0,0,0,Yunnan,100.155596216947,22.7858102822348,2500,0,0,0
61,0,0,0,Yunnan,100.638635820903,22.8068832136771,2500,0,0,0
62,0,0,0,Yunnan,101.121882129454,22.8257442296259,2500,0,0,0
63,0,0,0,Yunnan,101.605312363241,22.8423924339358,2500,0,0,0
64,485.384582635637,485.384582635637,0,Yunnan,102.088903690679,22.8568270342102,2500,0.194153833054255,0.194153833054255,0
65,56.5464888052946,56.5464888052946,0,Yunnan,102.572633234387,22.869047342357,2500,0.0226185955221179,0.0226185955221179,0
66,113.069815452107,0,113.069815452107,Yunnan,103.056478077661,22.8790527750716,2500,0.0452279261808426,0,0.0452279261808427
67,187.084050506735,187.084050506735,0,Yunnan,103.540415270963,22.8868428542472,2500,0.074833620202694,0.074833620202694,0
68,262.401667596448,262.401667596448,0,Yunnan,104.024421838442,22.8924172073102,2500,0.104960667038579,0.104960667038579,0
69,44.5156998073739,0,44.5156998073739,Yunnan,104.50847478447,22.895775567482,2500,0.0178062799229496,0,0.0178062799229496
70,107.917257595807,0,107.917257595807,Guangxi,106.928629787495,22.8793255607536,2500,0.0431669030383226,0,0.0431669030383227
71,324.525965070834,324.525965070834,0,Guangxi,107.412477815309,22.8693882999943,2500,0.129810386028333,0.129810386028333,0
72,81.8716004589634,81.8716004589634,0,Guangxi,107.896211249384,22.8572361475183,2500,0.0327486401835854,0.0327486401835854,0
73,0,0,0,Guangxi,108.379807171907,22.8428696833979,2500,0,0,0
74,0.0497579688087825,0,0.0497579688087877,Guangxi,108.863242704193,22.8262895925074,2500,1.9903187523513e-05,0,1.99031875235151e-05
75,0,0,0,Guangxi,109.346495013148,22.8074966640414,2500,0,0,0
76,0,0,0,Guangxi,109.829541317713,22.7864917909611,2500,0,0,0
